"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Title","Bucketeer State","IIIF Access URL"
"Porter (Bern) Papers. Collection 639","ark:/21198/zz000sbx6g","","2","Completed","Collection","","","","","","Porter (Bern) Papers. Collection 639","",
"Porter (Bern) Papers. Collection 639","ark:/21198/zz000sgk2c","ark:/21198/zz000sbx6g","2","Completed","Work","porter/masters/21198-zz000sgk2c-1-master.tif","1","","","still image","man in white suit","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sgk2c"
"Porter (Bern) Papers. Collection 639","ark:/21198/zz000sgm9g","ark:/21198/zz000sbx6g","2","Completed","Work","porter/masters/21198-zz000sgm9g-1-master.tif","2","","","still image","man in white suit 2","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sgm9g"
"Porter (Bern) Papers. Collection 639","ark:/21198/zz000sgmb0","ark:/21198/zz000sbx6g","2","Completed","Work","porter/masters/21198-zz000sgmb0-1-master.tif","3","","","still image","man in white suit sitting in chair","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sgmb0"
"Porter (Bern) Papers. Collection 639","ark:/21198/zz000sgndh","ark:/21198/zz000sbx6g","2","Completed","Work","porter/masters/21198-zz000sgndh-1-master.tif","4","","","still image","man in white suit 3","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sgndh"
