"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Format.extent","Description.note","Title","Bucketeer State","IIIF Access URL"
"Shankland Family Papers. Collection 120","ark:/21198/zz0013zn8t","","2","Completed","Collection","","","","","","","","Shankland Family Papers. Collection 120","",
"Shankland Family Papers. Collection 120","ark:/21198/zz00140f2p","ark:/21198/zz0013zn8t","2","Completed","Work","shankland/masters/21198-zz00140f2p-1-master.tif","1","","","still image","1 photograph","men and horses inside fenced area","Chandler Home, W. 28th St, Stables and pasture","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00140f2p"
"Shankland Family Papers. Collection 120","ark:/21198/zz00140f36","ark:/21198/zz0013zn8t","2","Completed","Work","shankland/masters/21198-zz00140f36-1-master.tif","2","","","still image","1 photograph","","Chandler Home, W. 28th St, Stables","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00140f36"
