"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Visibility","Type.typeOfResource","Subject topic","Title","Alt ID.local","Format.extent","Description.note","Summary","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Mashbir (Sidney F.) Papers. Collection 969","ark:/21198/zz001nx6kc","","1","In progress","Collection","","","","","","private","","Mashbir, Sidney Forrester, 1891-1973--Archives|~|Japan--History--Allied occupation, 1945-1952|~|Translators--Archival resources","Sidney Forrester Mashbir Papers, 1942-1960 ","Collection 969","","Sydney Forrester Mashbir worked in the Allied Translator and Interpreter Section as a military intelligence officer during the occupation of Japan, 1945-47. The collection contains mimeographed summaries of radio broadcasts, newspaper accounts, various special reports, and publications on the Japanese language prepared by the Allied Translator and Interpreter Section of the Intelligence Office during the occupation of Japan, 1945-47. The collection also contains books, biographical material, and memorabilia of Sydney Mashbir.","Colonel Sydney Forrester Mashbir worked in the Allied Translator and Interpreter Section as a military intelligence officer during the occupation of Japan, 1945-47; wrote I was an American spy (1953).","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233378","https://oac.cdlib.org/findaid/ark:/13030/kt309nb1gs/","","","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz001nx6kc"
"Mashbir (Sidney F.) Papers. Collection 969","ark:/21198/zz0026jk83","ark:/21198/zz001nx6kc","1","In progress","Work","mashb/image/21198-zz0026jk83_1769589_master.tif","1","","","","private","still image","","Manufacturing Division - Airplane View","Box 33, item 1","1 b&w photograph","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233378","https://oac.cdlib.org/findaid/ark:/13030/kt309nb1gs/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jk83","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026jk83/manifest"
"Mashbir (Sidney F.) Papers. Collection 969","ark:/21198/zz0026jk9m","ark:/21198/zz001nx6kc","1","In progress","Work","mashb/image/21198-zz0026jk9m_1769592_master.tif","2","","","","private","still image","","General view of Manufacturing Plant - B & O tracks in the foreground","Box 33, item 2","1 b&w photograph","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233378","https://oac.cdlib.org/findaid/ark:/13030/kt309nb1gs/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jk9m","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026jk9m/manifest"
"Mashbir (Sidney F.) Papers. Collection 969","ark:/21198/zz0026jkb4","ark:/21198/zz001nx6kc","1","In progress","Work","mashb/image/21198-zz0026jkb4_1769595_master.tif","3","","","","private","still image","","Machine Shop and Office Building.","Box 33, item 3","1 b & w photograph","Caption continued: The Office section of this building houses Purchasing, Expediting, Personnel, and Payroll. Plastic Molding Building in right rear.","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233378","https://oac.cdlib.org/findaid/ark:/13030/kt309nb1gs/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jkb4","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026jkb4/manifest"
"Mashbir (Sidney F.) Papers. Collection 969","ark:/21198/zz0026jkcn","ark:/21198/zz001nx6kc","1","In progress","Work","mashb/image/21198-zz0026jkcn_1769598_master.tif","4","","","","private","still image","","Machine Shop and Office Building, front view. Guardhouse in foreground.","Box 33, item 4","1 b & w photograph","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233378","https://oac.cdlib.org/findaid/ark:/13030/kt309nb1gs/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jkcn","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026jkcn/manifest"
"Mashbir (Sidney F.) Papers. Collection 969","ark:/21198/zz0026jkfp","ark:/21198/zz001nx6kc","1","In progress","Work","mashb/image/21198-zz0026jkfp_1769601_master.tif","5","","","","private","still image","","Portion of Machine Shop","Box 33, item 5","1 b & w photograph","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233378","https://oac.cdlib.org/findaid/ark:/13030/kt309nb1gs/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jkfp","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026jkfp/manifest"
"Mashbir (Sidney F.) Papers. Collection 969","ark:/21198/zz0026jkg6","ark:/21198/zz001nx6kc","1","In progress","Work","mashb/image/21198-zz0026jkg6_1769604_master.tif","6","","","","private","still image","","New Office Building completed in January 1944","Box 33, item 6","1 b & w photograph","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233378","https://oac.cdlib.org/findaid/ark:/13030/kt309nb1gs/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jkg6","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026jkg6/manifest"
"Mashbir (Sidney F.) Papers. Collection 969","ark:/21198/zz0026jkhq","ark:/21198/zz001nx6kc","1","In progress","Work","mashb/image/21198-zz0026jkhq_1769607_master.tif","7","","","","private","still image","","View of Planning Office","Box 33, item 7","1 b & w photograph","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233378","https://oac.cdlib.org/findaid/ark:/13030/kt309nb1gs/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jkhq","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026jkhq/manifest"
"Mashbir (Sidney F.) Papers. Collection 969","ark:/21198/zz0026jkj7","ark:/21198/zz001nx6kc","1","In progress","Work","mashb/image/21198-zz0026jkj7_1769610_master.tif","8","","","","private","still image","","Watson-Stillman Plastic Injection Molding Machine","Box 33, item 8","1 b & w photograph","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233378","https://oac.cdlib.org/findaid/ark:/13030/kt309nb1gs/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jkj7","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026jkj7/manifest"
"Mashbir (Sidney F.) Papers. Collection 969","ark:/21198/zz0026jkm8","ark:/21198/zz001nx6kc","1","In progress","Work","mashb/image/21198-zz0026jkm8_1769613_master.tif","9","","","","private","still image","","General view of sub-assembly lines for Radiosonde","Box 33, item 9","1 b & w photograph","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233378","https://oac.cdlib.org/findaid/ark:/13030/kt309nb1gs/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jkm8","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026jkm8/manifest"
"Mashbir (Sidney F.) Papers. Collection 969","ark:/21198/zz0026jkns","ark:/21198/zz001nx6kc","1","In progress","Work","mashb/image/21198-zz0026jkns_1769616_master.tif","10","","","","private","still image","","Final Assembly Line for Radiosonde","Box 33, item 10","1 b & w photograph","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233378","https://oac.cdlib.org/findaid/ark:/13030/kt309nb1gs/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jkns","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026jkns/manifest"
"Mashbir (Sidney F.) Papers. Collection 969","ark:/21198/zz0026jkp9","ark:/21198/zz001nx6kc","1","In progress","Work","mashb/image/21198-zz0026jkp9_1769619_master.tif","11","","","","private","still image","","Inspection and Test Section, handling work necessary for Radiosonde inspection, test and calibration.","Box 33, item 11","1 b & w photograph","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233378","https://oac.cdlib.org/findaid/ark:/13030/kt309nb1gs/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jkp9","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026jkp9/manifest"
"Mashbir (Sidney F.) Papers. Collection 969","ark:/21198/zz0026jkrb","ark:/21198/zz001nx6kc","1","In progress","Work","mashb/image/21198-zz0026jkrb_1769622_master.tif","12","","","","private","still image","","A portion of the Radio Assembly Section. This handles all assembly work other than Radiosondes.","Box 33, item 12","1 b & w photograph","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233378","https://oac.cdlib.org/findaid/ark:/13030/kt309nb1gs/","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026jkrb","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0026jkrb/manifest"
