"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Visibility","Type.typeOfResource","Name.creator","Title","Description.note","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Gernreich (Rudi) Papers. Collection 1702","ark:/21198/zz0019qb2q","","1","In progress","Collection","","","","","private","","","Rudi Gernreich Papers, 1891-1993, bulk 1940-1985","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233073","https://oac.cdlib.org/findaid/ark:/13030/tf4r29n9q2/","","","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0019qb2q"
"Gernreich (Rudi) Papers. Collection 1702","ark:/21198/zz0019qd15","ark:/21198/zz0019qb2q","1","In progress","Work","gernreich/masters/21198-zz0019qd15_733778_master.tif","","","","private","still image","Gernreich, Rudi, 1922-1985","sketch","two figures facing each other, attached at the head","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qd15","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qd15/manifest"
"Gernreich (Rudi) Papers. Collection 1702","ark:/21198/zz0019qd6r","ark:/21198/zz0019qb2q","1","In progress","Work","gernreich/masters/21198-zz0019qd6r_733795_master.tif","","","","private","still image","Gernreich, Rudi, 1922-1985","duotard sketch","male and female figures, facing away from each other, attached in a unitard","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qd6r","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qd6r/manifest"
"Gernreich (Rudi) Papers. Collection 1702","ark:/21198/zz0019qdvk","ark:/21198/zz0019qb2q","1","In progress","Work","gernreich/masters/21198-zz0019qdvk_733817_master.tif","","","","private","still image","Gernreich, Rudi, 1922-1985","duotard sketch","male and female figure in single unitard","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qdvk","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qdvk/manifest"
"Gernreich (Rudi) Papers. Collection 1702","ark:/21198/zz0019qdz4","ark:/21198/zz0019qb2q","1","In progress","Work","gernreich/masters/21198-zz0019qdz4_733847_master.tif","","","","private","still image","Gernreich, Rudi, 1922-1985","The Pubikini","sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qdz4","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qdz4/manifest"
"Gernreich (Rudi) Papers. Collection 1702","ark:/21198/zz0019qf04","ark:/21198/zz0019qb2q","1","In progress","Work","gernreich/masters/21198-zz0019qf04_733862_master.tif","","","","private","still image","Gernreich, Rudi, 1922-1985","pubikini sketch","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qf04","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qf04/manifest"
