"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Visibility","Type.typeOfResource","Type.genre","Name.subject","Subject","Name.architect","Name.repository","Relation.isPartOf","Name.creator","Alt ID.local","AltTitle.uniform","Format.dimensions","Date.creation","Rights.statementLocal","Description.note","Format.extent","Title","AltTitle.descriptive","Date.normalized","Description.abstract","AltTitle.other","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Wright (Lloyd) Papers.  Collection 1561","ark:/21198/zz00094c68","","2","Completed","Collection","","","","","","private","","","Wright, Lloyd, 1890-1978--Archives|~|Wright, Frank Lloyd, 1867-1959--Correspondence","Architects--California--Los Angeles--Archival resources|~|Architecture--California, Southern--20th century","","University of California, Los Angeles. $b Library Special Collections","Lloyd Wright Papers (Collection 1561). Department of Special Collections, Charles E. Young Research Library, UCLA","Wright, Lloyd, 1890-1978","Collection 1561","","","1920-1978","Papers cannot be published without permission of Eric Lloyd Wright.","The collection consists of Wright's original drawings, renderings, blueprints, photographs, models and office files. Many of the photographs in the collection are by Will Connell. ","","Lloyd Wright Papers, 1920-1978","","1920/1978","Lloyd Wright, eldest son of Frank Lloyd Wright, was born in 1890; trained as a draftsman/delineator in his father's Oak Park Studio; studied engineering, University of Wisconsin, 1908-09; joined Olmsted and Olmsted in Boston, Massachusetts; sent to San Diego, California, to work on Panama California Exposition, 1911; worked for Irving J. Gill; formed landscape architectural practice with Paul Thiene and continued professional activities as landscape architect through the 1920s; worked with father, Frank Lloyd Wright, on Hollyhock House and other Los Angeles projects, 1922-24; produced project for multilayered civic center, Los Angeles, 1925; provided the shells for the Hollywood Bowl, 1924-25 and 1928; much of his work from 1930s through post-World War II dealt with variations of California ranch houses; produced Swedenborg Memorial Chapel (or Wayfarer's Chapel) at Palos Verdes, California, 1946-71; died in 1978. ","Lloyd Wright Papers","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3649291","http://www.oac.cdlib.org/findaid/ark:/13030/tf0290036p","","","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz00094c68"
"Wright (Lloyd) Papers.  Collection 1561","ark:/21198/zz00094r8m","ark:/21198/zz00094c68","2","Completed","Work","wright/masters/21198-zz00094r8m-1-master.tif","","","","","private","still image","Sections|~|Architectural drawings","","dwellings","Wright, Lloyd, 1890-1978","University of California, Los Angeles. $b Library Special Collections","Lloyd Wright Papers (Collection 1561). Department of Special Collections, Charles E. Young Research Library, UCLA","","clus_1561_of332_004|~|Project No. 4","W. J. Weber House (Los Angeles, Calif.)","59 x 61 cm. (23 x 24 in.)","n.d.","","W. J. Weber House 3923 W. 9th St., Los Angeles.","1 drawing","W. J. Weber House, Sections","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00094r8m","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00094r8m/manifest"
"Wright (Lloyd) Papers.  Collection 1561","ark:/21198/zz00094r94","ark:/21198/zz00094c68","2","Completed","Work","wright/masters/21198-zz00094r94-1-master.tif","","","","","private","still image","Elevations|~|Floor plans|~|Architectural drawings","","dwellings","Wright, Lloyd, 1890-1978","University of California, Los Angeles. $b Library Special Collections","Lloyd Wright Papers (Collection 1561). Department of Special Collections, Charles E. Young Research Library, UCLA","","clus_1561_b644_weber_001|~|Project No. 4","W. J. Weber House (Los Angeles, Calif.)","61 x 46 cm. (24 x 18 in.)","n.d.","","","1 drawing","W. J. Weber House, Bungalows","Bungalows for William J. Weber","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00094r94","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00094r94/manifest"
"Wright (Lloyd) Papers.  Collection 1561","ark:/21198/zz00094rbn","ark:/21198/zz00094c68","2","Completed","Work","wright/masters/21198-zz00094rbn-1-master.tif","","","","","private","still image","Elevations|~|Architectural drawings","","dwellings","Wright, Frank Lloyd, 1867-1959--Correspondence","University of California, Los Angeles. $b Library Special Collections","Lloyd Wright Papers (Collection 1561). Department of Special Collections, Charles E. Young Research Library, UCLA","","clus_1561_of332_003|~|Project No. 4","W. J. Weber House (Los Angeles, Calif.)","53 x 59 cm. (21 x 23 in.)","n.d.","","W. J. Weber House 3923 W. 9th St., Los Angeles.","1 drawing","W. J. Weber House, Elevations, side and front","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00094rbn","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00094rbn/manifest"
"Wright (Lloyd) Papers.  Collection 1561","ark:/21198/zz00094rc5","ark:/21198/zz00094c68","2","Completed","Work","wright/masters/21198-zz00094rc5-1-master.tif","","","","","private","still image","Floor plans|~|Architectural drawings","","dwellings","Wright, Lloyd, 1890-1978","University of California, Los Angeles. $b Library Special Collections","Lloyd Wright Papers (Collection 1561). Department of Special Collections, Charles E. Young Research Library, UCLA","","clus_1561_of332_001|~|Project No. 4","W. J. Weber House (Los Angeles, Calif.)","53 x 56 cm. (21 x 22 in.)","n.d.","","W. J. Weber House 3923 W. 9th St., Los Angeles.","1 drawing","W. J. Weber House, Second floor plan","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00094rc5","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00094rc5/manifest"
"Wright (Lloyd) Papers.  Collection 1561","ark:/21198/zz00094rdp","ark:/21198/zz00094c68","2","Completed","Work","wright/masters/21198-zz00094rdp-1-master.tif","","","","","private","still image","Floor plans|~|Architectural drawings","","dwellings","Wright, Lloyd, 1890-1978","University of California, Los Angeles. $b Library Special Collections","Lloyd Wright Papers (Collection 1561). Department of Special Collections, Charles E. Young Research Library, UCLA","","clus_1561_of332_002|~|Project No. 4","W. J. Weber House (Los Angeles, Calif.)","53 x 61 cm. (21 x 24 in.)","n.d.","","W. J. Weber House 3923 W. 9th St., Los Angeles.","1 drawing","W. J. Weber House, First floor plan","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00094rdp","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00094rdp/manifest"
"Wright (Lloyd) Papers.  Collection 1561","ark:/21198/zz00094rf6","ark:/21198/zz00094c68","2","Completed","Work","wright/masters/21198-zz00094rf6-1-master.tif","","","","","private","still image","Renderings|~|Architectural drawings","","","Wright, Lloyd, 1890-1978","University of California, Los Angeles. $b Library Special Collections","Lloyd Wright Papers (Collection 1561). Department of Special Collections, Charles E. Young Research Library, UCLA","","Project No. 190|~|clus_1561_of483_001","Alfred Newman House (Santa Monica, Calif.)","61 x 31 cm. (24 x 12 in.)","n.d.","","Alfred Newman House 14148 Sunset Blvd., Pacific Palisades [Santa Monica?]","1 drawing","Alfred Newman House, Study for residence [rendering of exterior]","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00094rf6","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00094rf6/manifest"
"Wright (Lloyd) Papers.  Collection 1561","ark:/21198/zz00094rgq","ark:/21198/zz00094c68","2","Completed","Work","wright/masters/21198-zz00094rgq-1-master.tif","","","","","private","still image","Sections|~|Architectural drawings","","dwellings","Wright, Lloyd, 1890-1978","University of California, Los Angeles. $b Library Special Collections","Lloyd Wright Papers (Collection 1561). Department of Special Collections, Charles E. Young Research Library, UCLA","","clus_1561_b125_sheetno5|~|Project No. 34","John Sowden House (Los Angeles, Calif.)","76 x 56 cm. (30 x 22 in.)","n.d.","","John Sowden House 5121 Franklin Ave.","1 drawing","John Sowden House, Details and sections, sheet no. 5 [b&w scan of blue line drawing]","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00094rgq","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00094rgq/manifest"
"Wright (Lloyd) Papers.  Collection 1561","ark:/21198/zz00094rh7","ark:/21198/zz00094c68","2","Completed","Work","wright/masters/21198-zz00094rh7-1-master.tif","","","","","private","still image","Black-and-white photographs","","","Wright, Lloyd, 1890-1978","University of California, Los Angeles. $b Library Special Collections","Lloyd Wright Papers (Collection 1561). Department of Special Collections, Charles E. Young Research Library, UCLA","","clus_1561_b667_studio_001|~|Project No. 37","Lloyd Wright Architect's studio & residence","20 x 25 cm. (8 x 10 in.)","n.d.","","Lloyd Wright Architect's studio 858 N. Doheny Dr.","1 photographic print","Lloyd Wright's studio, Living room","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00094rh7","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00094rh7/manifest"
"Wright (Lloyd) Papers.  Collection 1561","ark:/21198/zz00094s0z","ark:/21198/zz00094c68","2","Completed","Work","wright/masters/21198-zz00094s0z-1-master.tif","","","","","private","still image","Interior design drawings","","Furniture","Wright, Lloyd, 1890-1978","University of California, Los Angeles. $b Library Special Collections","Lloyd Wright Papers (Collection 1561). Department of Special Collections, Charles E. Young Research Library, UCLA","","clus_1561_b125_sheetlrandDT|~|Project No. 34","John Sowden House (Los Angeles, Calif.)","76 x 61 cm. (30 x 24 in.)","n.d.","","John Sowden House 5121 Franklin Ave.","1 drawing","John Sowden House, Livingroom furniture and dining table [Black line reproduction of blueprint]","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00094s0z","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00094s0z/manifest"
"Wright (Lloyd) Papers.  Collection 1561","ark:/21198/zz00094s1g","ark:/21198/zz00094c68","2","Completed","Work","wright/masters/21198-zz00094s1g-1-master.tif","","","","","private","still image","Elevations|~|Architectural drawings","","dwellings","Wright, Lloyd, 1890-1978","University of California, Los Angeles. $b Library Special Collections","Lloyd Wright Papers (Collection 1561). Department of Special Collections, Charles E. Young Research Library, UCLA","","Project No. 34|~|clus_1561_b125_sheetnoA","John Sowden House (Los Angeles, Calif.)","76 x 56 cm. (30 x 22 in.)","n.d.","","John Sowden House 5121 Franklin Ave.","1 drawing","John Sowden House, Elevations sheet no. A [b&w scan of blue line drawing]","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00094s1g","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00094s1g/manifest"
"Wright (Lloyd) Papers.  Collection 1561","ark:/21198/zz00094s20","ark:/21198/zz00094c68","2","Completed","Work","wright/masters/21198-zz00094s20-1-master.tif","","","","","private","still image","Interior design drawings","","Furniture","Wright, Lloyd, 1890-1978","University of California, Los Angeles. $b Library Special Collections","Lloyd Wright Papers (Collection 1561). Department of Special Collections, Charles E. Young Research Library, UCLA","","Project No. 34|~|clus_1561_b125_sheet_bedroomsetII","John Sowden House (Los Angeles, Calif.)","74 x 53 cm. (29 x 21 in.)","n.d.","","John Sowden House 5121 Franklin Ave.","1 drawing","John Sowden House, Bedroom set no. II [Black line reproduction of blueprint]","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00094s20","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00094s20/manifest"
"Wright (Lloyd) Papers.  Collection 1561","ark:/21198/zz00094s3h","ark:/21198/zz00094c68","2","Completed","Work","wright/masters/21198-zz00094s3h-1-master.tif","","","","","private","still image","Interior design drawings","","","Wright, Lloyd, 1890-1978","University of California, Los Angeles. $b Library Special Collections","Lloyd Wright Papers (Collection 1561). Department of Special Collections, Charles E. Young Research Library, UCLA","","clus_1561_b125_sheet_candelbra|~|Project No. 34","John Sowden House (Los Angeles, Calif.)","51 x 61 cm. (20 x 24 in.)","n.d.","","John Sowden House 5121 Franklin Ave.","1 drawing","John Sowden House, Candelbra assembly detail [Black line reproduction of blueprint]","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00094s3h","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00094s3h/manifest"
"Wright (Lloyd) Papers.  Collection 1561","ark:/21198/zz00094s41","ark:/21198/zz00094c68","2","Completed","Work","wright/masters/21198-zz00094s41-1-master.tif","","","","","private","still image","Interior design drawings","","Furniture","Wright, Lloyd, 1890-1978","University of California, Los Angeles. $b Library Special Collections","Lloyd Wright Papers (Collection 1561). Department of Special Collections, Charles E. Young Research Library, UCLA","","clus_1561_b125_sheet_detailforfurniture|~|Project No. 34","John Sowden House (Los Angeles, Calif.)","92 x 48 cm. (36 x 19 in.)","n.d.","","John Sowden House 5121 Franklin Ave.","1 drawing","John Sowden House, Detail for furniture for library [Black line reproduction of blueprint]","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00094s41","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00094s41/manifest"
"Wright (Lloyd) Papers.  Collection 1561","ark:/21198/zz00094s5j","ark:/21198/zz00094c68","2","Completed","Work","wright/masters/21198-zz00094s5j-1-master.tif","","","","","private","still image","Interior design drawings","","","Wright, Lloyd, 1890-1978","University of California, Los Angeles. $b Library Special Collections","Lloyd Wright Papers (Collection 1561). Department of Special Collections, Charles E. Young Research Library, UCLA","","Project No. 34|~|clus_1561_b125_sheet_bathroomcabinet","John Sowden House (Los Angeles, Calif.)","61 x 56 cm. (24 x 22 in.)","n.d.","","John Sowden House 5121 Franklin Ave.","1 drawing","John Sowden House, Bathroom cabinet [Black line reproduction of blueprint]","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00094s5j","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00094s5j/manifest"
"Wright (Lloyd) Papers.  Collection 1561","ark:/21198/zz00094s62","ark:/21198/zz00094c68","2","Completed","Work","wright/masters/21198-zz00094s62-1-master.tif","","","","","private","still image","Architectural drawings","","","Wright, Lloyd, 1890-1978","University of California, Los Angeles. $b Library Special Collections","Lloyd Wright Papers (Collection 1561). Department of Special Collections, Charles E. Young Research Library, UCLA","","Project No. 34|~|clus_1561_b125_sheetno14","John Sowden House (Los Angeles, Calif.)","76 x 46 cm. (30 x 18 in.)","n.d.","","John Sowden House 5121 Franklin Ave.","1 drawing","John Sowden House, Sash & door details, sheet no.14, colonade, bathroom, garage [b&w scan of blue line drawing]","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00094s62","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00094s62/manifest"
"Wright (Lloyd) Papers.  Collection 1561","ark:/21198/zz00094s7k","ark:/21198/zz00094c68","2","Completed","Work","wright/masters/21198-zz00094s7k-1-master.tif","","","","","private","still image","Interior design drawings","","","Wright, Lloyd, 1890-1978","University of California, Los Angeles. $b Library Special Collections","Lloyd Wright Papers (Collection 1561). Department of Special Collections, Charles E. Young Research Library, UCLA","","clus_1561_b125_sheet_metalvalance|~|Project No. 34","John Sowden House (Los Angeles, Calif.)","102 x 56 cm. (40 x 22 in.)","n.d.","","John Sowden House 5121 Franklin Ave.","1 drawing","John Sowden House, Metal valance and lights in hall and reading lamp [Black line reproduction of blueprint]","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00094s7k","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00094s7k/manifest"
"Wright (Lloyd) Papers.  Collection 1561","ark:/21198/zz00094s83","ark:/21198/zz00094c68","2","Completed","Work","wright/masters/21198-zz00094s83-1-master.tif","","","","","private","still image","Elevations|~|Architectural drawings","","dwellings","Wright, Lloyd, 1890-1978","University of California, Los Angeles. $b Library Special Collections","Lloyd Wright Papers (Collection 1561). Department of Special Collections, Charles E. Young Research Library, UCLA","","clus_1561_b125_sheetno7|~|Project No. 34","John Sowden House (Los Angeles, Calif.)","76 x 53 cm. (30 x 21 in.)","n.d.","","John Sowden House 5121 Franklin Ave.","1 drawing","John Sowden House, Elevations room by room [b&w scan of blue line drawing]","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00094s83","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00094s83/manifest"
"Wright (Lloyd) Papers.  Collection 1561","ark:/21198/zz00094z8h","ark:/21198/zz00094c68","2","Completed","Work","wright/masters/21198-zz00094z8h-1-master.tif","","","","","private","still image","Architectural drawings","","dwellings","Wright, Lloyd, 1890-1978","University of California, Los Angeles. $b Library Special Collections","Lloyd Wright Papers (Collection 1561). Department of Special Collections, Charles E. Young Research Library, UCLA","","clus_1561_b125_sheetno16|~|Project No. 34","John Sowden House (Los Angeles, Calif.)","79 x 59 cm. (31 x 23 in.)","n.d.","","John Sowden House 5121 Franklin Ave.","1 drawing","John Sowden House, Plyon in court  [b&w scan of blue line drawing]","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00094z8h","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00094z8h/manifest"
"Wright (Lloyd) Papers.  Collection 1561","ark:/21198/zz00094z91","ark:/21198/zz00094c68","2","Completed","Work","wright/masters/21198-zz00094z91-1-master.tif","","","","","private","still image","Floor plans|~|Architectural drawings","","dwellings","Wright, Lloyd, 1890-1978","University of California, Los Angeles. $b Library Special Collections","Lloyd Wright Papers (Collection 1561). Department of Special Collections, Charles E. Young Research Library, UCLA","","Project No. 34|~|clus_1561_b125_sheetno2","John Sowden House (Los Angeles, Calif.)","76 x 56 cm. (30 x 22 in.)","n.d.","","John Sowden House 5121 Franklin Ave.","1 drawing","John Sowden House, Floor plan sheet no. 2 [Black line reproduction of blueprint]","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00094z91","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00094z91/manifest"
"Wright (Lloyd) Papers.  Collection 1561","ark:/21198/zz00094zbj","ark:/21198/zz00094c68","2","Completed","Work","wright/masters/21198-zz00094zbj-1-master.tif","","","","","private","still image","Interior design drawings|~|Architectural drawings","","","Wright, Lloyd, 1890-1978","University of California, Los Angeles. $b Library Special Collections","Lloyd Wright Papers (Collection 1561). Department of Special Collections, Charles E. Young Research Library, UCLA","","clus_1561_b125_sheetno15|~|Project No. 34","John Sowden House (Los Angeles, Calif.)","76 x 56 cm. (30 x 22 in.)","n.d.","","John Sowden House 5121 Franklin Ave.","1 drawing","John Sowden House, Sash & door details, sheet no.15, library [b&w scan of blue line drawing]","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00094zbj","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00094zbj/manifest"
