"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Visibility","Duplicate","Delete in Title","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Name.creator","Title","Format.dimensions","Format.medium","Description.note","Relation.isPartOf","Format.extent","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz0019qpk9","","2","Completed","Collection","","","","","","","","","","Grot (Anton) Papers. Collection 956","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1470682","https://oac.cdlib.org/findaid/ark:/13030/ft7d5nb1ww/","","","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0019qpk9"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz0019qq9n","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz0019qq9n_734604_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","Alias the Doctor. Warner Brothers - Staircase, 1932.","21.5 x 25 cm","pencil on paper","Production sketch for ""Alias the Doctor.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qq9n","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qq9n/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6g04","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6g04_769399_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","Alias the Doctor. Warner Brothers - Doctor's Room, 1932.","19 x 20 cm","pencil on paper","Production sketch for ""Alias the Doctor.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6g04","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6g04/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6g1n","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6g1n_769403_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","Her Man. Pathe, 1918.","22.5 x 32 cm","pencil on paper","Production sketch for ""He Was Her Man.""Title on sketch says simple ""Her Man - Living Room.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6g1n","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6g1n/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6g25","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6g25_769410_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner Brothers - Flight of Nymphs, 1935.","24.5 x 32 cm","pen and watercolor on paper","Production sketch for ""A Midsummer Night's Dream.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6g25","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6g25/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6gjd","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6gjd_769490_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner Brothers - Flight, 1935.","18 x 20.5 cm","pen and pencil on paper","Production sketch for ""A Midsummer Night's Dream.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6gjd","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6gjd/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6gkx","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6gkx_769493_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner Brothers - Temple, 1935.","25 x 33 cm","pen and watercolor on paper","Production sketch for ""A Midsummer Night's Dream.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6gkx","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6gkx/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6gs1","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6gs1_769496_master.tif","","private","","","","","","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner Brothers - Sleeping Woman, 1935.","20.5 x 23 cm","pen and watercolor on paper","Production sketch for ""A Midsummer Night's Dream.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6gs1","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6gs1/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6gtj","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6gtj_769502_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner Brothers - Soldiers with Dogs on Steps, 1935.","20 x 26 cm","pen and watercolor on paper","Production sketch for ""A Midsummer Night's Dream.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6gtj","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6gtj/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6gv2","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6gv2_769509_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner Brothers - Stairs Leading to the Castle, 1935.","16 x 19 cm","pencil on paper","Production sketch for ""A Midsummer Night's Dream.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6gv2","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6gv2/manifest"
