"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.rightsHolderContact","Language","Subject","Type.genre","Relation.isPartOf","Name.repository","Name.creator","Title","Alt ID.local","AltTitle.firstLine","AltTitle.descriptive","Format.extent","Format.dimensions","Date.creation","AltTitle.other","Date.normalized","Finding Aid URL","Opac url","Summary","Description.note","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Perkoff (Stuart Z.) Papers. Collection 1573","ark:/21198/zz0009376w","ark:/21198/zz000933j4","2","Completed","Page","perkoff/masters/21198-zz0009376w-1-master.tif","3","","","","","","private","","still image","","eng","","","","","","The birds move thru the air [close-up of handwritten entry without ink drawing]","clus_1573_b4_f1_journal1965may_0002","The birds move thru the air","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009376w",""
"Perkoff (Stuart Z.) Papers. Collection 1573","ark:/21198/zz0009378x","ark:/21198/zz000933j4","2","Completed","Page","perkoff/masters/21198-zz0009378x-1-master.tif","2","","","","","","private","","still image","","eng","","","","","","The birds move thru the air [handwritten entry with ink drawing]","clus_1573_b4_f1_journal1965may_0001","The birds move thru the air","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009378x",""
"Perkoff (Stuart Z.) Papers. Collection 1573","ark:/21198/zz000937p4","ark:/21198/zz000933j4","2","Completed","Page","perkoff/masters/21198-zz000937p4-1-master.tif","1","","","","","","private","","still image","","","","collages (visual works)|~|superhero comics","","","","collage cover","clus_1573_b4_f1_journal1965may_0003","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000937p4",""
