"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.genre","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Language","Name.subject","Name.creator","Title","Format.extent","Alt ID.local","Date.creation","Description.note","Format.dimensions","Bucketeer State","IIIF Access URL"
"Nin (Anais) Papers. Collection 2066","ark:/21198/zz00256749","ark:/21198/zz0025673s","2","Completed","Page","ninan/image/21198-zz00256749_1659756_master.tif","1","","","","still image|~|text","","","private","","","","","Diary 1, page 24","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256749"
"Nin (Anais) Papers. Collection 2066","ark:/21198/zz0025676b","ark:/21198/zz0025675t","2","Completed","Page","ninan/image/21198-zz0025676b_1659782_master.tif","1","","","","text","","","private","","","","","Diary 62, page 459","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025676b"
"Nin (Anais) Papers. Collection 2066","ark:/21198/zz0025677v","ark:/21198/zz0025675t","2","Completed","Page","ninan/image/21198-zz0025677v_1659789_master.tif","2","","","","text","","","private","","","","","Diary 62, page 460","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025677v"
"Nin (Anais) Papers. Collection 2066","ark:/21198/zz0025678c","ark:/21198/zz0025675t","2","Completed","Page","ninan/image/21198-zz0025678c_1659797_master.tif","3","","","","text","","","private","","","","","Diary 62, page 461","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025678c"
"Nin (Anais) Papers. Collection 2066","ark:/21198/zz0025679w","ark:/21198/zz0025675t","2","Completed","Page","ninan/image/21198-zz0025679w_1659806_master.tif","4","","","","text","","","private","","","","","Diary 62, page 462","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025679w"
"Nin (Anais) Papers. Collection 2066","ark:/21198/zz002567bd","ark:/21198/zz0025675t","2","Completed","Page","ninan/image/21198-zz002567bd_1659815_master.tif","5","","","","text","","","private","","","","","Diary 62, page 463","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002567bd"
"Nin (Anais) Papers. Collection 2066","ark:/21198/zz002567cx","ark:/21198/zz0025675t","2","Completed","Page","ninan/image/21198-zz002567cx_1659827_master.tif","6","","","","text","","","private","","","","","Diary 62, page 464","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002567cx"
"Nin (Anais) Papers. Collection 2066","ark:/21198/zz002567df","ark:/21198/zz0025675t","2","Completed","Page","ninan/image/21198-zz002567df_1659830_master.tif","7","","","","text","","","private","","","","","Diary 62, page 465","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002567df"
"Nin (Anais) Papers. Collection 2066","ark:/21198/zz002567fz","ark:/21198/zz0025675t","2","Completed","Page","ninan/image/21198-zz002567fz_1659833_master.tif","8","","","","text","","","private","","","","","Diary 62, page 466","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002567fz"
"Nin (Anais) Papers. Collection 2067","ark:/21198/z1ks8953","ark:/21198/zz00256bz5","2","Completed","Page","ninan/image/21198-zz00256bz5_1659836_master.tif","1","","","","still image","","","private","","","","","Page 01","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks8953"
"Nin (Anais) Papers. Collection 2068","ark:/21198/z1g467xw","ark:/21198/zz00256bz5","2","Completed","Page","ninan/image/21198-zz00256bz5_1771101_master.tif","2","","","","still image","","","private","","","","","Page 02","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g467xw"
