Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Rights.copyrightStatus,Rights.permission,Coverage.geographic,Name.producer,Name.publisher,Subject,Rights.servicesContact,Language,Type.genre,Name.repository,Name.surveyor,Name.cartographer,Name.subject,Name.sponsor,Name.compiler,Name.lithographer,Name.artist,Format.dimensions,AltIdentifier.local,AltIdentifier.oclc,Date,Format.extent,Description.note,AltIdentifier.callNo,Relation.isPartOf,Publisher.placeOfOrigin,Publisher.publisherName,Title,Description.caption,AltTitle.translated,AltTitle.other,AltIdentifier.collection,Description.abstract,Bucketeer State,IIIF Access URL
"Maps of Los Angeles, California, the United States and the World",ark:/21198/z1cn8nhg,ark:/21198/zz00096dh9,2,Completed,Page,Masters/Maps/Yrlscmaps/masters/21198-zz00096dh9-1-master.tif,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,front,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cn8nhg
"Maps of Los Angeles, California, the United States and the World",ark:/21198/z17w7wsr,ark:/21198/zz00096dh9,2,Completed,Page,Masters/Maps/Yrlscmaps/masters/21198-zz00096dh9-2-master.tif,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,back,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17w7wsr
"Maps of Los Angeles, California, the United States and the World",ark:/21198/z1447524,ark:/21198/zz00096dtz,2,Completed,Page,Masters/Maps/Yrlscmaps/masters/21198-zz00096dtz-1-master.tif,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,front,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1447524
"Maps of Los Angeles, California, the United States and the World",ark:/21198/z10c6dcv,ark:/21198/zz00096dtz,2,Completed,Page,Masters/Maps/Yrlscmaps/masters/21198-zz00096dtz_495816_master.tif,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,back,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10c6dcv
"Maps of Los Angeles, California, the United States and the World",ark:/21198/z1vm5ww5,ark:/21198/zz00096f64,2,Completed,Page,Masters/Maps/Yrlscmaps/masters/21198-zz00096f64-1-master.tif,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,front,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vm5ww5
"Maps of Los Angeles, California, the United States and the World",ark:/21198/z1qv554s,ark:/21198/zz00096f64,2,Completed,Page,Masters/Maps/Yrlscmaps/masters/21198-zz00096f64_495679_master.tif,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,back,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qv554s
"Maps of Los Angeles, California, the United States and the World",ark:/21198/z1m34dbg,ark:/21198/zz00096fb6,2,Completed,Page,Masters/Maps/Yrlscmaps/masters/21198-zz00096fb6-1-master.tif,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,front,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m34dbg
"Maps of Los Angeles, California, the United States and the World",ark:/21198/z1gf2c4t,ark:/21198/zz00096fb6,2,Completed,Page,Masters/Maps/Yrlscmaps/masters/21198-zz00096fb6_495963_master.tif,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,back,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf2c4t
"Maps of Los Angeles, California, the United States and the World",ark:/21198/z1bp1md3,ark:/21198/zz00096fzh,2,Completed,Page,Masters/Maps/Yrlscmaps/masters/21198-zz00096fzh-1-master.tif,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,front,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bp1md3
"Maps of Los Angeles, California, the United States and the World",ark:/21198/z16x0vpc,ark:/21198/zz00096fzh,2,Completed,Page,Masters/Maps/Yrlscmaps/masters/21198-zz00096fzh_495986_master.tif,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,back,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16x0vpc
"Maps of Los Angeles, California, the United States and the World",ark:/21198/z1350406,ark:/21198/zz00096g53,2,Completed,Page,Masters/Maps/Yrlscmaps/masters/21198-zz00096g53-1-master.tif,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,front,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1350406
"Maps of Los Angeles, California, the United States and the World",ark:/21198/z1zc9mjd,ark:/21198/zz00096g53,2,Completed,Page,Masters/Maps/Yrlscmaps/masters/21198-zz00096g53_495718_master.tif,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,back,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zc9mjd
"Maps of Los Angeles, California, the United States and the World",ark:/21198/z1tm8vrs,ark:/21198/zz0015wx6k,2,Completed,Page,Masters/Maps/Yrlscmaps/masters/21198-zz0015wx6k_495584_master.tif,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,front,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tm8vrs
"Maps of Los Angeles, California, the United States and the World",ark:/21198/z1pv840d,ark:/21198/zz0015wx6k,2,Completed,Page,Masters/Maps/Yrlscmaps/masters/21198-zz0015wx6k_495595_master.tif,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,back,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pv840d
"Maps of Los Angeles, California, the United States and the World",ark:/21198/z19p4k78,ark:/21198/zz0015wxqb,2,Completed,Page,Masters/Maps/Yrlscmaps/masters/21198-zz0015wxqb_497952_master.tif,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,front,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19p4k78
"Maps of Los Angeles, California, the United States and the World",ark:/21198/z15x3tj0,ark:/21198/zz0015wxqb,2,Completed,Page,Masters/Maps/Yrlscmaps/masters/21198-zz0015wxqb_497972_master.tif,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,back,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x3tj0
"Maps of Los Angeles, California, the United States and the World",ark:/21198/z12532vd,ark:/21198/zz0015x2sr,2,Completed,Page,Masters/Maps/Yrlscmaps/masters/21198-zz0015x2sr_498017_master.tif,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,front,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12532vd
"Maps of Los Angeles, California, the United States and the World",ark:/21198/z1xd2k8s,ark:/21198/zz0015x2sr,2,Completed,Page,Masters/Maps/Yrlscmaps/masters/21198-zz0015x2sr_498006_master.tif,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,back,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xd2k8s
"Maps of Los Angeles, California, the United States and the World",ark:/21198/z1sn1tj2,ark:/21198/zz0015zqjr,2,Completed,Page,Masters/Maps/Yrlscmaps/masters/21198-zz0015zqjr_498065_master.tif,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,front,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sn1tj2
"Maps of Los Angeles, California, the United States and the World",ark:/21198/z1nz9s7h,ark:/21198/zz0015zqjr,2,Completed,Page,Masters/Maps/Yrlscmaps/masters/21198-zz0015zqjr_498062_master.tif,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,back,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nz9s7h
"Maps of Los Angeles, California, the United States and the World",ark:/21198/z1j691hg,ark:/21198/zz00160bwg,2,Completed,Page,Masters/Maps/Yrlscmaps/masters/21198-zz00160bwg_496049_master.tif,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,front,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j691hg
"Maps of Los Angeles, California, the United States and the World",ark:/21198/z1df88sr,ark:/21198/zz00160bwg,2,Completed,Page,Masters/Maps/Yrlscmaps/masters/21198-zz00160bwg_496023_master.tif,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,back,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1df88sr
"Maps of Los Angeles, California, the United States and the World",ark:/21198/z18p7j4b,ark:/21198/zz00160fh7,2,Completed,Page,Masters/Maps/Yrlscmaps/masters/21198-zz00160fh7_497849_master.tif,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,front,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18p7j4b
"Maps of Los Angeles, California, the United States and the World",ark:/21198/z14x6sdm,ark:/21198/zz00160fh7,2,Completed,Page,Masters/Maps/Yrlscmaps/masters/21198-zz00160fh7_497846_master.tif,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,back,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x6sdm
