Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,IIIF Access URL,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,License,Language,Type.genre,Subject topic,Author,Name.subject,Name.annotator,Name.repository,Name.scribe,Title,Thumbnail,IIIF Manifest URL,Related,Relation.rectoVerso,Relation.pageNumber,Relation.textDirection,Relation.isVersionOf,AltIdentifier.local,Description.contents,Date.creation,Format.dimensions,Format.extent,Description.note,Summary
St Gall Manuscripts,ark:/21198/zz002b3jzs,ark:/21198/zz0015vcjk,2,Completed,Work,,,,paged,,,,text,public domain,,,Manuscripts,,,,,e-codices|~|Stiftsbibliothek Einsiedeln,,"Einsiedeln, Stiftsbibliothek, Ms. 182",https://www.e-codices.unifr.ch/loris/sbe/sbe-0182/sbe-0182_002.jp2,https://www.e-codices.unifr.ch/metadata/iiif/sbe-0182/manifest.json,https://www.e-codices.unifr.ch/en/list/one/sbe/0182,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz002b3jx8,ark:/21198/zz0015vcjk,2,Completed,Work,,,,paged,,,,text,public domain,,,Manuscripts,,,,,e-codices|~|Bibliothèque de Genève,,"Geneva, Bibliothèque Publique et Universitaire, Ms. Lat. 37a",https://www.e-codices.unifr.ch/loris/bge/bge-lat0037a/bge-lat0037a_001v.jp2,https://www.e-codices.unifr.ch/metadata/iiif/bge-lat0037a/manifest.json,https://www.e-codices.unifr.ch/en/list/one/bge/lat0037a,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz002b3k0s,ark:/21198/zz0015vcjk,2,Completed,Work,,,,paged,,,,text,public domain,,,Manuscripts,,,,,e-codices|~|Bibliothek Schaffhausen,,"Schaffhausen, Stadtbibliothek, Gen. 1",https://www.e-codices.unifr.ch/loris/sbs/sbs-0001/sbs-0001_e001.jp2,https://www.e-codices.unifr.ch/metadata/iiif/sbs-0001/manifest.json,https://www.e-codices.unifr.ch/en/list/one/sbs/0001,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025z1fx,ark:/21198/zz0015vcjk,2,Completed,Work,,,,paged,,,,text,public domain,,,Manuscripts,,,,,Stiftsbibliothek Sankt Gallen|~|e-codices,,"St. Gallen, Stiftsbibliothek, Codex 100",https://www.e-codices.unifr.ch/loris/csg/csg-0100/csg-0100_004.jp2,https://www.e-codices.unifr.ch/metadata/iiif/csg-0100/manifest.json,https://www.e-codices.unifr.ch/en/list/one/csg/0100,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025zf1h,ark:/21198/zz0015vcjk,2,Completed,Work,,,,paged,,,,text,public domain,,,Manuscripts,,,,,Stiftsbibliothek Sankt Gallen|~|e-codices,,"St. Gallen, Stiftsbibliothek, Codex 101",https://www.e-codices.unifr.ch/loris/csg/csg-0101/csg-0101_002.jp2,https://www.e-codices.unifr.ch/metadata/iiif/csg-0101/manifest.json,https://www.e-codices.unifr.ch/en/list/one/csg/0101,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025zw4b,ark:/21198/zz0015vcjk,2,Completed,Work,,,,paged,,,,text,public domain,,,Manuscripts,,,,,Stiftsbibliothek Sankt Gallen|~|e-codices,,"St. Gallen, Stiftsbibliothek, Codex 103",https://www.e-codices.unifr.ch/loris/csg/csg-0103/csg-0103_003.jp2,https://www.e-codices.unifr.ch/metadata/iiif/csg-0103/manifest.json,https://www.e-codices.unifr.ch/en/list/one/csg/0103,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00260hr6,ark:/21198/zz0015vcjk,2,Completed,Work,,,,paged,,,,text,public domain,,,Manuscripts,,,,,Stiftsbibliothek Sankt Gallen|~|e-codices,,"St. Gallen, Stiftsbibliothek, Codex 132",https://www.e-codices.unifr.ch/loris/csg/csg-0132/csg-0132_001.jp2,https://www.e-codices.unifr.ch/metadata/iiif/csg-0132/manifest.json,https://www.e-codices.unifr.ch/en/list/one/csg/0132,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00260m4b,ark:/21198/zz0015vcjk,2,Completed,Work,,,,paged,,,,text,public domain,,,Manuscripts,,,,,Stiftsbibliothek Sankt Gallen|~|e-codices,,"St. Gallen, Stiftsbibliothek, Codex 143",https://www.e-codices.unifr.ch/loris/csg/csg-0143/csg-0143_003.jp2,https://www.e-codices.unifr.ch/metadata/iiif/csg-0143/manifest.json,https://www.e-codices.unifr.ch/en/list/one/csg/0143,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00260tgd,ark:/21198/zz0015vcjk,2,Completed,Work,,,,paged,,,,text,public domain,,,Manuscripts,,,,,Stiftsbibliothek Sankt Gallen|~|e-codices,,"St. Gallen, Stiftsbibliothek, Codex 147",https://www.e-codices.unifr.ch/loris/csg/csg-0147/csg-0147_003.jp2,https://www.e-codices.unifr.ch/metadata/iiif/csg-0147/manifest.json,https://www.e-codices.unifr.ch/en/list/one/csg/0147,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz002615ps,ark:/21198/zz0015vcjk,2,Completed,Work,,,,paged,,,,text,public domain,,,Manuscripts,,,,,Stiftsbibliothek Sankt Gallen|~|e-codices,,"St. Gallen, Stiftsbibliothek, Codex 152",https://www.e-codices.unifr.ch/loris/csg/csg-0152/csg-0152_003.jp2,https://www.e-codices.unifr.ch/metadata/iiif/csg-0152/manifest.json,https://www.e-codices.unifr.ch/en/list/one/csg/0152,,,,,,,,,,,
