"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Subject","Name.author","Name.subject","Name.annotator","Name.repository","Name.scribe","Title","Relation.rectoVerso","Relation.pageNumber","Relation.textDirection","Relation.isVersionOf","Alt ID.local","Description.contents","Date.creation","Format.dimensions","Format.extent","Description.note","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"St Gall Manuscripts","ark:/21198/zz00294sff","ark:/21198/zz00294sdx","2","Completed","Page","StGall/masters/napoli_004/napoli_4_001_r.tif","1","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 1r","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294sff",""
"St Gall Manuscripts","ark:/21198/zz00294sgz","ark:/21198/zz00294sdx","2","Completed","Page","StGall/masters/napoli_004/napoli_4_001_v.tif","2","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 1v","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294sgz",""
"St Gall Manuscripts","ark:/21198/zz00294shg","ark:/21198/zz00294sdx","2","Completed","Page","StGall/masters/napoli_004/napoli_4_002_r.tif","3","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 2r","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294shg",""
"St Gall Manuscripts","ark:/21198/zz00294sj0","ark:/21198/zz00294sdx","2","Completed","Page","StGall/masters/napoli_004/napoli_4_002_v.tif","4","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 2v","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294sj0",""
"St Gall Manuscripts","ark:/21198/zz00294skh","ark:/21198/zz00294sdx","2","Completed","Page","StGall/masters/napoli_004/napoli_4_003_r.tif","5","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 3r","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294skh",""
"St Gall Manuscripts","ark:/21198/zz00294sm1","ark:/21198/zz00294sdx","2","Completed","Page","StGall/masters/napoli_004/napoli_4_003_v.tif","6","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 3v","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294sm1",""
"St Gall Manuscripts","ark:/21198/zz00294snj","ark:/21198/zz00294sdx","2","Completed","Page","StGall/masters/napoli_004/napoli_4_004_r.tif","7","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 4r","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294snj",""
"St Gall Manuscripts","ark:/21198/zz00294sp2","ark:/21198/zz00294sdx","2","Completed","Page","StGall/masters/napoli_004/napoli_4_004_v.tif","8","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 4v","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294sp2",""
"St Gall Manuscripts","ark:/21198/zz00294sqk","ark:/21198/zz00294sdx","2","Completed","Page","StGall/masters/napoli_004/napoli_4_005_r.tif","9","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 5r","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294sqk",""
"St Gall Manuscripts","ark:/21198/zz00294sr3","ark:/21198/zz00294sdx","2","Completed","Page","StGall/masters/napoli_004/napoli_4_005_v.tif","10","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 5v","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294sr3",""
"St Gall Manuscripts","ark:/21198/zz00294ssm","ark:/21198/zz00294sdx","2","Completed","Page","StGall/masters/napoli_004/napoli_4_006_r.tif","11","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 6r","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294ssm",""
"St Gall Manuscripts","ark:/21198/zz00294st4","ark:/21198/zz00294sdx","2","Completed","Page","StGall/masters/napoli_004/napoli_4_006_v.tif","12","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 6v","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294st4",""
"St Gall Manuscripts","ark:/21198/zz00294svn","ark:/21198/zz00294sdx","2","Completed","Page","StGall/masters/napoli_004/napoli_4_007_r.tif","13","","","","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 7r","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294svn",""
