"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","IIIF Access URL","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Subject.topic","Author","Name.subject","Name.annotator","Name.repository","Name.scribe","Title","Relation.rectoVerso","Relation.pageNumber","Relation.textDirection","Relation.isVersionOf","AltIdentifier.local","Description.contents","Date.creation","Format.dimensions","Format.extent","Description.note","Summary","Bucketeer State","IIIF Manifest URL"
"St Gall Manuscripts","ark:/21198/zz00295bzc","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_007r.tif","11","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295bzc","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 7r","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295c0c","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_007v.tif","12","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295c0c","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 7v","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295c1w","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_008r.tif","13","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295c1w","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 8r","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295c2d","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_008v.tif","14","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295c2d","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 8v","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295c3x","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_009r.tif","15","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295c3x","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 9r","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295c4f","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_009v.tif","16","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295c4f","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 9v","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295c5z","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_010r.tif","17","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295c5z","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 10r","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295c6g","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_010v.tif","18","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295c6g","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 10v","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295c70","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_011r.tif","19","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295c70","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 11r","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295c8h","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_011v.tif","20","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295c8h","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 11v","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295c91","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_012r.tif","21","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295c91","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 12r","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295cbj","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_012v.tif","22","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295cbj","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 12v","","","","","","","","","","","","succeeded",""
