"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","IIIF Access URL","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Subject.topic","Author","Name.subject","Name.annotator","Name.repository","Name.scribe","Title","Relation.rectoVerso","Relation.pageNumber","Relation.textDirection","Relation.isVersionOf","AltIdentifier.local","Description.contents","Date.creation","Format.dimensions","Format.extent","Description.note","Summary","Bucketeer State","IIIF Manifest URL"
"St Gall Manuscripts","ark:/21198/zz00297jbv","ark:/21198/zz002971c4","2","Completed","Page","StGall/masters/add_ms_11852/add_ms_11852_fspi-blef.tif","1","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297jbv","","","","","text","pd","","manuscripts (document genre)","","","","","","","Front cover / spine","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz002971dn","ark:/21198/zz002971c4","2","Completed","Page","StGall/masters/add_ms_11852/add_ms_11852_f001r.tif","2","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002971dn","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 1r","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz002971f5","ark:/21198/zz002971c4","2","Completed","Page","StGall/masters/add_ms_11852/add_ms_11852_f001v.tif","3","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002971f5","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 1v","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz002971gp","ark:/21198/zz002971c4","2","Completed","Page","StGall/masters/add_ms_11852/add_ms_11852_f002r.tif","4","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002971gp","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 2r","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz002971h6","ark:/21198/zz002971c4","2","Completed","Page","StGall/masters/add_ms_11852/add_ms_11852_f002v.tif","5","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002971h6","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 2v","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz002971jq","ark:/21198/zz002971c4","2","Completed","Page","StGall/masters/add_ms_11852/add_ms_11852_f003r.tif","6","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002971jq","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 3r","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz002971k7","ark:/21198/zz002971c4","2","Completed","Page","StGall/masters/add_ms_11852/add_ms_11852_f003v.tif","7","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002971k7","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 3v","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz002971mr","ark:/21198/zz002971c4","2","Completed","Page","StGall/masters/add_ms_11852/add_ms_11852_f004r.tif","8","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002971mr","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 4r","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz002971n8","ark:/21198/zz002971c4","2","Completed","Page","StGall/masters/add_ms_11852/add_ms_11852_f004v.tif","9","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002971n8","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 4v","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz002971ps","ark:/21198/zz002971c4","2","Completed","Page","StGall/masters/add_ms_11852/add_ms_11852_f005r.tif","10","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002971ps","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 5r","","","","","","","","","","","","succeeded",""
