File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Rights.copyrightStatus,Type.typeOfResource,Bucketeer State,IIIF Access URL
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_001.tif,Page,Front cover,1,ark:/21198/n1zs57,ark:/21198/n1zs57/1q56rm0v,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2F1q56rm0v
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_002.tif,Page,Inside front cover,2,ark:/21198/n1zs57,ark:/21198/n1zs57/q831b70b,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2Fq831b70b
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_003.tif,Page,Page 1,3,ark:/21198/n1zs57,ark:/21198/n1zs57/0j98729g,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2F0j98729g
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_004.tif,Page,Page 2,4,ark:/21198/n1zs57,ark:/21198/n1zs57/qg504r3w,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2Fqg504r3w
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_005.tif,Page,Page 3,5,ark:/21198/n1zs57,ark:/21198/n1zs57/sd39dd6p,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2Fsd39dd6p
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_006.tif,Page,Page 4,6,ark:/21198/n1zs57,ark:/21198/n1zs57/4q01z039,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2F4q01z039
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_007.tif,Page,Page 5,7,ark:/21198/n1zs57,ark:/21198/n1zs57/gd89kc4w,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2Fgd89kc4w
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_008.tif,Page,Page 6,8,ark:/21198/n1zs57,ark:/21198/n1zs57/cm85j915,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2Fcm85j915
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_009.tif,Page,Page 7,9,ark:/21198/n1zs57,ark:/21198/n1zs57/mb340c4c,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2Fmb340c4c
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_010.tif,Page,Page 8,10,ark:/21198/n1zs57,ark:/21198/n1zs57/tp102j64,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2Ftp102j64
