File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Rights.copyrightStatus,Type.typeOfResource,Bucketeer State,IIIF Access URL
Masters/othermasters/dl_toganoo/masters/ucla_2997885/ucla_2997885_022.tif,Page,Page 18,22,ark:/21198/n1mk86,ark:/21198/n1mk86/b6006w3s,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mk86%2Fb6006w3s
Masters/othermasters/dl_toganoo/masters/ucla_2997885/ucla_2997885_023.tif,Page,Page 19,23,ark:/21198/n1mk86,ark:/21198/n1mk86/s771nv2w,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mk86%2Fs771nv2w
Masters/othermasters/dl_toganoo/masters/ucla_2997885/ucla_2997885_024.tif,Page,Page 20,24,ark:/21198/n1mk86,ark:/21198/n1mk86/wc64p29k,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mk86%2Fwc64p29k
Masters/othermasters/dl_toganoo/masters/ucla_2997885/ucla_2997885_025.tif,Page,Page 21,25,ark:/21198/n1mk86,ark:/21198/n1mk86/ck25d84d,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mk86%2Fck25d84d
Masters/othermasters/dl_toganoo/masters/ucla_2997885/ucla_2997885_026.tif,Page,Page 22,26,ark:/21198/n1mk86,ark:/21198/n1mk86/bd72978m,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mk86%2Fbd72978m
Masters/othermasters/dl_toganoo/masters/ucla_2997885/ucla_2997885_027.tif,Page,Page 23,27,ark:/21198/n1mk86,ark:/21198/n1mk86/pv76649b,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mk86%2Fpv76649b
Masters/othermasters/dl_toganoo/masters/ucla_2997885/ucla_2997885_028.tif,Page,Page 24,28,ark:/21198/n1mk86,ark:/21198/n1mk86/sm345887,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mk86%2Fsm345887
Masters/othermasters/dl_toganoo/masters/ucla_2997885/ucla_2997885_029.tif,Page,Page 25,29,ark:/21198/n1mk86,ark:/21198/n1mk86/6322kf8x,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mk86%2F6322kf8x
Masters/othermasters/dl_toganoo/masters/ucla_2997885/ucla_2997885_030.tif,Page,Page 26,30,ark:/21198/n1mk86,ark:/21198/n1mk86/wk08jp29,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mk86%2Fwk08jp29
Masters/othermasters/dl_toganoo/masters/ucla_2997885/ucla_2997885_031.tif,Page,Page 27,31,ark:/21198/n1mk86,ark:/21198/n1mk86/s443cg78,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1mk86%2Fs443cg78
