"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Language","Subject","Name.repository","Name.creator","Title","Relation.rectoVerso","Date.creation","Relation.isPartOf","Alt ID.local","AltTitle.uniform","Description.note","Format.dimensions","Description.abstract","Coverage.geographic","Date.normalized","Publisher.placeOfOrigin","Format.medium","Publisher.publisherName","Relation.textDirection","Format.extent","thumbnailImageName","masterImageName","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000j3rm7","ark:/21198/zz000j3rkq","2","Completed","Page","medren/masters/21198-zz000j3rm7-1-master.tif","2","","","","","","","still image","","pd","","","","","Belt MS 37 page 1","v","","","","","","","","","","","","","","","21198-zz000j3rm7-1-thumbnail.jpg","21198-zz000j3rm7-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3rm7",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000j3rnr","ark:/21198/zz000j3rkq","2","Completed","Page","medren/masters/21198-zz000j3rnr-1-master.tif","3","","","","","","","still image|~|text","","pd","","","","","Belt MS 37 page 2","r","","","","","","","","","","","","","","","21198-zz000j3rnr-1-thumbnail.jpg","21198-zz000j3rnr-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3rnr",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000j3rp8","ark:/21198/zz000j3rkq","2","Completed","Page","medren/masters/21198-zz000j3rp8-1-master.tif","4","","","","","","","text","","pd","","","","","Belt MS 37 page 3","v","","","","","","","","","","","","","","","21198-zz000j3rp8-1-thumbnail.jpg","21198-zz000j3rp8-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3rp8",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000j3rqs","ark:/21198/zz000j3rkq","2","Completed","Page","medren/masters/21198-zz000j3rqs-1-master.tif","5","","","","","","","","","pd","","","","","Belt Ms. 37. Page 4","r","","","","","","","","","","","","","","","21198-zz000j3rqs-1-thumbnail.jpg","21198-zz000j3rqs-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3rqs",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000j3rr9","ark:/21198/zz000j3rkq","2","Completed","Page","medren/masters/21198-zz000j3rr9-1-master.tif","6","","","","","","","","","pd","","","","","Belt Ms. 37. Page 5","v","","","","","","","","","","","","","","","21198-zz000j3rr9-1-thumbnail.jpg","21198-zz000j3rr9-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3rr9",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000j3rst","ark:/21198/zz000j3rkq","2","Completed","Page","medren/masters/21198-zz000j3rst-1-master.tif","7","","","","","","","","","pd","","","","","Belt Ms. 37. Page 6","r","","","","","","","","","","","","","","","21198-zz000j3rst-1-thumbnail.jpg","21198-zz000j3rst-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3rst",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000j3rtb","ark:/21198/zz000j3rkq","2","Completed","Page","medren/masters/21198-zz000j3rtb-1-master.tif","8","","","","","","","","","pd","","","","","Belt Ms. 37. Page 7","v","","","","","","","","","","","","","","","21198-zz000j3rtb-1-thumbnail.jpg","21198-zz000j3rtb-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3rtb",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000j3rvv","ark:/21198/zz000j3rkq","2","Completed","Page","medren/masters/21198-zz000j3rvv-1-master.tif","9","","","","","","","","","pd","","","","","Belt Ms. 37. Page 8","r","","","","","","","","","","","","","","","21198-zz000j3rvv-1-thumbnail.jpg","21198-zz000j3rvv-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3rvv",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000j3rwc","ark:/21198/zz000j3rkq","2","Completed","Page","medren/masters/21198-zz000j3rwc-1-master.tif","10","","","","","","","","","pd","","","","","Belt Ms. 37. Page 9","v","","","","","","","","","","","","","","","21198-zz000j3rwc-1-thumbnail.jpg","21198-zz000j3rwc-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3rwc",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000j3rxw","ark:/21198/zz000j3rkq","2","Completed","Page","medren/masters/21198-zz000j3rxw-1-master.tif","11","","","","","","","","","pd","","","","","Belt Ms. 37. Page 10","r","","","","","","","","","","","","","","","21198-zz000j3rxw-1-thumbnail.jpg","21198-zz000j3rxw-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3rxw",""
