"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Name.repository","Title","Alt ID.local","Description.note","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0jjq","ark:/21198/zz002kjsvb","10","Completed with minimal metadata","Page","fowler_rainbow_bridge/image/uclalsc_2995564_0001.tif","1","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0001","uclalsc_2995564_0001","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0jjq",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0jk7","ark:/21198/zz002kjsvb","10","Completed with minimal metadata","Page","fowler_rainbow_bridge/image/uclalsc_2995564_0002.tif","2","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0002","uclalsc_2995564_0002","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0jk7",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0jmr","ark:/21198/zz002kjsvb","10","Completed with minimal metadata","Page","fowler_rainbow_bridge/image/uclalsc_2995564_0003.tif","3","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0003","uclalsc_2995564_0003","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0jmr",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0jn8","ark:/21198/zz002kjsvb","10","Completed with minimal metadata","Page","fowler_rainbow_bridge/image/uclalsc_2995564_0004.tif","4","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0004","uclalsc_2995564_0004","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0jn8",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0jps","ark:/21198/zz002kjsvb","10","Completed with minimal metadata","Page","fowler_rainbow_bridge/image/uclalsc_2995564_0005.tif","5","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0005","uclalsc_2995564_0005","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0jps",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0jq9","ark:/21198/zz002kjsvb","10","Completed with minimal metadata","Page","fowler_rainbow_bridge/image/uclalsc_2995564_0006.tif","6","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0006","uclalsc_2995564_0006","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0jq9",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0jrt","ark:/21198/zz002kjsvb","10","Completed with minimal metadata","Page","fowler_rainbow_bridge/image/uclalsc_2995564_0007.tif","7","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0007","uclalsc_2995564_0007","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0jrt",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0jsb","ark:/21198/zz002kjsvb","10","Completed with minimal metadata","Page","fowler_rainbow_bridge/image/uclalsc_2995564_0008.tif","8","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0008","uclalsc_2995564_0008","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0jsb",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0jtv","ark:/21198/zz002kjsvb","10","Completed with minimal metadata","Page","fowler_rainbow_bridge/image/uclalsc_2995564_0009.tif","9","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0009","uclalsc_2995564_0009","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0jtv",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0jvc","ark:/21198/zz002kjsvb","10","Completed with minimal metadata","Page","fowler_rainbow_bridge/image/uclalsc_2995564_0010.tif","10","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0010","uclalsc_2995564_0010","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0jvc",""
"Report on Fieldwork with the Rainbow Bridge","ark:/21198/zz002j0jww","ark:/21198/zz002kjsvb","10","Completed with minimal metadata","Page","fowler_rainbow_bridge/image/uclalsc_2995564_0011.tif","11","","","still image","Fowler Museum at UCLA","uclalsc_2995564_0011","uclalsc_2995564_0011","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0jww",""
