Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,viewingHint,Text direction,Item Sequence,Duplicate,Delete in Title,IIIF Access URL,Type.typeOfResource,Name.repository,Title,Alt ID.local,Description.note,IIIF Manifest URL
Report on Fieldwork with the Rainbow Bridge,ark:/21198/zz002j0bvg,,10,Completed with minimal metadata,Collection,,,,,,,,still image,Fowler Museum at UCLA,Report on Fieldwork with the Rainbow Bridge,,"Report on Fieldwork with the Rainbow Bridge-Monument Valley Expedition, 1933-38. is the Masters of Arts thesis, co-authored by James Russell and Russell White, two teachers for the public schools of California who participated in the Expedition for the 1934 season.  Under Lyndon Hargrave, Director of the Museum of Northern Arizona, who oversaw the Expedition during the first two years, Russell and White produced this in-depth study of several topics, including the Navajo Mud Dance, the dinosaur find, Segisaurus, and other archaeological work.  Each chapter is accompanied by a comprehensive collection of photographs, hand tipped-into the publication.  It is a rare and coveted document with one copy in good condition in the holdings of Special Collections, Powell Library, UCLA.",https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz002j0bvg
Report on Fieldwork with the Rainbow Bridge,ark:/21198/zz002kjsvb,ark:/21198/zz002j0bvg,10,Completed with minimal metadata,Work,,paged,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0jps,still image,Fowler Museum at UCLA,Work record,,This record was created as part of the migration process to create an ARK for the work that all the pages of the report belong to.,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002kjsvb/manifest
