Project Name,Parent ARK,Item ARK,Object Type,viewingHint,Text direction,File Name,AltIdentifier.local,Item Sequence,Title,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Language,Name.repository,AltTitle.other,AltTitle.translated,AltTitle.uniform,Place of origin,Date.creation,Date.normalized,Format.extent,Format.dimensions,Support,Relation.rectoVerso,Description.note,Description.history,Description.condition,Coverage.temporal,Description.collation,Description.binding,Description.tableOfContents,Description.contents,Description.abstract,Bucketeer State,IIIF Access URL
Ethiopic Manuscripts,ark:/21198/zz001d616z,ark:/21198/zz001dx7fw,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001dx7fw_1266623_master.tif,Ms. 7_11,11,Page 11,,,pd,,gez,,መዝሙረ ዳዊት|~|Mazemura Dāwit,Psalter,Dawit,Ethiopia,19th c.,1800/1899,1 Page,170 mm x 115 mm,Vellum,,Psalms beginning from Psalm 111(112):3 መዝሙረ ዳዊት ;ወጽድቁኒ ይነብር ለዓለም። ;ሠረቀ ብርሃን ለራትዓን በውስተ ጽልመት። ;መሐሪ ወመስተሣህል እግዚአብሔር።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dx7fw
Ethiopic Manuscripts,ark:/21198/zz001d616z,ark:/21198/zz001dx7gd,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001dx7gd_1266628_master.tif,Ms. 7_12,12,Page 12,,,pd,,gez,,መዝሙረ ዳዊት|~|Mazemura Dāwit,Psalter,Dawit,Ethiopia,19th c.,1800/1899,1 Page,170 mm x 115 mm,Vellum,,Psalms beginning from Psalm 111(112):3 መዝሙረ ዳዊት ;ወጽድቁኒ ይነብር ለዓለም። ;ሠረቀ ብርሃን ለራትዓን በውስተ ጽልመት። ;መሐሪ ወመስተሣህል እግዚአብሔር።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dx7gd
Ethiopic Manuscripts,ark:/21198/zz001d616z,ark:/21198/zz001dx7hx,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001dx7hx_1266631_master.tif,Ms. 7_13,13,Page 13,,,pd,,gez,,መዝሙረ ዳዊት|~|Mazemura Dāwit,Psalter,Dawit,Ethiopia,19th c.,1800/1899,1 Page,170 mm x 115 mm,Vellum,,Psalms beginning from Psalm 111(112):3 መዝሙረ ዳዊት ;ወጽድቁኒ ይነብር ለዓለም። ;ሠረቀ ብርሃን ለራትዓን በውስተ ጽልመት። ;መሐሪ ወመስተሣህል እግዚአብሔር።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dx7hx
Ethiopic Manuscripts,ark:/21198/zz001d616z,ark:/21198/zz001dx7jf,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001dx7jf_1266635_master.tif,Ms. 7_14,14,Page 14,,,pd,,gez,,መዝሙረ ዳዊት|~|Mazemura Dāwit,Psalter,Dawit,Ethiopia,19th c.,1800/1899,1 Page,170 mm x 115 mm,Vellum,,Psalms beginning from Psalm 111(112):3 መዝሙረ ዳዊት ;ወጽድቁኒ ይነብር ለዓለም። ;ሠረቀ ብርሃን ለራትዓን በውስተ ጽልመት። ;መሐሪ ወመስተሣህል እግዚአብሔር።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dx7jf
Ethiopic Manuscripts,ark:/21198/zz001d616z,ark:/21198/zz001dx7kz,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001dx7kz_1266638_master.tif,Ms. 7_15,15,Page 15,,,pd,,gez,,መዝሙረ ዳዊት|~|Mazemura Dāwit,Psalter,Dawit,Ethiopia,19th c.,1800/1899,1 Page,170 mm x 115 mm,Vellum,,Psalms beginning from Psalm 111(112):3 መዝሙረ ዳዊት ;ወጽድቁኒ ይነብር ለዓለም። ;ሠረቀ ብርሃን ለራትዓን በውስተ ጽልመት። ;መሐሪ ወመስተሣህል እግዚአብሔር።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dx7kz
Ethiopic Manuscripts,ark:/21198/zz001d616z,ark:/21198/zz001dx7mg,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001dx7mg_1266643_master.tif,Ms. 7_16,16,Page 16,,,pd,,gez,,መዝሙረ ዳዊት|~|Mazemura Dāwit,Psalter,Dawit,Ethiopia,19th c.,1800/1899,1 Page,170 mm x 115 mm,Vellum,,Psalms beginning from Psalm 111(112):3 መዝሙረ ዳዊት ;ወጽድቁኒ ይነብር ለዓለም። ;ሠረቀ ብርሃን ለራትዓን በውስተ ጽልመት። ;መሐሪ ወመስተሣህል እግዚአብሔር።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dx7mg
Ethiopic Manuscripts,ark:/21198/zz001d616z,ark:/21198/zz001dx7n0,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001dx7n0_1276024_master.tif,Ms. 7_17,17,Page 17,,,pd,,gez,,መዝሙረ ዳዊት|~|Mazemura Dāwit,Psalter,Dawit,Ethiopia,19th c.,1800/1899,1 Page,170 mm x 115 mm,Vellum,,Psalms beginning from Psalm 111(112):3 መዝሙረ ዳዊት ;ወጽድቁኒ ይነብር ለዓለም። ;ሠረቀ ብርሃን ለራትዓን በውስተ ጽልመት። ;መሐሪ ወመስተሣህል እግዚአብሔር።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dx7n0
Ethiopic Manuscripts,ark:/21198/zz001d616z,ark:/21198/zz001dx7ph,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001dx7ph_1266646_master.tif,Ms. 7_18,18,Page 18,,,pd,,gez,,መዝሙረ ዳዊት|~|Mazemura Dāwit,Psalter,Dawit,Ethiopia,19th c.,1800/1899,1 Page,170 mm x 115 mm,Vellum,,Psalms beginning from Psalm 111(112):3 መዝሙረ ዳዊት ;ወጽድቁኒ ይነብር ለዓለም። ;ሠረቀ ብርሃን ለራትዓን በውስተ ጽልመት። ;መሐሪ ወመስተሣህል እግዚአብሔር።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dx7ph
Ethiopic Manuscripts,ark:/21198/zz001d616z,ark:/21198/zz001dx7q1,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001dx7q1_1266649_master.tif,Ms. 7_19,19,Page 19,,,pd,,gez,,መዝሙረ ዳዊት|~|Mazemura Dāwit,Psalter,Dawit,Ethiopia,19th c.,1800/1899,1 Page,170 mm x 115 mm,Vellum,,Psalms beginning from Psalm 111(112):3 መዝሙረ ዳዊት ;ወጽድቁኒ ይነብር ለዓለም። ;ሠረቀ ብርሃን ለራትዓን በውስተ ጽልመት። ;መሐሪ ወመስተሣህል እግዚአብሔር።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dx7q1
Ethiopic Manuscripts,ark:/21198/zz001d616z,ark:/21198/zz001dx7rj,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001dx7rj_1266654_master.tif,Ms. 7_20,20,Page 20,,,pd,,gez,,መዝሙረ ዳዊት|~|Mazemura Dāwit,Psalter,Dawit,Ethiopia,19th c.,1800/1899,1 Page,170 mm x 115 mm,Vellum,,Psalms beginning from Psalm 111(112):3 መዝሙረ ዳዊት ;ወጽድቁኒ ይነብር ለዓለም። ;ሠረቀ ብርሃን ለራትዓን በውስተ ጽልመት። ;መሐሪ ወመስተሣህል እግዚአብሔር።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dx7rj
