Project Name,Parent ARK,Item ARK,Object Type,File Name,viewingHint,Text direction,AltIdentifier.local,Item Sequence,Title,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Language,Name.repository,AltTitle.other,AltTitle.translated,AltTitle.uniform,Place of origin,Date.creation,Date.normalized,Format.extent,Format.dimensions,Support,Description.note,Description.history,Description.condition,Coverage.temporal,Description.collation,Description.binding,Description.tableOfContents,Description.contents,Description.abstract,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Ethiopic Manuscripts,ark:/21198/zz0009gx8h,ark:/21198/zz0009kc21,Page,Masters/dlmasters/ethiopian/masters/21198-zz0009kc21-1-master.tif,,,Ms. 25_blk1,1,Blank page,,,pd,,,,,,,Ethiopia,20th c.,1900/1999,,250 mm x 222 mm,Vellum,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kc21,
Ethiopic Manuscripts,ark:/21198/zz0009gx8h,ark:/21198/zz0009kc3j,Page,Masters/dlmasters/ethiopian/masters/21198-zz0009kc3j-1-master.tif,,,Ms. 25_blk2,2,Blank page,,,pd,,,,,,,Ethiopia,20th c.,1900/1999,,250 mm x 222 mm,Vellum,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kc3j,
Ethiopic Manuscripts,ark:/21198/zz0009gx8h,ark:/21198/zz0009kc42,Page,Masters/dlmasters/ethiopian/masters/21198-zz0009kc42-1-master.tif,,,Ms. 25_blk3,3,Blank page,,,pd,,,,,,,Ethiopia,20th c.,1900/1999,,250 mm x 222 mm,Vellum,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kc42,
Ethiopic Manuscripts,ark:/21198/zz0009gx8h,ark:/21198/zz0009kc5k,Page,Masters/dlmasters/ethiopian/masters/21198-zz0009kc5k-1-master.tif,,,Ms. 25_blk4,4,Blank page,,,pd,,,,,,,Ethiopia,20th c.,1900/1999,,250 mm x 222 mm,Vellum,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kc5k,
Ethiopic Manuscripts,ark:/21198/zz0009gx8h,ark:/21198/zz0009kc63,Page,Masters/dlmasters/ethiopian/masters/21198-zz0009kc63-1-master.tif,,,Ms. 25_1,5,Page 1,,,pd,,gez,,ጸሎተ ኪዳን|~|መጽሐፈ ቅዳሴ,The Book of Missal,Qedāsé,Ethiopia,20th c.,1900/1999,,250 mm x 222 mm,Vellum,Prayers for the new vessels:  On the paten:  በስመ አብ  ጸሎት ሶበ ትሰይሞ ለፃሕል ወትብል። እግዚአብሔር አምላክነ አኃዜ ኲሉ አቡሁ እግዚአነ ወአምላክነ ወመድኃኒነ ኢየሱስ ክርስቶስ። ዘአቀማ ለቤተ ክርስቲያኑ በንጽሕ ወለካህናት ወለካህናት ወንዋየ ቅድሳት ; On the chalice:  ጸሎት ሶበ ትሰይሞ ለጽዋዕ ቅዱስ ወትብል እግዚአብሔር አምላክነ... ዘኀረዮ ለአሮን ካህን ወዐቀመ ማእከለ ጉባኤ ማኅበር በደብተራ ስምዕ ወረሰየ ከመ ይፈጽም ቅድሳቶ ኅበ መቅደሱ እንተ ይእቲ ቅድተ ቅዱሳን,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kc63,
Ethiopic Manuscripts,ark:/21198/zz0009gx8h,ark:/21198/zz0009kc7m,Page,Masters/dlmasters/ethiopian/masters/21198-zz0009kc7m-1-master.tif,,,Ms. 25_2,6,Page 2,,,pd,,gez,,መጽሐፈ ቅዳሴ|~|ጸሎተ ኪዳን,The Book of Missal,Qedāsé,Ethiopia,20th c.,1900/1999,,250 mm x 222 mm,Vellum,Prayers for the new vessels:  On the chalice:  ጸሎት ሶበ ትሰይሞ ለጽዋዕ ቅዱስ ወትብል እግዚአብሔር አምላክነ... ዘኀረዮ ለአሮን ካህን ወዐቀመ ማእከለ ጉባኤ ማኅበር በደብተራ ስምዕ ወረሰየ ከመ ይፈጽም ቅድሳቶ ኅበ መቅደሱ እንተ ይእቲ ቅድተ ቅዱሳን ; On the cross spoon:  ጸሎት ሶበ ትሠይሞ ለዕርፈ መስቀል ወትብል እግዚአብሔር አምላክነ...  ንስእል ወናስተበቊዕ ኂሩተ ሠናያቲከ ኦ መፍቀሬ ሰብእ ዘኃረይኮ ለእስጢፋኖስ ወረሰይኮ ላእከ ለካህናት,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kc7m,
Ethiopic Manuscripts,ark:/21198/zz0009gx8h,ark:/21198/zz0009kc84,Page,Masters/dlmasters/ethiopian/masters/21198-zz0009kc84-1-master.tif,,,Ms. 25_3,7,Page 3,,,pd,,gez,,ጸሎተ ኪዳን|~|መጽሐፈ ቅዳሴ,The Book of Missal,Qedāsé,Ethiopia,20th c.,1900/1999,,250 mm x 222 mm,Vellum,Prayers for the new vessels:  On the cross spoon:  ጸሎት ሶበ ትሠይሞ ለዕርፈ መስቀል ወትብል እግዚአብሔር አምላክነ...  ንስእል ወናስተበቊዕ ኂሩተ ሠናያቲከ ኦ መፍቀሬ ሰብእ ዘኃረይኮ ለእስጢፋኖስ ወረሰይኮ ላእከ ለካህናት; Introductory Prayers:  Words for priests and decon:  በስመ አብ... ሥርዓተ ቅዳሴ ዘይደሉ ለቀሲስ ወለዲያቆን ወለኲሉ ሕዝብ ወለኲሉ ዘመፍትው ዘበበጊዜሁ በከመ ሥርዓተ አበዊነ ግብፃውያን,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kc84,
Ethiopic Manuscripts,ark:/21198/zz0009gx8h,ark:/21198/zz0009kc9n,Page,Masters/dlmasters/ethiopian/masters/21198-zz0009kc9n-1-master.tif,,,Ms. 25_4,8,Page 4,,,pd,,gez,,መጽሐፈ ቅዳሴ|~|ጸሎተ ኪዳን,The Book of Missal,Qedāsé,Ethiopia,20th c.,1900/1999,,250 mm x 222 mm,Vellum,Introductory Prayers:  Words for priests and decon  በስመ አብ... ሥርዓተ ቅዳሴ ዘይደሉ ለቀሲስ ወለዲያቆን ወለኲሉ ሕዝብ ወለኲሉ ዘመፍትው ዘበበጊዜሁ በከመ ሥርዓተ አበዊነ ግብፃውያን; Prayer of Penitence መቅድመ ኲሉ ይጼሊ ቀሲስ ጸሎተ ንስሐ በዊኦቱ ኀበ ቤተ ክርስቲያን ወይበል መዝሙረ ዳዊት...  ወእምድኅሬሁ ይበል ዘንተ እግዚአብሔር አምላክነ አንተ ውእቱ ባሕቲቱከ ቅዱስ ዘወሀብከነ ለኲልነ ቅድሳቲከ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kc9n,
Ethiopic Manuscripts,ark:/21198/zz0009gx8h,ark:/21198/zz0009kcb5,Page,Masters/dlmasters/ethiopian/masters/21198-zz0009kcb5-1-master.tif,,,Ms. 25_5,9,Page 5,,,pd,,gez,,ጸሎተ ኪዳን|~|መጽሐፈ ቅዳሴ,The Book of Missal,Qedāsé,Ethiopia,20th c.,1900/1999,,250 mm x 222 mm,Vellum,Introductory Prayers:  Prayer of Penitence መቅድመ ኲሉ ይጼሊ ቀሲስ ጸሎተ ንስሐ በዊኦቱ ኀበ ቤተ ክርስቲያን ወይበል መዝሙረ ዳዊት...  ወእምድኅሬሁ ይበል ዘንተ እግዚአብሔር አምላክነ አንተ ውእቱ ባሕቲቱከ ቅዱስ ዘወሀብከነ ለኲልነ ቅድሳቲከ ; Prayer of Gregory ጸሎት ዘጎርጎርዮስ ቅድመ ግብአተ መንጦላዕት አምላክነ ዘተአምር ኲሎ ሕሊና ሰብእ ወትፈትን ልበ ወኲልያተ እስመ እንዘ ኢይደልወኒ ሊተ ጸዋእከኒ እትቀነይ ውስተ ዝንቱ መካን ቅዱስ ዘዚአከ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kcb5,
Ethiopic Manuscripts,ark:/21198/zz0009gx8h,ark:/21198/zz0009kccp,Page,Masters/dlmasters/ethiopian/masters/21198-zz0009kccp-1-master.tif,,,Ms. 25_6,10,Page 6,,,pd,,gez,,መጽሐፈ ቅዳሴ|~|ጸሎተ ኪዳን,The Book of Missal,Qedāsé,Ethiopia,20th c.,1900/1999,,250 mm x 222 mm,Vellum,Introductory Prayers:  Prayer of Gregory ጸሎት ዘጎርጎርዮስ ቅድመ ግብአተ መንጦላዕት አምላክነ ዘተአምር ኲሎ ሕሊና ሰብእ ወትፈትን ልበ ወኲልያተ እስመ እንዘ ኢይደልወኒ ሊተ ጸዋእከኒ እትቀነይ ውስተ ዝንቱ መካን ቅዱስ ዘዚአከ ; Prayer of Basil ወእምዝ ይባእ ካህን ውስተ ቤተ መቅደስ ወይሰግድ ቅድመ መንጦላዕተ ፩ደ ይበል ጸሎተ ባስልዮስ ላዕለ ሣፁናት እንዘ ያርኁ እግዚአብሔር አምላክነ ወፈጣሪነ ዘገበርከ ኲሎ በቃልከ ወአባእከነ ውስተ ዝንቱ ምሥጢር,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kccp,
Ethiopic Manuscripts,ark:/21198/zz0009gx8h,ark:/21198/zz0009kf83,Page,Masters/dlmasters/ethiopian/masters/21198-zz0009kf83-1-master.tif,,,Ms. 25_7,11,Page 7,,,pd,,gez,,ጸሎተ ኪዳን|~|መጽሐፈ ቅዳሴ,The Book of Missal,Qedāsé,Ethiopia,20th c.,1900/1999,,250 mm x 222 mm,Vellum,Introductory Prayers:  Prayer of Basil ወእምዝ ይባእ ካህን ውስተ ቤተ መቅደስ ወይሰግድ ቅድመ መንጦላዕተ ፩ደ ይበል ጸሎተ ባስልዮስ ላዕለ ሣፁናት እንዘ ያርኁ እግዚአብሔር አምላክነ ወፈጣሪነ ዘገበርከ ኲሎ በቃልከ ወአባእከነ ውስተ ዝንቱ ምሥጢር ; Prayer of John ወእምዝ ይባእ ውስጠ ወስግድ ፫ተ ጊዜ ቅድመ ታቦት ወይበል ጸሎተ ዮሐንስ እግዚአብሔር አምላክነ ዘይነብር መልዕልተ መላእክት ወሊቃነ መላእክት አጋዕዝት ወሥልጣናት,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kf83,
