Project Name,Parent ARK,Item ARK,Object Type,File Name,AltIdentifier.local,viewingHint,Text direction ,Item Sequence,Title,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Language,Name.repository,AltTitle.other,AltTitle.translated,AltTitle.uniform,Place of origin,Date.creation,Date.normalized,Format.extent,Format.dimensions,Support,Relation.rectoVerso,Description.note,Description.history,Description.condition,Coverage.temporal,Description.collation,Description.binding,Description.tableOfContents,Description.contents,Description.abstract,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hq1hk,Page,ethiopian/masters/21198-zz001hq1hk_1308014_master.tif,Ms. 59_130,,,130,Page 130,,,pd,,gez,,መጽሐፈ ዚቅ,Book of Ziq,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Book of Ziq መጽሐፈ ዚቅ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hq1hk,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hq1j3,Page,ethiopian/masters/21198-zz001hq1j3_1308017_master.tif,Ms. 59_131,,,131,Page 131,,,pd,,gez,,መጽሐፈ ዚቅ,Book of Ziq,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Book of Ziq መጽሐፈ ዚቅ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hq1j3,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hq1km,Page,ethiopian/masters/21198-zz001hq1km_1308020_master.tif,Ms. 59_132,,,132,Page 132,,,pd,,gez,,መጽሐፈ ዚቅ,Book of Ziq,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Book of Ziq መጽሐፈ ዚቅ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hq1km,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hq1m4,Page,ethiopian/masters/21198-zz001hq1m4_1308023_master.tif,Ms. 59_133,,,133,Page 133,,,pd,,gez,,መጽሐፈ ዚቅ,Book of Ziq,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Book of Ziq መጽሐፈ ዚቅ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hq1m4,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hq1nn,Page,ethiopian/masters/21198-zz001hq1nn_1308026_master.tif,Ms. 59_134,,,134,Page 134,,,pd,,gez,,መጽሐፈ ዚቅ,Book of Ziq,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Book of Ziq መጽሐፈ ዚቅ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hq1nn,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hq1p5,Page,ethiopian/masters/21198-zz001hq1p5_1308029_master.tif,Ms. 59_135,,,135,Page 135,,,pd,,gez,,መጽሐፈ ዚቅ,Book of Ziq,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Book of Ziq መጽሐፈ ዚቅ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hq1p5,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hq1qp,Page,ethiopian/masters/21198-zz001hq1qp_1308032_master.tif,Ms. 59_136,,,136,Page 136,,,pd,,gez,,መጽሐፈ ዚቅ,Book of Ziq,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Book of Ziq መጽሐፈ ዚቅ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hq1qp,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hq1r6,Page,ethiopian/masters/21198-zz001hq1r6_1308035_master.tif,Ms. 59_137,,,137,Page 137,,,pd,,gez,,መጽሐፈ ዚቅ,Book of Ziq,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Book of Ziq መጽሐፈ ዚቅ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hq1r6,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hq1sq,Page,ethiopian/masters/21198-zz001hq1sq_1308038_master.tif,Ms. 59_138,,,138,Page 138,,,pd,,gez,,መጽሐፈ ዚቅ,Book of Ziq,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Book of Ziq መጽሐፈ ዚቅ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hq1sq,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hq1t7,Page,ethiopian/masters/21198-zz001hq1t7_1308041_master.tif,Ms. 59_139,,,139,Page 139,,,pd,,gez,,መጽሐፈ ዚቅ,Book of Ziq,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Book of Ziq መጽሐፈ ዚቅ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hq1t7,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hq1vr,Page,ethiopian/masters/21198-zz001hq1vr_1308044_master.tif,Ms. 59_140,,,140,Page 140,,,pd,,gez,,መጽሐፈ ዚቅ,Book of Ziq,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Book of Ziq መጽሐፈ ዚቅ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hq1vr,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hq1w8,Page,ethiopian/masters/21198-zz001hq1w8_1308047_master.tif,Ms. 59_141,,,141,Page 141,,,pd,,gez,,መጽሐፈ ዚቅ,Book of Ziq,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Book of Ziq መጽሐፈ ዚቅ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hq1w8,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hq1xs,Page,ethiopian/masters/21198-zz001hq1xs_1308050_master.tif,Ms. 59_142,,,142,Page 142,,,pd,,gez,,መጽሐፈ ዚቅ|~|መልክአ ሥላሴ,Book of Ziq|~|Image of the Trinity,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Book of Ziq መጽሐፈ ዚቅ|~|Image of Trinity መልክአ ሥላሴ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hq1xs,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hq1z9,Page,ethiopian/masters/21198-zz001hq1z9_1308053_master.tif,Ms. 59_143,,,143,Page 143,,,pd,,gez,,መልክአ ሥላሴ,Image of the Trinity,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Image of Trinity መልክአ ሥላሴ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hq1z9,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hq209,Page,ethiopian/masters/21198-zz001hq209_1308056_master.tif,Ms. 59_144,,,144,Page 144,,,pd,,gez,,መልክአ ሥላሴ,Image of the Trinity,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Image of Trinity መልክአ ሥላሴ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hq209,
