"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Rights.copyrightStatus","Name.artist","Subject","Type.genre","Rights.permissionNote","Rights.permission","Name.copyrightHolder","Name.repository","Name.publisher","Name.subject","Name.contributor","Name.calligrapher","Name.photographer","Name.manufacturer","Name.donor","Name.creator","Title","Alt ID.collection","Alt ID.local","Date.creation","Date.normalized","Format.extent","Description.note","Relation.isPartOf","Relation.relatedTo","Coverage.geographic","Format.dimensions","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Tovar (Nancy) Murals of East LA Collection","ark:/21198/zz0025kt5z","ark:/21198/zz001ndq5p","1","In progress","Work","tovar/masters/21198-zz0025kt5z_1703074_master.tif","","","","still image","copyrighted","","Chicano artists--California--Los Angeles County|~|Chicano archives|~|photography -- Chicano|~|photography -- California -- Los Angeles|~|photography -- Mexican American|~|documentary photography","slides (photographs)","Copyright has been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.","Y","UCLA Chicano Studies Research Center Library & Archive","UCLA Chicano Studies Research Center Library & Archive","","","","","Tovar, Nancy","","","","Four Square Auto Wreckers","Nancy Tovar Murals of East LA Collection","CSRC_MURALS_TOVAR_082.tif","1975","1975","1 slide","Four Square Auto Wreckers304 N. Ford Blvd","Nancy Tovar Murals of East LA Collection","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kt5z","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kt5z/manifest"
"Tovar (Nancy) Murals of East LA Collection","ark:/21198/zz0025kt6g","ark:/21198/zz001ndq5p","1","In progress","Work","tovar/masters/21198-zz0025kt6g_1703211_master.tif","","","","still image","copyrighted","","Chicano artists--California--Los Angeles County|~|Chicano archives|~|photography -- Chicano|~|photography -- California -- Los Angeles|~|photography -- Mexican American|~|documentary photography","slides (photographs)","Copyright has been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.","Y","UCLA Chicano Studies Research Center Library & Archive","UCLA Chicano Studies Research Center Library & Archive","","","","","Tovar, Nancy","","","","East L.A. Mural","Nancy Tovar Murals of East LA Collection","CSRC_MURALS_TOVAR_099.tif","1976","1976","1 slide","Artist: Frank Romero","Nancy Tovar Murals of East LA Collection","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kt6g","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kt6g/manifest"
"Tovar (Nancy) Murals of East LA Collection","ark:/21198/zz0025kt70","ark:/21198/zz001ndq5p","1","In progress","Work","tovar/masters/21198-zz0025kt70_1701688_master.tif","","","","still image","copyrighted","","Chicano artists--California--Los Angeles County|~|Chicano archives|~|photography -- Chicano|~|photography -- California -- Los Angeles|~|photography -- Mexican American|~|documentary photography","slides (photographs)","Copyright has been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.","Y","UCLA Chicano Studies Research Center Library & Archive","UCLA Chicano Studies Research Center Library & Archive","","","","","Tovar, Nancy","","","","Untitled (Los Compadres Club)","Nancy Tovar Murals of East LA Collection","CSRC_MURALS_TOVAR_016.tif","1975","1975","1 slide","Gage and Hammel","Nancy Tovar Murals of East LA Collection","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kt70","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kt70/manifest"
"Tovar (Nancy) Murals of East LA Collection","ark:/21198/zz0025kt8h","ark:/21198/zz001ndq5p","1","In progress","Work","tovar/masters/21198-zz0025kt8h_1703346_master.tif","","","","still image","copyrighted","","Chicano artists--California--Los Angeles County|~|Chicano archives|~|photography -- Chicano|~|photography -- California -- Los Angeles|~|photography -- Mexican American|~|documentary photography","slides (photographs)","Copyright has been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.","Y","UCLA Chicano Studies Research Center Library & Archive","UCLA Chicano Studies Research Center Library & Archive","","","","","Tovar, Nancy","","","","East L.A. Mural","Nancy Tovar Murals of East LA Collection","CSRC_MURALS_TOVAR_108.tif","1978","1978","1 slide","Artist:Los Four, Frank Romero","Nancy Tovar Murals of East LA Collection","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kt8h","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kt8h/manifest"
"Tovar (Nancy) Murals of East LA Collection","ark:/21198/zz0025kt91","ark:/21198/zz001ndq5p","1","In progress","Work","tovar/masters/21198-zz0025kt91_1701693_master.tif","","","","still image","copyrighted","","Chicano artists--California--Los Angeles County|~|Chicano archives|~|photography -- Chicano|~|photography -- California -- Los Angeles|~|photography -- Mexican American|~|documentary photography","slides (photographs)","Copyright has been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.","Y","UCLA Chicano Studies Research Center Library & Archive","UCLA Chicano Studies Research Center Library & Archive","","","","","Tovar, Nancy","","","","Los Compadres Club","Nancy Tovar Murals of East LA Collection","CSRC_MURALS_TOVAR_017.tif","1975","1975","1 slide","Los Compadres ClubGage and Hammel","Nancy Tovar Murals of East LA Collection","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kt91","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kt91/manifest"
"Tovar (Nancy) Murals of East LA Collection","ark:/21198/zz0025ktbj","ark:/21198/zz001ndq5p","2","Completed","Work","tovar/masters/21198-zz0025ktbj_1703059_master.tif","","","","still image","copyrighted","Cazarez, Ishmael (American muralist, born 1950)","Chicano artists--California--Los Angeles County|~|Chicano archives|~|photography -- Chicano|~|photography -- California -- Los Angeles|~|photography -- Mexican American|~|documentary photography","slides (photographs)","Copyright has been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.","Y","UCLA Chicano Studies Research Center Library & Archive","UCLA Chicano Studies Research Center Library & Archive","","","","","Tovar, Nancy","","","","Breaking Chains and Sacrificial Fires","Nancy Tovar Murals of East L.A. Collection","CSRC_MURALS_TOVAR_083.tif","1975","1975","1 slide","Mural located on Brooklyn Ave (today Cesar E. Chavez Ave) and Forest St. on wall of Sloan's Cleaners.","Nancy Tovar Murals of East L.A. Collection","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025ktbj","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025ktbj/manifest"
"Tovar (Nancy) Murals of East LA Collection","ark:/21198/zz0025ktc2","ark:/21198/zz001ndq5p","1","In progress","Work","tovar/masters/21198-zz0025ktc2_1703268_master.tif","","","","still image","copyrighted","","Chicano artists--California--Los Angeles County|~|Chicano archives|~|photography -- Chicano|~|photography -- California -- Los Angeles|~|photography -- Mexican American|~|documentary photography","slides (photographs)","Copyright has been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.","Y","UCLA Chicano Studies Research Center Library & Archive","UCLA Chicano Studies Research Center Library & Archive","","","","","Tovar, Nancy","","","","East L.A. Mural","Nancy Tovar Murals of East LA Collection","CSRC_MURALS_TOVAR_100.tif","1976","1976","1 slide","Artist: Frank Romero","Nancy Tovar Murals of East LA Collection","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025ktc2","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025ktc2/manifest"
"Tovar (Nancy) Murals of East LA Collection","ark:/21198/zz0025ktdk","ark:/21198/zz001ndq5p","1","In progress","Work","tovar/masters/21198-zz0025ktdk_1701698_master.tif","","","","still image","copyrighted","","Chicano artists--California--Los Angeles County|~|Chicano archives|~|photography -- Chicano|~|photography -- California -- Los Angeles|~|photography -- Mexican American|~|documentary photography","slides (photographs)","Copyright has been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.","Y","UCLA Chicano Studies Research Center Library & Archive","UCLA Chicano Studies Research Center Library & Archive","","","","","Tovar, Nancy","","","","Los Compadres Club","Nancy Tovar Murals of East LA Collection","CSRC_MURALS_TOVAR_018.tif","1975","1975","1 slide","Los Compadres ClubGage and Hammel","Nancy Tovar Murals of East LA Collection","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025ktdk","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025ktdk/manifest"
"Tovar (Nancy) Murals of East LA Collection","ark:/21198/zz0025ktf3","ark:/21198/zz001ndq5p","1","In progress","Work","tovar/masters/21198-zz0025ktf3_1703349_master.tif","","","","still image","copyrighted","","Chicano artists--California--Los Angeles County|~|Chicano archives|~|photography -- Chicano|~|photography -- California -- Los Angeles|~|photography -- Mexican American|~|documentary photography","slides (photographs)","Copyright has been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.","Y","UCLA Chicano Studies Research Center Library & Archive","UCLA Chicano Studies Research Center Library & Archive","","","","","Tovar, Nancy","","","","""Untitled"" by Los Four, Frank Romero","Nancy Tovar Murals of East LA Collection","CSRC_MURALS_TOVAR_109.tif","1978","1978","1 slide","","Nancy Tovar Murals of East LA Collection","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025ktf3","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025ktf3/manifest"
"Tovar (Nancy) Murals of East LA Collection","ark:/21198/zz0025ktgm","ark:/21198/zz001ndq5p","1","In progress","Work","tovar/masters/21198-zz0025ktgm_1701703_master.tif","","","","still image","copyrighted","","Chicano artists--California--Los Angeles County|~|Chicano archives|~|photography -- Chicano|~|photography -- California -- Los Angeles|~|photography -- Mexican American|~|documentary photography","slides (photographs)","Copyright has been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.","Y","UCLA Chicano Studies Research Center Library & Archive","UCLA Chicano Studies Research Center Library & Archive","","","","","Tovar, Nancy","","","","Los Compadres Club","Nancy Tovar Murals of East LA Collection","CSRC_MURALS_TOVAR_019.tif","1975","1975","1 slide","Los Compadres ClubGage and Hammel","Nancy Tovar Murals of East LA Collection","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025ktgm","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025ktgm/manifest"
