"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Rights.copyrightStatus","Name.artist","Subject","Type.genre","Rights.permissionNote","Rights.permission","Name.copyrightHolder","Name.repository","Name.publisher","Name.subject","Name.contributor","Name.calligrapher","Name.photographer","Name.manufacturer","Name.donor","Name.creator","Title","Alt ID.collection","Alt ID.local","Date.creation","Date.normalized","Format.extent","Description.note","Relation.isPartOf","Relation.relatedTo","Coverage.geographic","Format.dimensions","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Tovar (Nancy) Murals of East LA Collection","ark:/21198/zz0025m3w4","ark:/21198/zz001ndq5p","2","Completed","Work","tovar/masters/21198-zz0025m3w4_1703743_master.tif","","","","still image","copyrighted","Cruz, Manuel (American muralist, sculptor, and painter, active 20th century)|~|Baca, Judith Francisca (Mexican-American installation artist and muralist, born 1946)|~|Barrio Artistas de Aztlan","Chicano artists--California--Los Angeles County|~|Chicano archives|~|photography -- Chicano|~|photography -- California -- Los Angeles|~|photography -- Mexican American|~|documentary photography","slides (photographs)","Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","Y","Artist(s)","UCLA Chicano Studies Research Center Library & Archive","","","","","Tovar, Nancy","","","","Local History","Nancy Tovar Murals of East L.A. Collection","CSRC_MURALS_TOVAR_194.tif","1974","1974","1 slide","Mural was located on Mott Street between east 1st Street and east 2nd Street at St. Anne's Home for the Aged, operated by the Little Sisters of the Poor.Youth supervised by Artists: Judith Baca, Christina Schlesinger, Manuel Cruz, Sylvia Morales, Bernardo Saucedo, and Joe ""Pepe"" Hernadez.","Nancy Tovar Murals of East L.A. Collection","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025m3w4","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025m3w4/manifest"
"Tovar (Nancy) Murals of East LA Collection","ark:/21198/zz0025m3xn","ark:/21198/zz001ndq5p","2","Completed","Work","tovar/masters/21198-zz0025m3xn_1702912_master.tif","","","","still image","copyrighted","Ruiz, Richard (American muralist and pen and ink artist, active 20th century)|~|Loza, Ernesto de la (American muralist, active since 1974)","Chicano artists--California--Los Angeles County|~|Chicano archives|~|photography -- Chicano|~|photography -- California -- Los Angeles|~|photography -- Mexican American|~|Mural painting and decoration|~|documentary photography","slides (photographs)","Copyright has been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.","Y","Artist(s)","UCLA Chicano Studies Research Center Library & Archive","","","","","Tovar, Nancy","","","","Untitled","Nancy Tovar Murals of East L.A. Collection","CSRC_MURALS_TOVAR_065.tif","1972","1972","1 slide","","Nancy Tovar Murals of East L.A. Collection","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025m3xn","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025m3xn/manifest"
"Tovar (Nancy) Murals of East LA Collection","ark:/21198/zz0025m3z5","ark:/21198/zz001ndq5p","2","Completed","Work","tovar/masters/21198-zz0025m3z5_1702975_master.tif","","","","still image","copyrighted","Ruiz, Richard (American muralist and pen and ink artist, active 20th century)|~|Loza, Ernesto de la (American muralist, active since 1974)","Chicano artists--California--Los Angeles County|~|Chicano archives|~|photography -- Chicano|~|photography -- California -- Los Angeles|~|photography -- Mexican American|~|Mural painting and decoration|~|documentary photography","slides (photographs)","Copyright has been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.","Y","Artist(s)","UCLA Chicano Studies Research Center Library & Archive","","","","","Tovar, Nancy","","","","Untitled","Nancy Tovar Murals of East L.A. Collection","CSRC_MURALS_TOVAR_066.tif","1972","1972","1 slide","","Nancy Tovar Murals of East L.A. Collection","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025m3z5","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025m3z5/manifest"
"Tovar (Nancy) Murals of East LA Collection","ark:/21198/zz0025m405","ark:/21198/zz001ndq5p","2","Completed","Work","tovar/masters/21198-zz0025m405_1703746_master.tif","","","","still image","copyrighted","Cruz, Manuel (American muralist, sculptor, and painter, active 20th century)|~|Baca, Judith Francisca (Mexican-American installation artist and muralist, born 1946)|~|Barrio Artistas de Aztlan","Chicano artists--California--Los Angeles County|~|Chicano archives|~|photography -- Chicano|~|photography -- California -- Los Angeles|~|photography -- Mexican American|~|documentary photography","slides (photographs)","Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","Y","Artist(s)","UCLA Chicano Studies Research Center Library & Archive","","","","","Tovar, Nancy","","","","Local History","Nancy Tovar Murals of East L.A. Collection","CSRC_MURALS_TOVAR_195.tif","1974","1974","1 slide","Mural was located on Mott Street between east 1st Street and east 2nd Street at St. Anne's Home for the Aged, operated by the Little Sisters of the Poor.Youth supervised by Artists: Judith Baca, Christina Schlesinger, Manuel Cruz, Sylvia Morales, Bernardo Saucedo, and Joe ""Pepe"" Hernadez.","Nancy Tovar Murals of East L.A. Collection","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025m405","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025m405/manifest"
"Tovar (Nancy) Murals of East LA Collection","ark:/21198/zz0025m41p","ark:/21198/zz001ndq5p","2","Completed","Work","tovar/masters/21198-zz0025m41p_1703752_master.tif","","","","still image","copyrighted","Cruz, Manuel (American muralist, sculptor, and painter, active 20th century)|~|Baca, Judith Francisca (Mexican-American installation artist and muralist, born 1946)|~|Barrio Artistas de Aztlan","Chicano artists--California--Los Angeles County|~|Chicano archives|~|photography -- Chicano|~|photography -- California -- Los Angeles|~|photography -- Mexican American|~|documentary photography","slides (photographs)","Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","Y","Artist(s)","UCLA Chicano Studies Research Center Library & Archive","","","","","Tovar, Nancy","","","","Local History","Nancy Tovar Murals of East L.A. Collection","CSRC_MURALS_TOVAR_197.tif","1974","1974","1 slide","Mural was located on Mott Street between east 1st Street and east 2nd Street at St. Anne's Home for the Aged, operated by the Little Sisters of the Poor.Youth supervised by Artists: Judith Baca, Christina Schlesinger, Manuel Cruz, Sylvia Morales, Bernardo Saucedo, and Joe ""Pepe"" Hernadez.","Nancy Tovar Murals of East L.A. Collection","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025m41p","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025m41p/manifest"
"Tovar (Nancy) Murals of East LA Collection","ark:/21198/zz0025m426","ark:/21198/zz001ndq5p","1","In progress","Work","tovar/masters/21198-zz0025m426_1702978_master.tif","","","","still image","copyrighted","","Chicano artists--California--Los Angeles County|~|Chicano archives|~|photography -- Chicano|~|photography -- California -- Los Angeles|~|photography -- Mexican American|~|documentary photography","slides (photographs)","Copyright has been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.","Y","UCLA Chicano Studies Research Center Library & Archive","UCLA Chicano Studies Research Center Library & Archive","","","","","Tovar, Nancy","","","","East L.A. Mural","Nancy Tovar Murals of East LA Collection","CSRC_MURALS_TOVAR_067.tif","1975","1975","1 slide","","Nancy Tovar Murals of East LA Collection","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025m426","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025m426/manifest"
"Tovar (Nancy) Murals of East LA Collection","ark:/21198/zz0025m43q","ark:/21198/zz001ndq5p","2","Completed","Work","tovar/masters/21198-zz0025m43q_1703755_master.tif","","","","still image","copyrighted","Cruz, Manuel (American muralist, sculptor, and painter, active 20th century)|~|Baca, Judith Francisca (Mexican-American installation artist and muralist, born 1946)|~|Barrio Artistas de Aztlan","Chicano artists--California--Los Angeles County|~|Chicano archives|~|photography -- Chicano|~|photography -- California -- Los Angeles|~|documentary photography","slides (photographs)","Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","Y","Artist(s)","UCLA Chicano Studies Research Center Library & Archive","","","","","Tovar, Nancy","","","","Local History","Nancy Tovar Murals of East L.A. Collection","CSRC_MURALS_TOVAR_198.tif","1974","1974","1 slide","Mural was located on Mott Street between east 1st Street and east 2nd Street at St. Anne's Home for the Aged, operated by the Little Sisters of the Poor.Youth supervised by Artists: Judith Baca, Christina Schlesinger, Manuel Cruz, Sylvia Morales, Bernardo Saucedo, and Joe ""Pepe"" Hernadez.","Nancy Tovar Murals of East L.A. Collection","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025m43q","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025m43q/manifest"
"Tovar (Nancy) Murals of East LA Collection","ark:/21198/zz0025m447","ark:/21198/zz001ndq5p","1","In progress","Work","tovar/masters/21198-zz0025m447_1703758_master.tif","","","","still image","copyrighted","Cruz, Manuel (American muralist, sculptor, and painter, active 20th century)|~|Baca, Judith Francisca (Mexican-American installation artist and muralist, born 1946)|~|Barrio Artistas de Aztlan","Chicano artists--California--Los Angeles County|~|Chicano archives|~|photography -- Chicano|~|photography -- California -- Los Angeles|~|photography -- Mexican American|~|documentary photography","slides (photographs)","Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","Y","Artist(s)","UCLA Chicano Studies Research Center Library & Archive","","","","","Tovar, Nancy","","","","Local History","Nancy Tovar Murals of East L.A. Collection","CSRC_MURALS_TOVAR_199.tif","1974","1974","1 slide","Mural was located on Mott Street between east 1st Street and east 2nd Street at St. Anne's Home for the Aged, operated by the Little Sisters of the Poor.Youth supervised by Artists: Judith Baca, Christina Schlesinger, Manuel Cruz, Sylvia Morales, Bernardo Saucedo, and Joe ""Pepe"" Hernadez.","Nancy Tovar Murals of East L.A.Collection","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025m447","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025m447/manifest"
"Tovar (Nancy) Murals of East LA Collection","ark:/21198/zz0025m45r","ark:/21198/zz001ndq5p","2","Completed","Work","tovar/masters/21198-zz0025m45r_1703764_master.tif","","","","still image","copyrighted","Cruz, Manuel (American muralist, sculptor, and painter, active 20th century)|~|Baca, Judith Francisca (Mexican-American installation artist and muralist, born 1946)|~|Barrio Artistas de Aztlan","Chicano artists--California--Los Angeles County|~|Chicano archives|~|photography -- Chicano|~|photography -- California -- Los Angeles|~|photography -- Mexican American|~|documentary photography","slides (photographs)","Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","Y","Artist(s)","UCLA Chicano Studies Research Center Library & Archive","","","","","Tovar, Nancy","","","","Local History","Nancy Tovar Murals of East L.A. Collection","CSRC_MURALS_TOVAR_201.tif","1974","1974","1 slide","Mural was located on Mott Street between east 1st Street and east 2nd Street at St. Anne's Home for the Aged, operated by the Little Sisters of the Poor.Youth supervised by Artists: Judith Baca, Christina Schlesinger, Manuel Cruz, Sylvia Morales, Bernardo Saucedo, and Joe ""Pepe"" Hernadez.","Nancy Tovar Murals of East L.A. Collection","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025m45r","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025m45r/manifest"
"Tovar (Nancy) Murals of East LA Collection","ark:/21198/zz0025m468","ark:/21198/zz001ndq5p","1","In progress","Work","tovar/masters/21198-zz0025m468_1702981_master.tif","","","","still image","copyrighted","","Chicano artists--California--Los Angeles County|~|Chicano archives|~|photography -- Chicano|~|photography -- California -- Los Angeles|~|photography -- Mexican American|~|documentary photography","slides (photographs)","Copyright has been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.","Y","UCLA Chicano Studies Research Center Library & Archive","UCLA Chicano Studies Research Center Library & Archive","","","","","Tovar, Nancy","","","","""Untitled"" by Unknown Artist","Nancy Tovar Murals of East LA Collection","CSRC_MURALS_TOVAR_068.tif","1975","1975","1 slide","","Nancy Tovar Murals of East LA Collection","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025m468","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025m468/manifest"
"Tovar (Nancy) Murals of East LA Collection","ark:/21198/zz0025m47s","ark:/21198/zz001ndq5p","2","Completed","Work","tovar/masters/21198-zz0025m47s_1703772_master.tif","","","","still image","copyrighted","Cruz, Manuel (American muralist, sculptor, and painter, active 20th century)|~|Baca, Judith Francisca (Mexican-American installation artist and muralist, born 1946)|~|Barrio Artistas de Aztlan","Chicano artists--California--Los Angeles County|~|Chicano archives|~|photography -- Chicano|~|photography -- California -- Los Angeles|~|photography -- Mexican American|~|documentary photography","slides (photographs)","Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","Y","Artist(s)","UCLA Chicano Studies Research Center Library & Archive","","","","","Tovar, Nancy","","","","Local History","Nancy Tovar Murals of East L.A. Collection","CSRC_MURALS_TOVAR_203.tif","1974","1974","1 slide","Mural was located on Mott Street between east 1st Street and east 2nd Street at St. Anne's Home for the Aged, operated by the Little Sisters of the Poor.Youth supervised by Artists: Judith Baca, Christina Schlesinger, Manuel Cruz, Sylvia Morales, Bernardo Saucedo, and Joe ""Pepe"" Hernadez.","Nancy Tovar Murals of East L.A. Collection","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025m47s","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025m47s/manifest"
"Tovar (Nancy) Murals of East LA Collection","ark:/21198/zz0025m489","ark:/21198/zz001ndq5p","2","Completed","Work","tovar/masters/21198-zz0025m489_1703812_master.tif","","","","still image","copyrighted","","Chicano artists--California--Los Angeles County|~|Chicano archives|~|photography -- Chicano|~|photography -- California -- Los Angeles|~|documentary photography","slides (photographs)","Copyright has been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.","Y","UCLA Chicano Studies Research Center Library & Archive","UCLA Chicano Studies Research Center Library & Archive","","","","","Tovar, Nancy","","","","""Untitled"" by El Candy Ortega","Nancy Tovar Murals of East LA Collection","CSRC_MURALS_TOVAR_205.tif","1976","1976","1 slide","","Nancy Tovar Murals of East LA Collection","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025m489","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025m489/manifest"
"Tovar (Nancy) Murals of East LA Collection","ark:/21198/zz0025m49t","ark:/21198/zz001ndq5p","2","Completed","Work","tovar/masters/21198-zz0025m49t_1703900_master.tif","","","","still image","copyrighted","Cruz, Manuel (American muralist, sculptor, and painter, active 20th century)|~|Baca, Judith Francisca (Mexican-American installation artist and muralist, born 1946)|~|Barrio Artistas de Aztlan","Chicano artists--California--Los Angeles County|~|Chicano archives|~|photography -- Chicano|~|photography -- California -- Los Angeles|~|photography -- Mexican American|~|documentary photography","slides (photographs)","Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","Y","Artist(s)","UCLA Chicano Studies Research Center Library & Archive","","","","","Tovar, Nancy","","","","Local History","Nancy Tovar Murals of East L.A. Collection","CSRC_MURALS_TOVAR_207.tif","1974","1974","1 slide","Mural was located on Mott Street between east 1st Street and east 2nd Street at St. Anne's Home for the Aged, operated by the Little Sisters of the Poor.Youth supervised by Artists: Judith Baca, Christina Schlesinger, Manuel Cruz, Sylvia Morales, Bernardo Saucedo, and Joe ""Pepe"" Hernadez.","Nancy Tovar Murals of East L.A. Collection","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025m49t","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025m49t/manifest"
"Tovar (Nancy) Murals of East LA Collection","ark:/21198/zz0025m4bb","ark:/21198/zz001ndq5p","1","In progress","Work","tovar/masters/21198-zz0025m4bb_1702984_master.tif","","","","still image","copyrighted","","Chicano artists--California--Los Angeles County|~|Chicano archives|~|photography -- Chicano|~|photography -- California -- Los Angeles|~|photography -- Mexican American|~|documentary photography","slides (photographs)","Copyright has been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.","Y","UCLA Chicano Studies Research Center Library & Archive","UCLA Chicano Studies Research Center Library & Archive","","","","","Tovar, Nancy","","","","""Untitled"" by Unknown Artist","Nancy Tovar Murals of East LA Collection","CSRC_MURALS_TOVAR_069.tif","1975","1975","1 slide","","Nancy Tovar Murals of East LA Collection","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025m4bb","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025m4bb/manifest"
"Tovar (Nancy) Murals of East LA Collection","ark:/21198/zz0025m4cv","ark:/21198/zz001ndq5p","2","Completed","Work","tovar/masters/21198-zz0025m4cv_1703909_master.tif","","","","still image","copyrighted","Cruz, Manuel (American muralist, sculptor, and painter, active 20th century)|~|Baca, Judith Francisca (Mexican-American installation artist and muralist, born 1946)|~|Barrio Artistas de Aztlan","Chicano artists--California--Los Angeles County|~|Chicano archives|~|photography -- Chicano|~|photography -- California -- Los Angeles|~|photography -- Mexican American|~|documentary photography","slides (photographs)","Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","Y","Artist(s)","UCLA Chicano Studies Research Center Library & Archive","","","","","Tovar, Nancy","","","","Local History","Nancy Tovar Murals of East L.A. Collection","CSRC_MURALS_TOVAR_208.tif","1974","1974","1 slide","Mural was located on Mott Street between east 1st Street and east 2nd Street at St. Anne's Home for the Aged, operated by the Little Sisters of the Poor.Youth supervised by Artists: Judith Baca, Christina Schlesinger, Manuel Cruz, Sylvia Morales, Bernardo Saucedo, and Joe ""Pepe"" Hernadez.","Nancy Tovar Murals of East L.A. Collection","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025m4cv","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025m4cv/manifest"
"Tovar (Nancy) Murals of East LA Collection","ark:/21198/zz0025m4dc","ark:/21198/zz001ndq5p","2","Completed","Work","tovar/masters/21198-zz0025m4dc_1703912_master.tif","","","","still image","copyrighted","Cruz, Manuel (American muralist, sculptor, and painter, active 20th century)|~|Baca, Judith Francisca (Mexican-American installation artist and muralist, born 1946)|~|Barrio Artistas de Aztlan","Chicano artists--California--Los Angeles County|~|Chicano archives|~|photography -- Chicano|~|photography -- California -- Los Angeles|~|photography -- Mexican American|~|documentary photography","slides (photographs)","Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","Y","Artist(s)","UCLA Chicano Studies Research Center Library & Archive","","","","","Tovar, Nancy","","","","Local History","Nancy Tovar Murals of East L.A. Collection","CSRC_MURALS_TOVAR_209.tif","1974","1974","1 slide","Mural was located on Mott Street between east 1st Street and east 2nd Street at St. Anne's Home for the Aged, operated by the Little Sisters of the Poor.Youth supervised by Artists: Judith Baca, Christina Schlesinger, Manuel Cruz, Sylvia Morales, Bernardo Saucedo, and Joe ""Pepe"" Hernadez.","Nancy Tovar Murals of East L.A. Collection","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025m4dc","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025m4dc/manifest"
"Tovar (Nancy) Murals of East LA Collection","ark:/21198/zz0025m4fw","ark:/21198/zz001ndq5p","1","In progress","Work","tovar/masters/21198-zz0025m4fw_1703915_master.tif","","","","still image","Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","","Chicano artists--California--Los Angeles County|~|Chicano archives|~|photography -- Chicano|~|photography -- California -- Los Angeles|~|photography -- Mexican American|~|documentary photography","slides (photographs)","","","UCLA Chicano Studies Research Center Library & Archive","UCLA Chicano Studies Research Center Library & Archive","","","","","Tovar, Nancy","","","","CSRC_MURALS_TOVAR_210.tif","Nancy Tovar Murals of East LA Collection","CSRC_MURALS_TOVAR_210.tif","","","1 slide","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025m4fw","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025m4fw/manifest"
"Tovar (Nancy) Murals of East LA Collection","ark:/21198/zz0025m4gd","ark:/21198/zz001ndq5p","1","In progress","Work","tovar/masters/21198-zz0025m4gd_1702987_master.tif","","","","still image","copyrighted","","Chicano artists--California--Los Angeles County|~|Chicano archives|~|photography -- Chicano|~|photography -- California -- Los Angeles|~|photography -- Mexican American|~|documentary photography","slides (photographs)","Copyright has been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.","Y","UCLA Chicano Studies Research Center Library & Archive","UCLA Chicano Studies Research Center Library & Archive","","","","","Tovar, Nancy","","","","Artist painting mural","Nancy Tovar Murals of East LA Collection","CSRC_MURALS_TOVAR_070.tif","1975","1975","1 slide","","Nancy Tovar Murals of East LA Collection","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025m4gd","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025m4gd/manifest"
"Tovar (Nancy) Murals of East LA Collection","ark:/21198/zz0025m4hx","ark:/21198/zz001ndq5p","2","Completed","Work","tovar/masters/21198-zz0025m4hx_1703945_master.tif","","","","still image","copyrighted","","Chicano artists--California--Los Angeles County|~|Chicano archives|~|photography -- Chicano|~|photography -- California -- Los Angeles|~|photography -- Mexican American|~|documentary photography","slides (photographs)","Copyright has been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.","Y","UCLA Chicano Studies Research Center Library & Archive","UCLA Chicano Studies Research Center Library & Archive","","","","","Tovar, Nancy","","","","Tortilleria Signs","Nancy Tovar Murals of East LA Collection","CSRC_MURALS_TOVAR_211.tif","1977","1977","1 slide","","Nancy Tovar Murals of East LA Collection","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025m4hx","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025m4hx/manifest"
"Tovar (Nancy) Murals of East LA Collection","ark:/21198/zz0025m4jf","ark:/21198/zz001ndq5p","1","In progress","Work","tovar/masters/21198-zz0025m4jf_1703957_master.tif","","","","still image","copyrighted","","Chicano artists--California--Los Angeles County|~|Chicano archives|~|photography -- Chicano|~|photography -- California -- Los Angeles|~|photography -- Mexican American|~|documentary photography","slides (photographs)","Copyright has been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.","Y","UCLA Chicano Studies Research Center Library & Archive","UCLA Chicano Studies Research Center Library & Archive","","","","","Tovar, Nancy","","","","""Untitled"" by Unknown Artist","Nancy Tovar Murals of East LA Collection","CSRC_MURALS_TOVAR_212.tif","1976","1976","1 slide","","Nancy Tovar Murals of East LA Collection","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025m4jf","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025m4jf/manifest"
"Tovar (Nancy) Murals of East LA Collection","ark:/21198/zz0025m4kz","ark:/21198/zz001ndq5p","1","In progress","Work","tovar/masters/21198-zz0025m4kz_1703960_master.tif","","","","still image","copyrighted","","Chicano artists--California--Los Angeles County|~|Chicano archives|~|photography -- Chicano|~|photography -- California -- Los Angeles|~|photography -- Mexican American|~|documentary photography","slides (photographs)","Copyright has been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.","Y","UCLA Chicano Studies Research Center Library & Archive","UCLA Chicano Studies Research Center Library & Archive","","","","","Tovar, Nancy","","","","""Untitled"" by Unknown Artist","Nancy Tovar Murals of East LA Collection","CSRC_MURALS_TOVAR_213.tif","1979","1979","1 slide","","Nancy Tovar Murals of East LA Collection","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025m4kz","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025m4kz/manifest"
"Tovar (Nancy) Murals of East LA Collection","ark:/21198/zz0025m4mg","ark:/21198/zz001ndq5p","1","In progress","Work","tovar/masters/21198-zz0025m4mg_1702990_master.tif","","","","still image","copyrighted","","Chicano artists--California--Los Angeles County|~|Chicano archives|~|photography -- Chicano|~|photography -- California -- Los Angeles|~|photography -- Mexican American|~|documentary photography","slides (photographs)","Copyright has been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.","Y","UCLA Chicano Studies Research Center Library & Archive","UCLA Chicano Studies Research Center Library & Archive","","","","","Tovar, Nancy","","","","Pharmacy Villareal","Nancy Tovar Murals of East LA Collection","CSRC_MURALS_TOVAR_071.tif","1975","1975","1 slide","Pharmacy Villareal","Nancy Tovar Murals of East LA Collection","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025m4mg","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025m4mg/manifest"
