"Project Name","Item ARK","Parent ARK","Object Type","File Name","Item Sequence","Duplicate","Type.typeOfResource","Rights.copyrightStatus","Language","Name.repository","Name.creator","Subject","Name.subject","Relation.isPartOf","Type.genre","Title","Alt ID.local","Description.note","AltTitle.descriptive","Date.creation","Format.extent","Description.abstract","Date.normalized","Coverage.geographic"
"Sachtleben (William) Diaries","ark:/21198/zz002hjtwh","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_08.tif","8","","text","pd","","","","","","","","[Athens travel diary: pages 13-14, Jan. 8, 1891]","uclamss_1841_diary_07_08","Athens travel diary, pages 13-14, Jan. 8, 1891","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjtx1","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_09.tif","9","","text","pd","","","","","","","","[Athens travel diary: pages 15-16, Jan. 8, 1891]","uclamss_1841_diary_07_09","Athens travel diary, pages 15-16, Jan. 8, 1891","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjtzj","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_10.tif","10","","text","pd","","","","","","","","[Athens travel diary: pages 17-18, Jan. 8-9, 1891]","uclamss_1841_diary_07_10","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjv0j","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_11.tif","11","","text","pd","","","","","","","","[Athens travel diary: pages 19-20, Jan. 9, 1891]","uclamss_1841_diary_07_11","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjv12","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_12.tif","12","","text","pd","","","","","","","","[Athens travel diary: pages 21-22, Jan. 9, 1891]","uclamss_1841_diary_07_12","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjv2k","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_13.tif","13","","text","pd","","","","","","","","[Athens travel diary: pages 23-24, Jan. 10, 1891]","uclamss_1841_diary_07_13","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjv33","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_14.tif","14","","text","pd","","","","","","","","[Athens travel diary: pages 25-26, Jan. 10, 1891]","uclamss_1841_diary_07_14","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjv4m","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_15.tif","15","","text","pd","","","","","","","","[Athens travel diary: pages 47-48, Jan. 10, 1891]","uclamss_1841_diary_07_15","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjv54","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_16.tif","16","","text","pd","","","","","","","","[Athens travel diary: pages 49-50, Jan. 10, 1891]","uclamss_1841_diary_07_16","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjv6n","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_17.tif","17","","text","pd","","","","","","","","[Athens travel diary: pages 51-52, Jan. 11, 1891]","uclamss_1841_diary_07_17","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjv75","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_18.tif","18","","text","pd","","","","","","","","[Athens travel diary: pages 53-54, Jan. 11-12, 1891]","uclamss_1841_diary_07_18","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjv8p","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_19.tif","19","","text","pd","","","","","","","","[Athens travel diary: pages 55-56, Jan. 13, 1891]","uclamss_1841_diary_07_19","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjv96","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_20.tif","20","","text","pd","","","","","","","","[Athens travel diary: pages 57-58, Jan. 13, 1891]","uclamss_1841_diary_07_20","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjvbq","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_21.tif","21","","text","pd","","","","","","","","[Athens travel diary: pages 59-60, Jan. 13-14, 1891]","uclamss_1841_diary_07_21","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjvc7","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_22.tif","22","","text","pd","","","","","","","","[Athens travel diary: pages 61-62, Jan. 14-15, 1891]","uclamss_1841_diary_07_22","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjvdr","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_23.tif","23","","text","pd","","","","","","","","[Athens travel diary: pages 63-64, Jan. 15-16, 1891]","uclamss_1841_diary_07_23","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjvf8","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_24.tif","24","","text","pd","","","","","","","","[Athens travel diary: pages 65-66, Jan. 16-17, 1891]","uclamss_1841_diary_07_24","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjvgs","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_25.tif","25","","text","pd","","","","","","","","[Athens travel diary: pages 67-68, Jan. 17, 1891]","uclamss_1841_diary_07_25","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjvh9","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_26.tif","26","","text","pd","","","","","","","","[Athens travel diary: pages 69-70, Jan. 18, 1891]","uclamss_1841_diary_07_26","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjvjt","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_27.tif","27","","text","pd","","","","","","","","[Athens travel diary: pages 71-72, Jan. 19, 1891]","uclamss_1841_diary_07_27","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjvkb","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_28.tif","28","","text","pd","","","","","","","","[Athens travel diary: pages 73-74, Jan. 19, 1891]","uclamss_1841_diary_07_28","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjvmv","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_29.tif","29","","text","pd","","","","","","","","[Athens travel diary: pages 75-76, Jan. 19, 1891]","uclamss_1841_diary_07_29","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjvnc","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_30.tif","30","","text","pd","","","","","","","","[Athens travel diary: pages 77-78, Jan. 19, 1891]","uclamss_1841_diary_07_30","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjvpw","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_31.tif","31","","text","pd","","","","","","","","[Athens travel diary: pages 79-80, Jan. 20, 1891]","uclamss_1841_diary_07_31","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjvqd","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_32.tif","32","","text","pd","","","","","","","","[Athens travel diary: pages 81-82, Jan. 20, 1891]","uclamss_1841_diary_07_32","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjvrx","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_33.tif","33","","text","pd","","","","","","","","[Athens travel diary: pages 83-84, Jan. 20, 1891]","uclamss_1841_diary_07_33","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjvsf","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_34.tif","34","","text","pd","","","","","","","","[Athens travel diary: pages 85-86, Jan. 20, 1891]","uclamss_1841_diary_07_34","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjvtz","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_35.tif","35","","text","pd","","","","","","","","[Athens travel diary: pages 87-88, Jan. 21, 1891]","uclamss_1841_diary_07_35","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjvvg","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_36.tif","36","","text","pd","","","","","","","","[Athens travel diary: pages 89-90, Jan. 21, 1891]","uclamss_1841_diary_07_36","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjvw0","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_37.tif","37","","text","pd","","","","","","","","[Athens travel diary: pages 91-92, Jan. 21, 1891]","uclamss_1841_diary_07_37","","","","","","",""
