Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Visibility,Thumbnail,Rights.copyrightStatus,Rights.permission,Language,Type.typeOfResource,Type.genre,Name.repository,Publisher.publisherName,Name.interviewer,Name.interviewee,AltTitle.descriptive,Description.note,Format.extent,Date.normalized,Date.publication,AltTitle.other,Title,Description.abstract,Date.interview,Format.dimensions,Alt ID.local,Date.creation,Format.medium,Alt ID.mp4,IIIF Access URL,Waveform,media.width,media.height,media.duration,media.format,IIIF Manifest URL
Perlich (Martin) Interview Collection,ark:/21198/zz0025k1s5,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k1s5-1-master.wav,,,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Glennie, Evelyn","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 1","Produced at KCSN Radio, Los Angeles.",2:02 min.,2003-09-08,"September 8, 2003",Martin Perlich Interviews,Evelyn Glennie,Percussionist Evelyn Glennie discusses technique and her initial attraction to the instruments.,,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:perlich/pairtree_root/21/19/8=/zz/00/25/k1/s5/21198=zz0025k1s5/ark%2B=21198=zz0025k1s5.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0025k1s5%2Faudiowaveform.dat,,,121.72,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k1s5/manifest
Perlich (Martin) Interview Collection,ark:/21198/zz0025k1tp,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k1tp-1-master.wav,,,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Glennie, Evelyn","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 3","Produced at KCSN Radio, Los Angeles.",2:02 min.,2003-09-09,"September 9, 2003",Martin Perlich Interviews,Evelyn Glennie,,,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:perlich/pairtree_root/21/19/8=/zz/00/25/k1/tp/21198=zz0025k1tp/ark%2B=21198=zz0025k1tp.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0025k1tp%2Faudiowaveform.dat,,,121.826667,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k1tp/manifest
Perlich (Martin) Interview Collection,ark:/21198/zz0025k1v6,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k1v6-1-master.wav,,,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Glennie, Evelyn","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 4","Produced at KCSN Radio, Los Angeles.",2:02 min.,2003-09-10,"September 10, 2003",Martin Perlich Interviews,Evelyn Glennie,,,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:perlich/pairtree_root/21/19/8=/zz/00/25/k1/v6/21198=zz0025k1v6/ark%2B=21198=zz0025k1v6.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0025k1v6%2Faudiowaveform.dat,,,121.586667,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k1v6/manifest
Perlich (Martin) Interview Collection,ark:/21198/zz0025k1wq,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k1wq-1-master.wav,,,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Glennie, Evelyn","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 5","Produced at KCSN Radio, Los Angeles.",2:01 min.,2003-09-11,"September 11, 2003",Martin Perlich Interviews,Evelyn Glennie,,,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:perlich/pairtree_root/21/19/8=/zz/00/25/k1/wq/21198=zz0025k1wq/ark%2B=21198=zz0025k1wq.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0025k1wq%2Faudiowaveform.dat,,,121.453333,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k1wq/manifest
Perlich (Martin) Interview Collection,ark:/21198/zz0025k1x7,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k1x7-1-master.wav,,,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Glennie, Evelyn","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 6","Produced at KCSN Radio, Los Angeles.",2:01 min.,2003-09-12,"September 12, 2003",Martin Perlich Interviews,Evelyn Glennie,,,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:perlich/pairtree_root/21/19/8=/zz/00/25/k1/x7/21198=zz0025k1x7/ark%2B=21198=zz0025k1x7.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0025k1x7%2Faudiowaveform.dat,,,121.186667,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k1x7/manifest
Perlich (Martin) Interview Collection,ark:/21198/zz0025k1zr,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k1zr-1-master.wav,,,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Salonen, Esa-Pekka, 1958-","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 7","Produced at KCSN Radio, Los Angeles.",2:01 min.,2003-09-15,"September 15, 2003",Martin Perlich Interviews,Esa-Pekka Salonen,,,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:perlich/pairtree_root/21/19/8=/zz/00/25/k1/zr/21198=zz0025k1zr/ark%2B=21198=zz0025k1zr.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0025k1zr%2Faudiowaveform.dat,,,121.373333,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k1zr/manifest
Perlich (Martin) Interview Collection,ark:/21198/zz0025k20r,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k20r-1-master.wav,,,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Salonen, Esa-Pekka, 1958-","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 8","Produced at KCSN Radio, Los Angeles.",2:01 min.,2003-09-16,"September 16, 2003",Martin Perlich Interviews,Esa-Pekka Salonen,,,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:perlich/pairtree_root/21/19/8=/zz/00/25/k2/0r/21198=zz0025k20r/ark%2B=21198=zz0025k20r.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0025k20r%2Faudiowaveform.dat,,,120.893333,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k20r/manifest
Perlich (Martin) Interview Collection,ark:/21198/zz0025k27c,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k27c-1-master.wav,,,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Salonen, Esa-Pekka, 1958-","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 9","Produced at KCSN Radio, Los Angeles.",2:01 min.,2003-09-17,"September 17, 2003",Martin Perlich Interviews,Esa-Pekka Salonen,,,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:perlich/pairtree_root/21/19/8=/zz/00/25/k2/7c/21198=zz0025k27c/ark%2B=21198=zz0025k27c.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0025k27c%2Faudiowaveform.dat,,,120.68,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k27c/manifest
Perlich (Martin) Interview Collection,ark:/21198/zz0025k28w,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k28w-1-master.wav,,,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Salonen, Esa-Pekka, 1958-","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 10","Produced at KCSN Radio, Los Angeles.",2:00 min.,2003-09-18,"September 18, 2003",Martin Perlich Interviews,Esa-Pekka Salonen,,,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:perlich/pairtree_root/21/19/8=/zz/00/25/k2/8w/21198=zz0025k28w/ark%2B=21198=zz0025k28w.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0025k28w%2Faudiowaveform.dat,,,120.466667,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k28w/manifest
Perlich (Martin) Interview Collection,ark:/21198/zz0025k29d,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k29d-1-master.wav,,,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Salonen, Esa-Pekka, 1958-","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 11","Produced at KCSN Radio, Los Angeles.",2:01 min.,2003-09-19,,Martin Perlich Interviews,Esa-Pekka Salonen,,,,,"September 19, 2003",,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:perlich/pairtree_root/21/19/8=/zz/00/25/k2/9d/21198=zz0025k29d/ark%2B=21198=zz0025k29d.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0025k29d%2Faudiowaveform.dat,,,121.32,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k29d/manifest
Perlich (Martin) Interview Collection,ark:/21198/zz0025k2bx,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k2bx-1-master.wav,,,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Upshaw, Dawn","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 12","Produced at KCSN Radio, Los Angeles.",2:00 min.,2003-09-22,"September 22, 2003",Martin Perlich Interviews,Dawn Upshaw,,,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:perlich/pairtree_root/21/19/8=/zz/00/25/k2/bx/21198=zz0025k2bx/ark%2B=21198=zz0025k2bx.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0025k2bx%2Faudiowaveform.dat,,,120.466667,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k2bx/manifest
Perlich (Martin) Interview Collection,ark:/21198/zz0025k2cf,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k2cf-1-master.wav,,,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Upshaw, Dawn","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 13","Produced at KCSN Radio, Los Angeles.",2:02 min.,2003-09-23,"September 23, 2003",Martin Perlich Interviews,Dawn Upshaw,,,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:perlich/pairtree_root/21/19/8=/zz/00/25/k2/cf/21198=zz0025k2cf/ark%2B=21198=zz0025k2cf.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0025k2cf%2Faudiowaveform.dat,,,121.506667,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k2cf/manifest
Perlich (Martin) Interview Collection,ark:/21198/zz0025k2dz,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k2dz-1-master.wav,,,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Upshaw, Dawn","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 14","Produced at KCSN Radio, Los Angeles.",2:02 min.,,"September 24, ????",Martin Perlich Interviews,Dawn Upshaw,,,,,????-09-24,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:perlich/pairtree_root/21/19/8=/zz/00/25/k2/dz/21198=zz0025k2dz/ark%2B=21198=zz0025k2dz.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0025k2dz%2Faudiowaveform.dat,,,121.773333,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k2dz/manifest
Perlich (Martin) Interview Collection,ark:/21198/zz0025k2fg,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k2fg-1-master.wav,,,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Upshaw, Dawn","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 15","Produced at KCSN Radio, Los Angeles.",2:01 min.,2003-09-25,"September 25, 2003",Martin Perlich Interviews,Dawn Upshaw,,,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:perlich/pairtree_root/21/19/8=/zz/00/25/k2/fg/21198=zz0025k2fg/ark%2B=21198=zz0025k2fg.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0025k2fg%2Faudiowaveform.dat,,,121.16,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k2fg/manifest
