Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Rights.copyrightStatus,Rights.permission,Language,Type.typeOfResource,Type.genre,Name.repository,Publisher.publisherName,Name.interviewer,Name.interviewee,Source,Description.note,Format.extent,Date.normalized,Date.publication,AltTitle.other,Title,Description.abstract,AltTitle.descriptive,Date.interview,Format.dimensions,Alt ID.local,Date.creation,Format.medium,Alt ID.mp4
Perlich (Martin) Interview Collection,ark:/21198/zz0025k1n3,,2,Completed,Collection,,,,,,copyrighted,Y,eng,sound recording,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections",,"Perlich, Martin",,,,,,,,Martin Perlich Interview Collection,"Interviews of prominent figures in the arts conducted by Martin Perlich. Interviewees include writers, directors, choreographers, and musical figures from Jazz, World music, and classical music, including contemporary composers. His interviews and other programming were broadcast during Cleveland Orchestra intermissions, and on WMMS radio in Cleveland, KMET and KCSN radio in Los Angeles, NBC television, and Public Television outlets in Los Angeles and New York.",,,,,,,
Perlich (Martin) Interview Collection,ark:/21198/zz0025k1s5,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k1s5-1-master.wav,167,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Glennie, Evelyn","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 1","Produced at KCSN Radio, Los Angeles.",2:02 min.,2003-09-08,"September 8, 2003",Martin Perlich Interviews,Evelyn Glennie,Percussionist Evelyn Glennie discusses technique and her initial attraction to the instruments.,,,,,,,
Perlich (Martin) Interview Collection,ark:/21198/zz0025k1tp,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k1tp-1-master.wav,168,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Glennie, Evelyn","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 3","Produced at KCSN Radio, Los Angeles.",2:02 min.,2003-09-09,"September 9, 2003",Martin Perlich Interviews,Evelyn Glennie,,,,,,,,
Perlich (Martin) Interview Collection,ark:/21198/zz0025k1v6,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k1v6-1-master.wav,169,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Glennie, Evelyn","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 4","Produced at KCSN Radio, Los Angeles.",2:02 min.,2003-09-10,"September 10, 2003",Martin Perlich Interviews,Evelyn Glennie,,,,,,,,
Perlich (Martin) Interview Collection,ark:/21198/zz0025k1wq,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k1wq-1-master.wav,170,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Glennie, Evelyn","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 5","Produced at KCSN Radio, Los Angeles.",2:01 min.,2003-09-11,"September 11, 2003",Martin Perlich Interviews,Evelyn Glennie,,,,,,,,
Perlich (Martin) Interview Collection,ark:/21198/zz0025k1x7,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k1x7-1-master.wav,171,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Glennie, Evelyn","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 6","Produced at KCSN Radio, Los Angeles.",2:01 min.,2003-09-12,"September 12, 2003",Martin Perlich Interviews,Evelyn Glennie,,,,,,,,
Perlich (Martin) Interview Collection,ark:/21198/zz0025k1zr,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k1zr-1-master.wav,320,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Salonen, Esa-Pekka, 1958-","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 7","Produced at KCSN Radio, Los Angeles.",2:01 min.,2003-09-15,"September 15, 2003",Martin Perlich Interviews,Esa-Pekka Salonen,,,,,,,,
Perlich (Martin) Interview Collection,ark:/21198/zz0025k20r,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k20r-1-master.wav,321,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Salonen, Esa-Pekka, 1958-","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 8","Produced at KCSN Radio, Los Angeles.",2:01 min.,2003-09-16,"September 16, 2003",Martin Perlich Interviews,Esa-Pekka Salonen,,,,,,,,
Perlich (Martin) Interview Collection,ark:/21198/zz0025k27c,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k27c-1-master.wav,322,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Salonen, Esa-Pekka, 1958-","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 9","Produced at KCSN Radio, Los Angeles.",2:01 min.,2003-09-17,"September 17, 2003",Martin Perlich Interviews,Esa-Pekka Salonen,,,,,,,,
Perlich (Martin) Interview Collection,ark:/21198/zz0025k28w,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k28w-1-master.wav,323,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Salonen, Esa-Pekka, 1958-","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 10","Produced at KCSN Radio, Los Angeles.",2:00 min.,2003-09-18,"September 18, 2003",Martin Perlich Interviews,Esa-Pekka Salonen,,,,,,,,
Perlich (Martin) Interview Collection,ark:/21198/zz0025k29d,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k29d-1-master.wav,324,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Salonen, Esa-Pekka, 1958-","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 11","Produced at KCSN Radio, Los Angeles.",2:01 min.,"September 19, 2003|~|2003-09-19",,Martin Perlich Interviews,Esa-Pekka Salonen,,,,,,,,
Perlich (Martin) Interview Collection,ark:/21198/zz0025k2bx,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k2bx-1-master.wav,375,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Upshaw, Dawn","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 12","Produced at KCSN Radio, Los Angeles.",2:00 min.,2003-09-22,"September 22, 2003",Martin Perlich Interviews,Dawn Upshaw,,,,,,,,
Perlich (Martin) Interview Collection,ark:/21198/zz0025k2cf,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k2cf-1-master.wav,376,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Upshaw, Dawn","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 13","Produced at KCSN Radio, Los Angeles.",2:02 min.,2003-09-23,"September 23, 2003",Martin Perlich Interviews,Dawn Upshaw,,,,,,,,
