"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Title","AltTitle.uniform","Subject","Subject.conceptTopic","Publisher.publisherName","Description.note","Date.creation","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kff6b","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kff6b_2404034_master.tif","74","","","","","","private","","Page 71","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kff6b",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kff7v","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kff7v_2404037_master.tif","75","","","","","","private","","Page 72","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kff7v",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kff8c","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kff8c_2404040_master.tif","76","","","","","","private","","Page 73","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kff8c",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kff9w","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kff9w_2404043_master.tif","77","","","","","","private","","Page 74","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kff9w",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kffbd","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kffbd_2404046_master.tif","78","","","","","","private","","Page 75","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kffbd",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kffcx","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kffcx_2404049_master.tif","79","","","","","","private","","Page 77","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kffcx",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kffdf","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kffdf_2404052_master.tif","80","","","","","","private","","Page 78","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kffdf",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfffz","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfffz_2404055_master.tif","81","","","","","","private","","Page 79","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfffz",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kffgg","ark:/21198/zz002kfbp4","1","In progress","Page","rosenberglewin/masters/21198-zz002kffgg_2404058_master.tif","82","","","","","","private","","Page 80","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kffgg",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kffh0","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kffh0_2404061_master.tif","83","","","","","","private","","Page 81","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kffh0",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kffjh","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kffjh_2404064_master.tif","84","","","","","","private","","Page 82","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kffjh",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kffk1","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kffk1_2404067_master.tif","85","","","","","","private","","Page 83","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kffk1",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kffmj","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kffmj_2404070_master.tif","86","","","","","","private","","Page 84","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kffmj",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kffn2","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kffn2_2404073_master.tif","87","","","","","","private","","Page 85","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kffn2",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kffpk","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kffpk_2404076_master.tif","88","","","","","","private","","Page 86","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kffpk",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kffq3","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kffq3_2404079_master.tif","89","","","","","","private","","Page 87","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kffq3",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kffrm","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kffrm_2404082_master.tif","90","","","","","","private","","Page 88","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kffrm",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kffs4","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kffs4_2404085_master.tif","91","","","","","","private","","Page 89","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kffs4",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfftn","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfftn_2404088_master.tif","92","","","","","","private","","Page 90","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfftn",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kffv5","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kffv5_2404091_master.tif","93","","","","","","private","","Page 91","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kffv5",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kffwp","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kffwp_2404094_master.tif","94","","","","","","private","","Page 92","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kffwp",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kffx6","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kffx6_2404097_master.tif","95","","","","","","private","","Page 93","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kffx6",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kffzq","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kffzq_2404100_master.tif","97","","","","","","private","","Page 94","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kffzq",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfg17","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfg17_2404103_master.tif","98","","","","","","private","","Inside Back Cover","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfg17",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfg2r","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfg2r_2404107_master.tif","99","","","","","","private","","Back Cover","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfg2r",""
