"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Title","AltTitle.uniform","Subject","Subject.conceptTopic","Publisher.publisherName","Description.note","Date.creation","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfck2","ark:/21198/zz002kfbp4","1","In progress","Page","rosenberglewin/masters/21198-zz002kfck2_2403835_master.tif","27","","","","","","private","","Page 24","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfck2",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfcmk","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfcmk_2403841_master.tif","28","","","","","","private","","Page 25","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfcmk",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfcn3","ark:/21198/zz002kfbp4","1","In progress","Page","rosenberglewin/masters/21198-zz002kfcn3_2403844_master.tif","29","","","","","","private","","Page 26","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfcn3",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfcpm","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfcpm_2403847_master.tif","30","","","","","","private","","Page 27","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfcpm",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfcq4","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfcq4_2403850_master.tif","31","","","","","","private","","Page 28","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfcq4",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfcrn","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfcrn_2403853_master.tif","32","","","","","","private","","Page 29","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfcrn",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfcs5","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfcs5_2403856_master.tif","33","","","","","","private","","Page 30","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfcs5",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfctp","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfctp_2403905_master.tif","34","","","","","","private","","Page 31","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfctp",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfcv6","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfcv6_2403908_master.tif","35","","","","","","private","","Page 32","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfcv6",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfcwq","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfcwq_2403911_master.tif","36","","","","","","private","","Page 33","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfcwq",""
