Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Visibility,viewingHint,Delete in Title,Subject topic,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.permission,Rights.publicationStatus,Coverage.geographic,Name.photographer,Author,Name.subject,Subject,Subject.conceptTopic,Language,Rights.permissionNote,Name.creator,Rights.publicationNote,Text direction,IIIF Range,Name.repository,Title,Date.creation,Description.note,Summary,Description.caption,Date.normalized,Description.abstract,Date.created,AltTitle.other,Opac url,Finding Aid URL,IIIF Manifest URL
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rb2h,ark:/21198/zz000s2z5v,2,Completed,Work,,1,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rb31,text,,copyrighted,Y,published,"Los Angeles (Calif.)|~|San Fernando Valley (Calif.)|~|North Hollywood (Los Angeles, Calif.)",,,Southern California Women for Understanding,Lavendar Rap [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"May 1, 1981","May 1, 1981",,,,1981-05-01,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rb2h/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rb4j,ark:/21198/zz000s2z5v,2,Completed,Work,,2,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rb52,text,,copyrighted,Y,published,"Los Angeles (Calif.)|~|San Fernando Valley (Calif.)|~|North Hollywood (Los Angeles, Calif.)",,,Southern California Women for Understanding,Lavendar Rap [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"July 1, 1981","July 1, 1981",,,,1981-07-01,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rb4j/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rb6k,ark:/21198/zz000s2z5v,2,Completed,Work,,3,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rb73,text,,copyrighted,Y,published,"Los Angeles (Calif.)|~|San Fernando Valley (Calif.)|~|North Hollywood (Los Angeles, Calif.)",,,Southern California Women for Understanding,Lavendar Rap [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"September 1, 1981","September 1, 1981",,,,1981-09-01,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rb6k/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rb8m,ark:/21198/zz000s2z5v,2,Completed,Work,,4,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rb94,text,,copyrighted,Y,published,"Los Angeles (Calif.)|~|San Fernando Valley (Calif.)|~|North Hollywood (Los Angeles, Calif.)",,,Southern California Women for Understanding,Lavendar Rap [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"November-December, 1981","November-December, 1981",,,,1981-11/1981-12,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rb8m/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rbbn,ark:/21198/zz000s2z5v,2,Completed,Work,,5,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rbc5,text,,copyrighted,Y,published,"Los Angeles (Calif.)|~|San Fernando Valley (Calif.)|~|North Hollywood (Los Angeles, Calif.)",,,Southern California Women for Understanding,Lavendar Rap [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"January-February, 1982","January-February, 1982",,,,1982-01/1982-02,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rbbn/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rbdp,ark:/21198/zz000s2z5v,2,Completed,Work,,6,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rbjr,text,,copyrighted,Y,published,"Los Angeles (Calif.)|~|San Fernando Valley (Calif.)|~|North Hollywood (Los Angeles, Calif.)",,,Southern California Women for Understanding,Lavendar Rap [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"March-April, 1982","March-April, 1982",,,,1982-03/1982-04,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rbdp/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rbf6,ark:/21198/zz000s2z5v,2,Completed,Work,,7,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rbk8,text,,copyrighted,Y,published,"Los Angeles (Calif.)|~|San Fernando Valley (Calif.)|~|North Hollywood (Los Angeles, Calif.)",,,Southern California Women for Understanding,Lavendar Rap [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"May-June, 1982","May-June, 1982",,,,1982-05/1982-06,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rbf6/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rbgq,ark:/21198/zz000s2z5v,2,Completed,Work,,8,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rbpt,text,,copyrighted,Y,published,"Los Angeles (Calif.)|~|San Fernando Valley (Calif.)|~|North Hollywood (Los Angeles, Calif.)",,,Southern California Women for Understanding,Lavendar Rap [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"July-August, 1982","July-August, 1982",,,,1982-07/1982-08,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rbgq/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rbh7,ark:/21198/zz000s2z5v,2,Completed,Work,,9,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rd30,text,,copyrighted,Y,published,"Los Angeles (Calif.)|~|San Fernando Valley (Calif.)|~|North Hollywood (Los Angeles, Calif.)",,,Southern California Women for Understanding,Lavendar Rap [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"September-October, 1982","September-October, 1982",,,,1982-09/1982-10,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rbh7/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rd4h,ark:/21198/zz000s2z5v,2,Completed,Work,,10,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rd51,text,,copyrighted,Y,published,"Los Angeles (Calif.)|~|San Fernando Valley (Calif.)|~|North Hollywood (Los Angeles, Calif.)",,,Southern California Women for Understanding,Lavendar Rap [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"January-February, 1983","January-February, 1983",,,,1983-01/1983-02,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rd4h/manifest
