Project Name,Item Ark,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.countryCreation,Subject,Name.creator,Name.contributor,Name.interviewer,Name.subject,Name.interviewee,Name.photographer,Name.repository,Language,Alt ID.local,Format.medium,Title,Date.creation,Coverage.temporal,Description.abstract,Publisher.publisherName,Relation.isPartOf,Format.extent,Description.note,Source,Relation.relatedTo,AltTitle.uniform,Description.biographicalNote,Coverage.geographic,Description.tableOfContents,Publisher.placeOfOrigin
American College of Neuropsychopharmacology,ark:/21198/z17d4k50,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_026.tif,27,,,,,,,,,,,,,,,,,,,Page 26,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z13n3tdt,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_027.tif,28,,,,,,,,,,,,,,,,,,,Page 27,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1zw39vm,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_028.tif,29,,,,,,,,,,,,,,,,,,,Page 28,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1v42k4m,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_029.tif,30,,,,,,,,,,,,,,,,,,,Page 29,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1qc1tfb,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_030.tif,31,,,,,,,,,,,,,,,,,,,Page 30,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1km12tb,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_031.tif,32,,,,,,,,,,,,,,,,,,,Page 31,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1fx91fw,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_032.tif,33,,,,,,,,,,,,,,,,,,,Page 32,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1b588rx,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_033.tif,34,,,,,,,,,,,,,,,,,,,Page 33,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z16d7j05,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_034.tif,35,,,,,,,,,,,,,,,,,,,Page 34,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z12n6s6j,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_035.tif,36,,,,,,,,,,,,,,,,,,,Page 35,,,,,,,,,,,,,,
