"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","viewingHint","Title","Delete in Title","Thumbnail","Type.genre","Rights.copyrightStatus","Rights.countryCreation","Language","Rights.permission","Name.repository","Relation.isPartOf","Name.creator","Rights.rightsHolderContact","Subject","Date.normalized","Date.creation","AltTitle.other","Alt ID.local","Opac url","Finding Aid URL","Summary","Description.note","Bucketeer State","IIIF Access URL"
"Roberts (Larry) Collection","ark:/21198/z11k0xdm","ark:/21198/zz002ddgpj","","","Page","kleinrock/image/pdf_images/21198-zz002ddgpj-1-master_001.tif","1","","","","Page 1","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11k0xdm"
"Roberts (Larry) Collection","ark:/21198/z1wt0dwv","ark:/21198/zz002ddgpj","","","Page","kleinrock/image/pdf_images/21198-zz002ddgpj-1-master_002.tif","2","","","","Page 2","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt0dwv"
"Roberts (Larry) Collection","ark:/21198/z1s48ckm","ark:/21198/zz002ddgpj","","","Page","kleinrock/image/pdf_images/21198-zz002ddgpj-1-master_003.tif","3","","","","Page 3","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s48ckm"
"Roberts (Larry) Collection","ark:/21198/z1nc7mtf","ark:/21198/zz002ddgpj","","","Page","kleinrock/image/pdf_images/21198-zz002ddgpj-1-master_004.tif","4","","","","Page 4","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nc7mtf"
"Roberts (Larry) Collection","ark:/21198/z1hm6w0s","ark:/21198/zz002ddgpj","","","Page","kleinrock/image/pdf_images/21198-zz002ddgpj-1-master_005.tif","5","","","","Page 5","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hm6w0s"
"Roberts (Larry) Collection","ark:/21198/z1cv648f","ark:/21198/zz002ddgpj","","","Page","kleinrock/image/pdf_images/21198-zz002ddgpj-1-master_006.tif","6","","","","Page 6","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cv648f"
"Roberts (Larry) Collection","ark:/21198/z1835ckg","ark:/21198/zz002ddgpj","","","Page","kleinrock/image/pdf_images/21198-zz002ddgpj-1-master_007.tif","7","","","","Page 7","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1835ckg"
"Roberts (Larry) Collection","ark:/21198/z14b4mxn","ark:/21198/zz002ddgpj","","","Page","kleinrock/image/pdf_images/21198-zz002ddgpj-1-master_008.tif","8","","","","Page 8","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14b4mxn"
"Roberts (Larry) Collection","ark:/21198/z10k3w7s","ark:/21198/zz002dj976","","","Page","kleinrock/image/pdf_images/21198-zz002dj976-1-master_001.tif","1","","","","Page 1","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10k3w7s"
"Roberts (Larry) Collection","ark:/21198/z1vx2356","ark:/21198/zz002dj976","","","Page","kleinrock/image/pdf_images/21198-zz002dj976-1-master_002.tif","2","","","","Page 2","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx2356"
"Roberts (Larry) Collection","ark:/21198/z1r51bdb","ark:/21198/zz002dj976","","","Page","kleinrock/image/pdf_images/21198-zz002dj976-1-master_003.tif","3","","","","Page 3","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r51bdb"
"Roberts (Larry) Collection","ark:/21198/z1md0kmq","ark:/21198/zz002dj976","","","Page","kleinrock/image/pdf_images/21198-zz002dj976-1-master_004.tif","4","","","","Page 4","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1md0kmq"
"Roberts (Larry) Collection","ark:/21198/z1gm9twf","ark:/21198/zz002dj976","","","Page","kleinrock/image/pdf_images/21198-zz002dj976-1-master_005.tif","5","","","","Page 5","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gm9twf"
"Roberts (Larry) Collection","ark:/21198/z1bv937d","ark:/21198/zz002dmv8b","","","Page","kleinrock/image/pdf_images/21198-zz002dmv8b-1-master_001.tif","1","","","","Page 1","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bv937d"
"Roberts (Larry) Collection","ark:/21198/z1738bkw","ark:/21198/zz002dmv8b","","","Page","kleinrock/image/pdf_images/21198-zz002dmv8b-1-master_002.tif","2","","","","Page 2","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1738bkw"
"Roberts (Larry) Collection","ark:/21198/z13f697f","ark:/21198/zz002dmvbc","","","Page","kleinrock/image/pdf_images/21198-zz002dmvbc-1-master_001.tif","1","","","","Page 1","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13f697f"
"Roberts (Larry) Collection","ark:/21198/z1zp5srr","ark:/21198/zz002dmvbc","","","Page","kleinrock/image/pdf_images/21198-zz002dmvbc-1-master_002.tif","2","","","","Page 2","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zp5srr"
"Roberts (Larry) Collection","ark:/21198/z1tx521t","ark:/21198/zz002dmvbc","","","Page","kleinrock/image/pdf_images/21198-zz002dmvbc-1-master_003.tif","3","","","","Page 3","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tx521t"
"Roberts (Larry) Collection","ark:/21198/z1q54962","ark:/21198/zz002dmvbc","","","Page","kleinrock/image/pdf_images/21198-zz002dmvbc-1-master_004.tif","4","","","","Page 4","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q54962"
