"Item ARK","Parent ARK","Object Type","File Name","Item Sequence","IIIF Range","Title","Alt ID.local","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"ark:/21198/zz002bc3r0","ark:/21198/zz002b3013","Page","clarklibrarymss/image/21198-zz002bc3r0_2175400_master.tif","1","","front cover","MS1959003_Front_Cover","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bc3r0",""
"ark:/21198/zz002b304n","ark:/21198/zz002b3013","Page","clarklibrarymss/image/21198-zz002b304n_1983468_master.tif","2","","inside front cover","MS_1959_003_001","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b304n",""
"ark:/21198/zz002b3055","ark:/21198/zz002b3013","Page","clarklibrarymss/image/21198-zz002b3055_1983471_master.tif","3","","fly leaf recto","MS_1959_003_002","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b3055",""
"ark:/21198/zz002b306p","ark:/21198/zz002b3013","Page","clarklibrarymss/image/21198-zz002b306p_1983474_master.tif","4","","fly leaf verso","MS_1959_003_003","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b306p",""
"ark:/21198/zz002b3076","ark:/21198/zz002b3013","Page","clarklibrarymss/image/21198-zz002b3076_1983477_master.tif","5","","leaf 1","MS_1959_003_004","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b3076",""
"ark:/21198/zz002b308q","ark:/21198/zz002b3013","Page","clarklibrarymss/image/21198-zz002b308q_1983480_master.tif","6","","leaf 1 verso","MS_1959_003_005","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b308q",""
"ark:/21198/zz002b3097","ark:/21198/zz002b3013","Page","clarklibrarymss/image/21198-zz002b3097_1983483_master.tif","7","","leaf 2","MS_1959_003_006","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b3097",""
"ark:/21198/zz002b30br","ark:/21198/zz002b3013","Page","clarklibrarymss/image/21198-zz002b30br_1983488_master.tif","8","","leaf 2 verso","MS_1959_003_007","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b30br",""
"ark:/21198/zz002b30c8","ark:/21198/zz002b3013","Page","clarklibrarymss/image/21198-zz002b30c8_1983500_master.tif","9","","leaf 3","MS_1959_003_008","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b30c8",""
"ark:/21198/zz002b30ds","ark:/21198/zz002b3013","Page","clarklibrarymss/image/21198-zz002b30ds_1983504_master.tif","10","","leaf 3 verso","MS_1959_003_009","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b30ds",""
