"Item ARK","Parent ARK","Object Type","File Name","Item Sequence","IIIF Range","Title","Alt ID.local","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"ark:/21198/zz002b90x7","ark:/21198/zz002b8z6f","Page","clarklibrarymss/image/21198-zz002b90x7_1996282_master.tif","1","","inside front cover","MS_1999_001__0001.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b90x7",""
"ark:/21198/zz002b90zr","ark:/21198/zz002b8z6f","Page","clarklibrarymss/image/21198-zz002b90zr_1996285_master.tif","2","","front free endpaper","MS_1999_001__0002.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b90zr",""
"ark:/21198/zz002b910r","ark:/21198/zz002b8z6f","Page","clarklibrarymss/image/21198-zz002b910r_1996288_master.tif","3","","front endpaper verso","MS_1999_001__0003.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b910r",""
"ark:/21198/zz002b9118","ark:/21198/zz002b8z6f","Page","clarklibrarymss/image/21198-zz002b9118_1996291_master.tif","4","","prelimary page with inscription","MS_1999_001__0004.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9118",""
"ark:/21198/zz002b912s","ark:/21198/zz002b8z6f","Page","clarklibrarymss/image/21198-zz002b912s_1996294_master.tif","5","","preliminary page verso with provenance note","MS_1999_001__0005.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b912s",""
"ark:/21198/zz002b9139","ark:/21198/zz002b8z6f","Page","clarklibrarymss/image/21198-zz002b9139_1996297_master.tif","6","","title page","MS_1999_001__0006.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9139",""
"ark:/21198/zz002b914t","ark:/21198/zz002b8z6f","Page","clarklibrarymss/image/21198-zz002b914t_1996300_master.tif","7","","title page reverse","MS_1999_001__0007.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b914t",""
"ark:/21198/zz002b915b","ark:/21198/zz002b8z6f","Page","clarklibrarymss/image/21198-zz002b915b_1996303_master.tif","8","","page 1","MS_1999_001__0008.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b915b",""
"ark:/21198/zz002b916v","ark:/21198/zz002b8z6f","Page","clarklibrarymss/image/21198-zz002b916v_1996306_master.tif","9","","page 2","MS_1999_001__0009.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b916v",""
"ark:/21198/zz002b917c","ark:/21198/zz002b8z6f","Page","clarklibrarymss/image/21198-zz002b917c_1996309_master.tif","10","","page 3","MS_1999_001__0010.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b917c",""
"ark:/21198/zz002b918w","ark:/21198/zz002b8z6f","Page","clarklibrarymss/image/21198-zz002b918w_1996312_master.tif","11","","page 4","MS_1999_001__0011.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b918w",""
"ark:/21198/zz002b919d","ark:/21198/zz002b8z6f","Page","clarklibrarymss/image/21198-zz002b919d_1996315_master.tif","12","","page 5","MS_1999_001__0012.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b919d",""
"ark:/21198/zz002b91bx","ark:/21198/zz002b8z6f","Page","clarklibrarymss/image/21198-zz002b91bx_1996318_master.tif","13","","page 6","MS_1999_001__0013.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b91bx",""
"ark:/21198/zz002b91cf","ark:/21198/zz002b8z6f","Page","clarklibrarymss/image/21198-zz002b91cf_1996321_master.tif","14","","page 7","MS_1999_001__0014.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b91cf",""
"ark:/21198/zz002b91dz","ark:/21198/zz002b8z6f","Page","clarklibrarymss/image/21198-zz002b91dz_1996324_master.tif","15","","page 8","MS_1999_001__0015.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b91dz",""
"ark:/21198/zz002b91fg","ark:/21198/zz002b8z6f","Page","clarklibrarymss/image/21198-zz002b91fg_1996327_master.tif","16","","page 9","MS_1999_001__0016.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b91fg",""
