"Item ARK","Parent ARK","Object Type","File Name","Item Sequence","IIIF Range","Title","Alt ID.local","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"ark:/21198/zz002b8wxb","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8wxb_1997131_master.tif","179","","page 178","MS_1951_012__0185.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8wxb",""
"ark:/21198/zz002b8wzv","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8wzv_1997137_master.tif","180","","page 179","MS_1951_012__0186.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8wzv",""
"ark:/21198/zz002b8x0v","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8x0v_1997141_master.tif","181","","page 180","MS_1951_012__0187.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8x0v",""
"ark:/21198/zz002b8x1c","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8x1c_1997146_master.tif","182","","page 181","MS_1951_012__0188.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8x1c",""
"ark:/21198/zz002b8x2w","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8x2w_1997149_master.tif","183","","page 182","MS_1951_012__0189.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8x2w",""
"ark:/21198/zz002b8x3d","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8x3d_1997152_master.tif","184","","page 183","MS_1951_012__0190.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8x3d",""
"ark:/21198/zz002b8x4x","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8x4x_1997155_master.tif","185","","page 184","MS_1951_012__0191.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8x4x",""
"ark:/21198/zz002b8x5f","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8x5f_1997158_master.tif","186","","page 185","MS_1951_012__0192.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8x5f",""
"ark:/21198/zz002b8x6z","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8x6z_1997161_master.tif","187","","page 186","MS_1951_012__0193.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8x6z",""
"ark:/21198/zz002b8x7g","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8x7g_1997164_master.tif","188","","page 187","MS_1951_012__0194.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8x7g",""
"ark:/21198/zz002b8x80","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8x80_1997167_master.tif","189","","page 188","MS_1951_012__0195.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8x80",""
"ark:/21198/zz002b8x9h","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8x9h_1997170_master.tif","190","","page 189","MS_1951_012__0196.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8x9h",""
"ark:/21198/zz002b8xb1","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8xb1_1997173_master.tif","191","","page 190","MS_1951_012__0197.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8xb1",""
"ark:/21198/zz002b8xcj","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8xcj_1997176_master.tif","192","","page 191","MS_1951_012__0198.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8xcj",""
"ark:/21198/zz002b8xd2","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8xd2_1997179_master.tif","193","","page 192","MS_1951_012__0199.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8xd2",""
"ark:/21198/zz002b8xfk","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8xfk_1997182_master.tif","194","","page 193","MS_1951_012__0200.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8xfk",""
