Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence
ark:/21198/z1h14tmd,ark:/21198/z17q0t07,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0116_livroponto_1940_1943_0028.tif,Page,Page 28,28
ark:/21198/z1h14tmd,ark:/21198/z1418rmp,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0116_livroponto_1940_1943_0029.tif,Page,Page 29,29
ark:/21198/z1h14tmd,ark:/21198/z10880wb,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0116_livroponto_1940_1943_0030.tif,Page,Page 30,30
ark:/21198/z1h14tmd,ark:/21198/z1vh7hd2,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0116_livroponto_1940_1943_0031.tif,Page,Page 31,31
ark:/21198/z1h14tmd,ark:/21198/z1qr6rmf,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0116_livroponto_1940_1943_0032.tif,Page,Page 32,32
ark:/21198/z1h14tmd,ark:/21198/z1m060xv,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0116_livroponto_1940_1943_0033.tif,Page,Page 33,33
ark:/21198/z1h14tmd,ark:/21198/z1g7588f,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0116_livroponto_1940_1943_0034.tif,Page,Page 34,34
ark:/21198/z1h14tmd,ark:/21198/z1bk36vp,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0116_livroponto_1940_1943_0035.tif,Page,Page 35,35
ark:/21198/z1h14tmd,ark:/21198/z16t2g7q,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0116_livroponto_1940_1943_0036.tif,Page,Page 36,36
ark:/21198/z1h14tmd,ark:/21198/z1321qh9,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0116_livroponto_1940_1943_0037.tif,Page,Page 37,37
ark:/21198/z1h14tmd,ark:/21198/z1z916z3,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0116_livroponto_1940_1943_0038.tif,Page,Page 38,38
ark:/21198/z1h14tmd,ark:/21198/z1tj0g6b,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0116_livroponto_1940_1943_0039.tif,Page,Page 39,39
ark:/21198/z1h14tmd,ark:/21198/z1pr9qg2,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0116_livroponto_1940_1943_0040.tif,Page,Page 40,40
ark:/21198/z1h14tmd,ark:/21198/z1k08zv0,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0116_livroponto_1940_1943_0041.tif,Page,Page 41,41
