Project Name,Item ARK,Parent ARK,Object Type,File Name,viewingHint,Text direction,Visibility,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,AltIdentifier.local,Date.creation,Place of origin,Format.dimensions,Format.extent,Support,Collation,Hand note,Page layout,Subject topic,Author,Name.subject,Name.repository,Name.scribe,Title,Description.contents,Thumbnail,IIIF Manifest URL,Related,Relation.rectoVerso,Relation.pageNumber,Relation.textDirection,Relation.isVersionOf,Description.note,Summary
St Gall Manuscripts,ark:/21198/zz0017n1dt,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 103,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 103",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/10904,https://digital.blb-karlsruhe.de/i3f/v20/19771/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/19771,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz0017n1fb,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 106,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 106",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/11084,https://digital.blb-karlsruhe.de/i3f/v20/19719/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/19719,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz00180441,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 112,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 112",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/11130,https://digital.blb-karlsruhe.de/i3f/v20/20141/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/20141,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz0017n1gv,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 113,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 113",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/11364,https://digital.blb-karlsruhe.de/i3f/v20/20185/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/20185,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz0018045j,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 125,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 125",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/11540,https://digital.blb-karlsruhe.de/i3f/v20/19752/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/19752,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz0017n1hc,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 127,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 127",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/12618,https://digital.blb-karlsruhe.de/i3f/v20/20703/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/20703,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz0017n1jw,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 136,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 136",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/12961,https://digital.blb-karlsruhe.de/i3f/v20/20421/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/20421,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz0017n1kd,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 144,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 144",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/13061,https://digital.blb-karlsruhe.de/i3f/v20/20722/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/20722,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz00180462,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 167,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 167",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/13312,https://digital.blb-karlsruhe.de/i3f/v20/20736/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/20736,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz0018047k,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 172,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 172",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/13415,https://digital.blb-karlsruhe.de/i3f/v20/20901/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/20901,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz00162jsq,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,lat,Manuscripts,Aug. perg. 179,first quarter of the tenth century,,264 x 183 mm,169 folio,,,,,"Abbeys--Germany--Reichenau (Baden-Württemberg)|~|Benedictines --Rules|~|Benedict, Saint, Abbot of Monte Cassino. Regula Sancti Benedicti|~|Badische Landesbibliothek Karlsruhe|~|Badische Landesbibliothek. Manuscript. Aug. 179","Paul, the Deacon, ca. 720-799?","Benedict, Saint, Abbot of Monte Cassino.|~|Reginbert, Abbot of Reichenau",Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 179","Expositio Pauli Diaconi super regulam s. Benedicti, cap 14-61",https://digital.blb-karlsruhe.de/blbhs/i3f/v20/14084,https://digital.blb-karlsruhe.de/i3f/v20/20771/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/20771,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz00180483,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 181,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 181",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/14425,https://digital.blb-karlsruhe.de/i3f/v20/20009/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/20009,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz0018049m,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 182,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 182",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/14710,https://digital.blb-karlsruhe.de/i3f/v20/20036/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/20036,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz001804cn,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 194,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 194",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/15066,https://digital.blb-karlsruhe.de/i3f/v20/20791/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/20791,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz001804d5,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 197,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 197",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/15385,https://digital.blb-karlsruhe.de/i3f/v20/20806/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/20806,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz0028n260,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 202,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 202",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/15735,https://digital.blb-karlsruhe.de/i3f/v20/4592427/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/4592427,,,,,,
St Gall Manuscripts,ark:/21198/zz00162jt7,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,lat,Manuscripts,Aug. perg. 203,ninth century,,254 x 189 mm,187 folio,,,,,"Badische Landesbibliothek. Manuscript. Aug. 203|~|Abbeys--Germany--Reichenau (Baden-Württemberg)|~|Benedictines --Rules|~|Benedict, Saint, Abbot of Monte Cassino. Regula Sancti Benedicti|~|Badische Landesbibliothek Karlsruhe","Paul, the Deacon, ca. 720-799?","Benedict, Saint, Abbot of Monte Cassino.",Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 203",Pauli Diaconi Expositio in Regulam s. Benedicti,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/16028,https://digital.blb-karlsruhe.de/i3f/v20/20105/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/20105,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz001804hq,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 215,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 215",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/16802,https://digital.blb-karlsruhe.de/i3f/v20/20120/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/20120,,,ltr,,,
