Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,IIIF Access URL,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Subject.topic,Author,Name.subject,Name.annotator,Name.repository,Name.scribe,Title,IIIF Manifest URL,Related,Relation.rectoVerso,Relation.pageNumber,Relation.textDirection,Relation.isVersionOf,AltIdentifier.local,Description.contents,Date.creation,Format.dimensions,Format.extent,Description.note,Summary
St Gall Manuscripts,ark:/21198/zz00289px2,ark:/21198/zz0015vcjk,2,Completed,Work,stgall/text/masters/21198-zz00289px2-1-master.xml,,,paged,,,,text,,,Manuscripts,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Perg. Aug. 101",https://digital.blb-karlsruhe.de/i3f/v20/4344823/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/4344823,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00289pzk,ark:/21198/zz0015vcjk,2,Completed,Work,stgall/text/masters/21198-zz00289pzk-1-master.xml,,,paged,,,,text,,,Manuscripts,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Perg. Aug. 102",https://digital.blb-karlsruhe.de/i3f/v20/4591008/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/4591008,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0017n1dt,ark:/21198/zz0015vcjk,2,Completed,Work,stgall/text/masters/21198-zz0017n1dt-1-master.xml,,,paged,,,,text,,,Manuscripts,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Perg. Aug. 103",https://digital.blb-karlsruhe.de/i3f/v20/19771/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/19771,,,ltr,,Aug. 103,,,,,,
St Gall Manuscripts,ark:/21198/zz00289q0k,ark:/21198/zz0015vcjk,2,Completed,Work,stgall/text/masters/21198-zz00289q0k-1-master.xml,,,paged,,,,text,,,Manuscripts,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Perg. Aug. 105",https://digital.blb-karlsruhe.de/i3f/v20/6521/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/6521,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0017n1fb,ark:/21198/zz0015vcjk,2,Completed,Work,stgall/text/masters/21198-zz0017n1fb-1-master.xml,,,paged,,,,text,,,Manuscripts,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Perg. Aug. 106",https://digital.blb-karlsruhe.de/i3f/v20/19719/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/19719,,,ltr,,Aug. 106,,,,,,
St Gall Manuscripts,ark:/21198/zz00289q13,ark:/21198/zz0015vcjk,2,Completed,Work,stgall/text/masters/21198-zz00289q13-1-master.xml,,,paged,,,,text,,,Manuscripts,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Perg. Aug. 109",https://digital.blb-karlsruhe.de/i3f/v20/4591026/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/4591026,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00289f7b,ark:/21198/zz0015vcjk,2,Completed,Work,stgall/text/masters/21198-zz00289f7b-1-master.xml,,,paged,,,,text,,lat,Manuscripts,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Perg. Aug. 111",https://digital.blb-karlsruhe.de/i3f/v20/347140/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/347140,,,ltr,,Aug. 111,,early ninth century,,,,
St Gall Manuscripts,ark:/21198/zz00180441,ark:/21198/zz0015vcjk,2,Completed,Work,stgall/text/masters/21198-zz00180441-1-master.xml,,,paged,,,,text,,,Manuscripts,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Perg. Aug. 112",https://digital.blb-karlsruhe.de/i3f/v20/20141/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/20141,,,ltr,,Aug. 112,,,,,,
St Gall Manuscripts,ark:/21198/zz0017n1gv,ark:/21198/zz0015vcjk,2,Completed,Work,stgall/text/masters/21198-zz0017n1gv-1-master.xml,,,paged,,,,text,,,Manuscripts,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Perg. Aug. 113",https://digital.blb-karlsruhe.de/i3f/v20/20185/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/20185,,,ltr,,Aug. 113,,,,,,
St Gall Manuscripts,ark:/21198/zz0018045j,ark:/21198/zz0015vcjk,2,Completed,Work,stgall/text/masters/21198-zz0018045j-1-master.xml,,,paged,,,,text,,,Manuscripts,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Perg. Aug. 125",https://digital.blb-karlsruhe.de/i3f/v20/19752/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/19752,,,ltr,,Aug. 125,,,,,,
