Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Subject topic,Author,Name.subject,Name.annotator,Name.repository,Name.scribe,Title,IIIF Manifest URL,Related,Thumbnail,Relation.rectoVerso,Relation.pageNumber,Relation.textDirection,Relation.isVersionOf,AltIdentifier.local,Description.contents,Date.creation,Format.dimensions,Format.extent,Description.note,Summary
St Gall Manuscripts,ark:/21198/zz002948vd,ark:/21198/zz0015vcjk,2,Completed,Work,stgall/text/masters/21198-zz002948vd-1-master.xml,,paged,,,,text,,,Manuscripts,,,,,"Kremsmünster, Stiftsbibliothek",,"Kremsmünster, Stiftsbibliothek, CC 38",https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002948vd/manifest,,,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294gh4,ark:/21198/zz0015vcjk,2,Completed,Work,stgall/text/masters/21198-zz00294gh4-1-master.xml,,paged,,,,text,,,Manuscripts,,,,,Rijksuniversiteit te Leiden. Bibliotheek,,"Leiden, Bibliotheek der Rijksuniversiteit, Voss. Lat. Q. 5",https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00294gh4/manifest,,,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294sdx,ark:/21198/zz0015vcjk,2,Completed,Work,stgall/text/masters/21198-zz00294sdx-1-master.xml,,paged,,,,text,,,Manuscripts,,,,,Biblioteca Nazionale di Napoli,,"Naples, Biblioteca Nazionale, Ms. IV.G.68",https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00294sdx/manifest,,,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00295bnq,ark:/21198/zz0015vcjk,2,Completed,Work,stgall/text/masters/21198-zz00295bnq-1-master.xml,,paged,,,,text,,,Manuscripts,,,,,Stiftsarchiv St. Paul im Lavanttal,,"St. Paul im Lavanttal, Stiftsbibliothek, Cod. 1/1",https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00295bnq/manifest,,,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00295qdd,ark:/21198/zz0015vcjk,2,Completed,Work,stgall/text/masters/21198-zz00295qdd-1-master.xml,,paged,,,,text,,,Manuscripts,,,,,Stiftsarchiv St. Paul im Lavanttal,,"St. Paul im Lavanttal, Stiftsbibliothek, Cod. 6/1",https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00295qdd/manifest,,,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz002965xw,ark:/21198/zz0015vcjk,2,Completed,Work,stgall/text/masters/21198-zz002965xw-1-master.xml,,paged,,,,text,,,Manuscripts,,,,,Stiftsarchiv St. Paul im Lavanttal,,"St. Paul im Lavanttal, Stiftsbibliothek, Cod. 3/1",https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002965xw/manifest,,,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00296kbw,ark:/21198/zz0015vcjk,2,Completed,Work,stgall/text/masters/21198-zz00296kbw-2-master.xml,,paged,,,,text,,,Manuscripts,,,,,Stiftsarchiv St. Paul im Lavanttal,,"St. Paul im Lavanttal, Stiftsbibliothek, Cod. 4/1",https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00296kbw/manifest,,,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz002971c4,ark:/21198/zz0015vcjk,2,Completed,Work,stgall/text/masters/21198-zz002971c4-1-master.xml,,paged,,,,text,,,Manuscripts,,,,,British Library,,"London, British Library, Ms. Add. 11852",https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002971c4/manifest,,,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz002b3hhk,ark:/21198/zz0015vcjk,2,Completed,Work,stgall/text/masters/21198-zz002b3hhk-1-master.xml,,paged,,,,text,,,Manuscripts,,,,,Bibliothèque nationale de France,,"Paris, B.N.F. Lat. 9453",https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b3hhk/manifest,,,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz002bft36,ark:/21198/zz0015vcjk,2,Completed,Work,stgall/text/masters/21198-zz002bft36-1-master.xml,,paged,,,,text,,,Manuscripts,,,,,Österreichische Nationalbibliothek,,"Vienna, Österreichische Nationalbibliothek, Cod. 397",https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bft36/manifest,,,,,,,,,,,,,
