"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Visibility","viewingHint","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.publicationStatus","Language","Name.repository","AltTitle.uniform","Description.note","Summary","Title","Alt ID.local","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL"
"Mikels (Elaine) Papers","ark:/21198/zz002dw2p1/qb009b71","ark:/21198/zz002dw2p1","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F04_033.tif","1","","","private","","","","","","","","","","","Front","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw2p1%2Fqb009b71"
"Mikels (Elaine) Papers","ark:/21198/zz002dw2p1/sx35mc97","ark:/21198/zz002dw2p1","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F04_033A.tif","2","","","private","","","","","","","","","","","Back","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw2p1%2Fsx35mc97"
"Mikels (Elaine) Papers","ark:/21198/zz002dw2t3/bn48630z","ark:/21198/zz002dw2t3","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F05_001.tif","1","","","private","","","","","","","","","","","Front","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw2t3%2Fbn48630z"
"Mikels (Elaine) Papers","ark:/21198/zz002dw2t3/k569271h","ark:/21198/zz002dw2t3","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F05_001A.tif","2","","","private","","","","","","","","","","","Back","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw2t3%2Fk569271h"
"Mikels (Elaine) Papers","ark:/21198/zz002dw3bb/d192234t","ark:/21198/zz002dw3bb","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F05_016.tif","1","","","private","","","","","","","","","","","Front","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw3bb%2Fd192234t"
"Mikels (Elaine) Papers","ark:/21198/zz002dw3bb/n1229135","ark:/21198/zz002dw3bb","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F05_016A.tif","2","","","private","","","","","","","","","","","Back","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw3bb%2Fn1229135"
"Mikels (Elaine) Papers","ark:/21198/zz002dw3fw/0s77nr3z","ark:/21198/zz002dw3fw","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F05_019A.tif","2","","","private","","","","","","","","","","","Back","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw3fw%2F0s77nr3z"
"Mikels (Elaine) Papers","ark:/21198/zz002dw3fw/pm60jb83","ark:/21198/zz002dw3fw","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F05_019.tif","1","","","private","","","","","","","","","","","Front","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw3fw%2Fpm60jb83"
"Mikels (Elaine) Papers","ark:/21198/zz002dw3n0/6b153g1g","ark:/21198/zz002dw3n0","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_001A.tif","2","","","private","","","","","","","","","","","Back","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw3n0%2F6b153g1g"
"Mikels (Elaine) Papers","ark:/21198/zz002dw3n0/zm14cw52","ark:/21198/zz002dw3n0","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_001.tif","1","","","private","","","","","","","","","","","Front","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw3n0%2Fzm14cw52"
"Mikels (Elaine) Papers","ark:/21198/zz002dw3q1/8z34vk1p","ark:/21198/zz002dw3q1","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_003.tif","1","","","private","","","","","","","","","","","Front","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw3q1%2F8z34vk1p"
"Mikels (Elaine) Papers","ark:/21198/zz002dw3q1/w609f10m","ark:/21198/zz002dw3q1","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_003A.tif","2","","","private","","","","","","","","","","","Back","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw3q1%2Fw609f10m"
"Mikels (Elaine) Papers","ark:/21198/zz002dw3rj/37759f7v","ark:/21198/zz002dw3rj","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_004A.tif","2","","","private","","","","","","","","","","","Back","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw3rj%2F37759f7v"
"Mikels (Elaine) Papers","ark:/21198/zz002dw3rj/rq368g1v","ark:/21198/zz002dw3rj","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_004.tif","1","","","private","","","","","","","","","","","Front","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw3rj%2Frq368g1v"
"Mikels (Elaine) Papers","ark:/21198/zz002dw3s2/bf30z15f","ark:/21198/zz002dw3s2","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_005A.tif","2","","","private","","","","","","","","","","","Back","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw3s2%2Fbf30z15f"
"Mikels (Elaine) Papers","ark:/21198/zz002dw3s2/s7857r22","ark:/21198/zz002dw3s2","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_005.tif","1","","","private","","","","","","","","","","","Front","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw3s2%2Fs7857r22"
"Mikels (Elaine) Papers","ark:/21198/zz002dw3tk/gz20z16w","ark:/21198/zz002dw3tk","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_006.tif","1","","","private","","","","","","","","","","","Front","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw3tk%2Fgz20z16w"
"Mikels (Elaine) Papers","ark:/21198/zz002dw3tk/jf93t72n","ark:/21198/zz002dw3tk","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_006A.tif","2","","","private","","","","","","","","","","","Back","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw3tk%2Fjf93t72n"
"Mikels (Elaine) Papers","ark:/21198/zz002dw40n/hh04vz5r","ark:/21198/zz002dw40n","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_011.tif","1","","","private","","","","","","","","","","","Front","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw40n%2Fhh04vz5r"
"Mikels (Elaine) Papers","ark:/21198/zz002dw40n/rr81rr97","ark:/21198/zz002dw40n","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_011A.tif","2","","","private","","","","","","","","","","","Back","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw40n%2Frr81rr97"
"Mikels (Elaine) Papers","ark:/21198/zz002dw415/5t239w8b","ark:/21198/zz002dw415","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_012A.tif","2","","","private","","","","","","","","","","","Back","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw415%2F5t239w8b"
"Mikels (Elaine) Papers","ark:/21198/zz002dw415/vk45d635","ark:/21198/zz002dw415","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_012.tif","1","","","private","","","","","","","","","","","Front","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw415%2Fvk45d635"
"Mikels (Elaine) Papers","ark:/21198/zz002dw457/4d61zj4q","ark:/21198/zz002dw457","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_016A.tif","2","","","private","","","","","","","","","","","Back","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw457%2F4d61zj4q"
"Mikels (Elaine) Papers","ark:/21198/zz002dw457/n579q17c","ark:/21198/zz002dw457","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_016.tif","1","","","private","","","","","","","","","","","Front","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw457%2Fn579q17c"
"Mikels (Elaine) Papers","ark:/21198/zz002dw46r/23774v07","ark:/21198/zz002dw46r","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_017A.tif","2","","","private","","","","","","","","","","","Back","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw46r%2F23774v07"
"Mikels (Elaine) Papers","ark:/21198/zz002dw46r/7m098m3n","ark:/21198/zz002dw46r","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_017.tif","1","","","private","","","","","","","","","","","Front","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw46r%2F7m098m3n"
"Mikels (Elaine) Papers","ark:/21198/zz002dw499/h8564c6g","ark:/21198/zz002dw499","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_020A.tif","2","","","private","","","","","","","","","","","Back","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw499%2Fh8564c6g"
"Mikels (Elaine) Papers","ark:/21198/zz002dw499/qb109k1b","ark:/21198/zz002dw499","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_020.tif","1","","","private","","","","","","","","","","","Front","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw499%2Fqb109k1b"
