"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Visibility","viewingHint","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.publicationStatus","Language","Name.repository","AltTitle.uniform","Description.note","Summary","Subject","Title","Alt ID.local","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Mikels (Elaine) Papers","ark:/21198/zz002ctf79","","10","Completed with minimal metadata","Collection","","","","","private","","","","","","","","Mikels (Elaine) Papers. Collection 1954","Elaine Mikels was born in 1921 in Los Angeles where she spent much of her early life. Similarly to other closeted women living in the 1940's, she had little concept of how to deal with her own relationships, much less build community though shared interests. In the late 1960s (approximately 1967), Elaine Mikels became, in her own estimation, political, joining the anti-war movement and lesbian-feminist communities while participating in peace action. This collection is comprised of over two-hundred photographs taken by Elaine Mikels of lesbian activist gatherings, lesbian social gatherings and sports clubs, lesbian writing groups, and self-published newsletters. The collection also includes materials related to the publication of Elaine Mikels' autobiography, as well as a copy of the final published version. Also included are personal papers, journals, correspondence and various personal materials.","Elaine Mikels was born in 1921 in Los Angeles where she spent much of her early life. Although raised Jewish, she attended Flintridge, a Catholic boarding school. Through different mediums Mikels spoke about her early relationships with women, who identified as straight and later went on to get married. Similarly to other closeted women living in the 1940's, she had little concept of how to deal with her own relationships much less build community though shared interests. During this period she suffered from depression and was hospitalized for severe episodes.","Mikels, Elaine--Archives.|~|Lesbian activists--United States--Archives.","Elaine Mikels Papers, 1976-2004","Collection 1954","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6956860","https://oac.cdlib.org/findaid/ark:/13030/c8fx7b5w/","","","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz002ctf79"
"Mikels (Elaine) Papers","ark:/21198/zz002d00cr","ark:/21198/zz002ctf79","10","Completed with minimal metadata","Work","elaine_mikels/image/srgb/21198-zz002d00cr_2114992_master.tif","","","","private","","","still image","unknown","unknown","zxx","June L. Mazer Lesbian Archives","","","","","CSW_Mazer_Elaine_Mikels_F02_001","CSW_Mazer_Elaine Mikels_ F02_001","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d00cr","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d00cr/manifest"
"Mikels (Elaine) Papers","ark:/21198/zz002d00d8","ark:/21198/zz002ctf79","10","Completed with minimal metadata","Work","elaine_mikels/image/srgb/21198-zz002d00d8_2115013_master.tif","","","","private","","","still image","unknown","unknown","zxx","June L. Mazer Lesbian Archives","","","","","CSW_Mazer_Elaine_Mikels_F02_002","CSW_Mazer_Elaine Mikels_ F02_002","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d00d8","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d00d8/manifest"
"Mikels (Elaine) Papers","ark:/21198/zz002d00fs","ark:/21198/zz002ctf79","10","Completed with minimal metadata","Work","elaine_mikels/image/srgb/21198-zz002d00fs_2115018_master.tif","","","","private","","","still image","unknown","unknown","zxx","June L. Mazer Lesbian Archives","","","","","CSW_Mazer_Elaine_Mikels_F02_003","CSW_Mazer_Elaine Mikels_ F02_003","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d00fs","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d00fs/manifest"
"Mikels (Elaine) Papers","ark:/21198/zz002d00g9","ark:/21198/zz002ctf79","10","Completed with minimal metadata","Work","elaine_mikels/image/srgb/21198-zz002d00g9_2115021_master.tif","","","","private","","","still image","unknown","unknown","zxx","June L. Mazer Lesbian Archives","","","","","CSW_Mazer_Elaine_Mikels_F02_004","CSW_Mazer_Elaine Mikels_ F02_004","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d00g9","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d00g9/manifest"
"Mikels (Elaine) Papers","ark:/21198/zz002d00ht","ark:/21198/zz002ctf79","10","Completed with minimal metadata","Work","elaine_mikels/image/srgb/21198-zz002d00ht_2115024_master.tif","","","","private","","","still image","unknown","unknown","zxx","June L. Mazer Lesbian Archives","","","","","CSW_Mazer_Elaine_Mikels_F02_005","CSW_Mazer_Elaine_Mikels_F02_005","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d00ht","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d00ht/manifest"
"Mikels (Elaine) Papers","ark:/21198/zz002d00jb","ark:/21198/zz002ctf79","10","Completed with minimal metadata","Work","elaine_mikels/image/srgb/21198-zz002d00jb_2114979_master.tif","","","","private","","","still image","unknown","unknown","zxx","June L. Mazer Lesbian Archives","","","","","CSW_Mazer_Elaine_Mikels_F02_006","CSW_Mazer_Elaine Mikels_ F02_006","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d00jb","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d00jb/manifest"
"Mikels (Elaine) Papers","ark:/21198/zz002d00kv","ark:/21198/zz002ctf79","10","Completed with minimal metadata","Work","elaine_mikels/image/srgb/21198-zz002d00kv_2115113_master.tif","","","","private","","","still image","unknown","unknown","zxx","June L. Mazer Lesbian Archives","","","","","CSW_Mazer_Elaine_Mikels_F02_007","CSW_Mazer_Elaine_Mikels_F02_007","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d00kv","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d00kv/manifest"
"Mikels (Elaine) Papers","ark:/21198/zz002dqfsn","ark:/21198/zz002ctf79","10","Completed with minimal metadata","Work","elaine_mikels/image/srgb/21198-zz002dqfsn_2160514_master.tif","","","","private","","","still image","unknown","unknown","zxx","","","","","","CSW_Mazer_Elaine_Mikels_F03_004","CSW_Mazer_Elaine_Mikels_F03_004","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqfsn","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dqfsn/manifest"
"Mikels (Elaine) Papers","ark:/21198/zz002dqft5","ark:/21198/zz002ctf79","10","Completed with minimal metadata","Work","elaine_mikels/image/srgb/21198-zz002dqft5_2160532_master.tif","","","","private","","","still image","unknown","unknown","zxx","June L. Mazer Lesbian Archives","","","","","CSW_Mazer_Elaine_Mikels_F03_006","CSW_Mazer_Elaine_Mikels_F03_006","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqft5","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dqft5/manifest"
"Mikels (Elaine) Papers","ark:/21198/zz002dqfz7","ark:/21198/zz002ctf79","10","Completed with minimal metadata","Work","elaine_mikels/image/srgb/21198-zz002dqfz7_2160541_master.tif","","","","private","","","still image","unknown","unknown","zxx","June L. Mazer Lesbian Archives","","","","","CSW_Mazer_Elaine_Mikels_F03_009","CSW_Mazer_Elaine Mikels_ F03_009","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqfz7","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dqfz7/manifest"
"Mikels (Elaine) Papers","ark:/21198/zz002dqg07","ark:/21198/zz002ctf79","10","Completed with minimal metadata","Work","elaine_mikels/image/srgb/21198-zz002dqg07_2160538_master.tif","","","","private","","","still image","unknown","unknown","zxx","June L. Mazer Lesbian Archives","","","","","CSW_Mazer_Elaine_Mikels_F03_008","CSW_Mazer_Elaine_Mikels_F03_008","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqg07","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dqg07/manifest"
"Mikels (Elaine) Papers","ark:/21198/zz002dqg1r","ark:/21198/zz002ctf79","10","Completed with minimal metadata","Work","elaine_mikels/image/srgb/21198-zz002dqg1r_2160535_master.tif","","","","private","","","still image","unknown","unknown","zxx","June L. Mazer Lesbian Archives","","","","","CSW_Mazer_Elaine_Mikels_F03_007","CSW_Mazer_Elaine_Mikels_F03_007","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqg1r","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dqg1r/manifest"
"Mikels (Elaine) Papers","ark:/21198/zz002dw19v","ark:/21198/zz002ctf79","10","Completed with minimal metadata","Work","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F03_010.tif","","","","private","","","still image","unknown","unknown","zxx","June L. Mazer Lesbian Archives","","","","","CSW_Mazer_Elaine_Mikels_F03_010","CSW_Mazer_Elaine_Mikels_F03_010","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw19v","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dw19v/manifest"
