Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Visibility,viewingHint,Thumbnail,Type.typeOfResource,Rights.copyrightStatus,Rights.publicationStatus,Language,Name.repository,AltTitle.uniform,Description.note,Summary,Title,Alt ID.local,Opac url,Finding Aid URL
Mikels (Elaine) Papers,ark:/21198/zz002dqfnk,ark:/21198/zz002ctf79,10,Completed with minimal metadata,Work,,,,,private,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqfnk%2F6v35b77m,still image,unknown,unknown,zxx,June L. Mazer Lesbian Archives,,,,CSW_Mazer_Elaine_Mikels_F03_001,CSW_Mazer_Elaine_Mikels_F03_001,,
Mikels (Elaine) Papers,ark:/21198/zz002dqfr4,ark:/21198/zz002ctf79,10,Completed with minimal metadata,Work,,,,,private,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqfr4%2Fds36vk8x,still image,unknown,unknown,zxx,June L. Mazer Lesbian Archives,,,,CSW_Mazer_Elaine_Mikels_F03_002,CSW_Mazer_Elaine_Mikels_F03_002,,
Mikels (Elaine) Papers,ark:/21198/zz002dqfvp,ark:/21198/zz002ctf79,10,Completed with minimal metadata,Work,,,,,private,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqfvp%2Ftb86zk42,still image,unknown,unknown,zxx,June L. Mazer Lesbian Archives,,,,CSW_Mazer_Elaine_Mikels_F03_003,CSW_Mazer_Elaine_Mikels_F03_003,,
Mikels (Elaine) Papers,ark:/21198/zz002dqfw6,ark:/21198/zz002ctf79,10,Completed with minimal metadata,Work,,,,,private,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqfw6%2Fxp267949,still image,unknown,unknown,zxx,June L. Mazer Lesbian Archives,,,,CSW_Mazer_Elaine_Mikels_F03_005,CSW_Mazer_Elaine_Mikels_F03_005,,
Mikels (Elaine) Papers,ark:/21198/zz002dw1dd,ark:/21198/zz002ctf79,10,Completed with minimal metadata,Work,,,,,private,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw1dd%2Fzg29n913,still image,unknown,unknown,zxx,June L. Mazer Lesbian Archives,,,,CSW_Mazer_Elaine_Mikels_F03_013,CSW_Mazer_Elaine_Mikels_F03_013,,
Mikels (Elaine) Papers,ark:/21198/zz002dw2p1,ark:/21198/zz002ctf79,10,Completed with minimal metadata,Work,,,,,private,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw2p1%2Fqb009b71,still image,unknown,unknown,zxx,June L. Mazer Lesbian Archives,,,,CSW_Mazer_Elaine_Mikels_F04_033,CSW_Mazer_Elaine_Mikels_F04_033,,
Mikels (Elaine) Papers,ark:/21198/zz002dw2t3,ark:/21198/zz002ctf79,10,Completed with minimal metadata,Work,,,,,private,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw2t3%2Fbn48630z,still image,unknown,unknown,zxx,June L. Mazer Lesbian Archives,,,,CSW_Mazer_Elaine_Mikels_F05_001,CSW_Mazer_Elaine_Mikels_F05_001,,
Mikels (Elaine) Papers,ark:/21198/zz002dw3bb,ark:/21198/zz002ctf79,10,Completed with minimal metadata,Work,,,,,private,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw3bb%2Fd192234t,still image,unknown,unknown,zxx,June L. Mazer Lesbian Archives,,,,CSW_Mazer_Elaine_Mikels_F05_016,CSW_Mazer_Elaine_Mikels_F05_016,,
Mikels (Elaine) Papers,ark:/21198/zz002dw3fw,ark:/21198/zz002ctf79,10,Completed with minimal metadata,Work,,,,,private,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw3fw%2Fpm60jb83,still image,unknown,unknown,zxx,June L. Mazer Lesbian Archives,,,,CSW_Mazer_Elaine_Mikels_F05_019,CSW_Mazer_Elaine_Mikels_F05_019,,
Mikels (Elaine) Papers,ark:/21198/zz002dw3n0,ark:/21198/zz002ctf79,10,Completed with minimal metadata,Work,,,,,private,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw3n0%2Fzm14cw52,still image,unknown,unknown,zxx,June L. Mazer Lesbian Archives,,,,CSW_Mazer_Elaine_Mikels_F06_001,CSW_Mazer_Elaine_Mikels_F06_001,,
Mikels (Elaine) Papers,ark:/21198/zz002dw3q1,ark:/21198/zz002ctf79,10,Completed with minimal metadata,Work,,,,,private,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw3q1%2F8z34vk1p,still image,unknown,unknown,zxx,June L. Mazer Lesbian Archives,,,,CSW_Mazer_Elaine_Mikels_F06_003,CSW_Mazer_Elaine_Mikels_F06_003,,
Mikels (Elaine) Papers,ark:/21198/zz002dw3rj,ark:/21198/zz002ctf79,10,Completed with minimal metadata,Work,,,,,private,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw3rj%2Frq368g1v,still image,unknown,unknown,zxx,June L. Mazer Lesbian Archives,,,,CSW_Mazer_Elaine_Mikels_F06_004,CSW_Mazer_Elaine_Mikels_F06_004,,
Mikels (Elaine) Papers,ark:/21198/zz002dw3s2,ark:/21198/zz002ctf79,10,Completed with minimal metadata,Work,,,,,private,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw3s2%2Fs7857r22,still image,unknown,unknown,zxx,June L. Mazer Lesbian Archives,,,,CSW_Mazer_Elaine_Mikels_F06_005,CSW_Mazer_Elaine_Mikels_F06_005,,
