"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Visibility","viewingHint","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Rights.permission","Title","AltTitle.translated","Publisher.publisherName","Format.extent","Date.creation","Coverage.geographic","Opac url","Bucketeer State","IIIF Access URL"
"DIYALoG","ark:/21198/z1j40dkt","ark:/21198/zz002hkzbm","","","Page","diyalog/image/21198-zz002hkzbm-1-master_062.tif","62","","","","","","","","","","","Page 62","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j40dkt"
"DIYALoG","ark:/21198/z1db9nzw","ark:/21198/zz002hkzbm","","","Page","diyalog/image/21198-zz002hkzbm-1-master_063.tif","63","","","","","","","","","","","Page 63","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db9nzw"
"DIYALoG","ark:/21198/z18k8x64","ark:/21198/zz002hkzbm","","","Page","diyalog/image/21198-zz002hkzbm-1-master_064.tif","64","","","","","","","","","","","Page 64","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18k8x64"
"DIYALoG","ark:/21198/z14x6vv8","ark:/21198/zz002hkzbm","","","Page","diyalog/image/21198-zz002hkzbm-1-master_065.tif","65","","","","","","","","","","","Page 65","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x6vv8"
"DIYALoG","ark:/21198/z115644n","ark:/21198/zz002hkzbm","","","Page","diyalog/image/21198-zz002hkzbm-1-master_066.tif","66","","","","","","","","","","","Page 66","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz115644n"
"DIYALoG","ark:/21198/z1wd5mk2","ark:/21198/zz002hkzbm","","","Page","diyalog/image/21198-zz002hkzbm-1-master_067.tif","67","","","","","","","","","","","Page 67","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wd5mk2"
"DIYALoG","ark:/21198/z1rn4vvb","ark:/21198/zz002hkzbm","","","Page","diyalog/image/21198-zz002hkzbm-1-master_068.tif","68","","","","","","","","","","","Page 68","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rn4vvb"
"DIYALoG","ark:/21198/z1mw445v","ark:/21198/zz002hkzbm","","","Page","diyalog/image/21198-zz002hkzbm-1-master_069.tif","69","","","","","","","","","","","Page 69","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mw445v"
"DIYALoG","ark:/21198/z1h43cjs","ark:/21198/zz002hkzbm","","","Page","diyalog/image/21198-zz002hkzbm-1-master_070.tif","70","","","","","","","","","","","Page 70","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h43cjs"
"DIYALoG","ark:/21198/z1cc2mt2","ark:/21198/zz002hkzbm","","","Page","diyalog/image/21198-zz002hkzbm-1-master_071.tif","71","","","","","","","","","","","Page 71","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cc2mt2"
"DIYALoG","ark:/21198/z17q0kh2","ark:/21198/zz002hkzbm","","","Page","diyalog/image/21198-zz002hkzbm-1-master_072.tif","72","","","","","","","","","","","Page 72","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17q0kh2"
"DIYALoG","ark:/21198/z13x9trb","ark:/21198/zz002hkzbm","","","Page","diyalog/image/21198-zz002hkzbm-1-master_073.tif","73","","","","","","","","","","","Page 73","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13x9trb"
"DIYALoG","ark:/21198/z1059308","ark:/21198/zz002hkzbm","","","Page","diyalog/image/21198-zz002hkzbm-1-master_074.tif","74","","","","","","","","","","","Page 74","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1059308"
"DIYALoG","ark:/21198/z1vd8khk","ark:/21198/zz002hkzbm","","","Page","diyalog/image/21198-zz002hkzbm-1-master_075.tif","75","","","","","","","","","","","Page 75","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vd8khk"
"DIYALoG","ark:/21198/z1qn7tvr","ark:/21198/zz002hkzbm","","","Page","diyalog/image/21198-zz002hkzbm-1-master_076.tif","76","","","","","","","","","","","Page 76","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qn7tvr"
"DIYALoG","ark:/21198/z1kw7358","ark:/21198/zz002hkzbm","","","Page","diyalog/image/21198-zz002hkzbm-1-master_077.tif","77","","","","","","","","","","","Page 77","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kw7358"
"DIYALoG","ark:/21198/z1g751s8","ark:/21198/zz002hkzbm","","","Page","diyalog/image/21198-zz002hkzbm-1-master_078.tif","78","","","","","","","","","","","Page 78","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g751s8"
