File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,volume/year,Publisher,Publisher.place,Date.issued (single),Language | code,TypeOfResource,Genre,PhysicalDescription.extent,Institution/Repository,Abstract,Note.content,Rights.copyrightStatus,Rights.publicationStatus,Rights.servicesContact,Subject.topic,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPzanzibar/images/Vol_14/uclalsc_3682798_vol14_001.tif,Page,Page 1,1,ark:/21198/z1qn87mz,ark:/21198/z10k49km,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10k49km
Masters/othermasters/DEPzanzibar/images/Vol_14/uclalsc_3682798_vol14_002.tif,Page,Page 2,2,ark:/21198/z1qn87mz,ark:/21198/z1vt3t3b,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vt3t3b
Masters/othermasters/DEPzanzibar/images/Vol_14/uclalsc_3682798_vol14_003.tif,Page,Page 3,3,ark:/21198/z1qn87mz,ark:/21198/z1r232bv,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r232bv
Masters/othermasters/DEPzanzibar/images/Vol_14/uclalsc_3682798_vol14_004.tif,Page,Page 4,4,ark:/21198/z1qn87mz,ark:/21198/z1m929m4,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m929m4
Masters/othermasters/DEPzanzibar/images/Vol_14/uclalsc_3682798_vol14_005.tif,Page,Page 5,5,ark:/21198/z1qn87mz,ark:/21198/z1gj1jz9,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gj1jz9
Masters/othermasters/DEPzanzibar/images/Vol_14/uclalsc_3682798_vol14_006.tif,Page,Page 6,6,ark:/21198/z1qn87mz,ark:/21198/z1bs0t6j,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bs0t6j
Masters/othermasters/DEPzanzibar/images/Vol_14/uclalsc_3682798_vol14_007.tif,Page,Page 7,7,ark:/21198/z1qn87mz,ark:/21198/z1738rww,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1738rww
Masters/othermasters/DEPzanzibar/images/Vol_14/uclalsc_3682798_vol14_008.tif,Page,Page 8,8,ark:/21198/z1qn87mz,ark:/21198/z13b815z,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13b815z
Masters/othermasters/DEPzanzibar/images/Vol_14/uclalsc_3682798_vol14_009.tif,Page,Page 9,9,ark:/21198/z1qn87mz,ark:/21198/z1zk7hp8,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zk7hp8
Masters/othermasters/DEPzanzibar/images/Vol_14/uclalsc_3682798_vol14_010.tif,Page,Page 10,10,ark:/21198/z1qn87mz,ark:/21198/z1tt6rwn,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tt6rwn
