File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,volume/year,Publisher,Publisher.place,Date.issued (single),Language | code,TypeOfResource,Genre,PhysicalDescription.extent,Institution/Repository,Abstract,Note.content,Rights.copyrightStatus,Rights.publicationStatus,Rights.servicesContact,Subject.topic,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPzanzibar/images/Vol_06/uclalsc_3682798_vol06_001.tif,Page,Page 1,1,ark:/21198/z1rn58n0,ark:/21198/z1x36zdj,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x36zdj
Masters/othermasters/DEPzanzibar/images/Vol_06/uclalsc_3682798_vol06_002.tif,Page,Page 2,2,ark:/21198/z1rn58n0,ark:/21198/z1sb66m9,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sb66m9
