File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,volume/year,Publisher,Publisher.place,Date.issued (single),Language | code,TypeOfResource,Genre,PhysicalDescription.extent,Institution/Repository,Abstract,Note.content,Rights.copyrightStatus,Rights.publicationStatus,Rights.servicesContact,Subject.topic,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_051.tif,Page,Page 51,51,ark:/21198/z1vd907b,ark:/21198/z1kh2pbv,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kh2pbv
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_052.tif,Page,Page 52,52,ark:/21198/z1vd907b,ark:/21198/z1fr1xkp,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fr1xkp
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_053.tif,Page,Page 53,53,ark:/21198/z1vd907b,ark:/21198/z1b015t6,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b015t6
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_054.tif,Page,Page 54,54,ark:/21198/z1vd907b,ark:/21198/z1670f5s,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1670f5s
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_055.tif,Page,Page 55,55,ark:/21198/z1vd907b,ark:/21198/z12f9pfh,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12f9pfh
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_056.tif,Page,Page 56,56,ark:/21198/z1vd907b,ark:/21198/z1xp95z6,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xp95z6
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_057.tif,Page,Page 57,57,ark:/21198/z1vd907b,ark:/21198/z1t174nh,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t174nh
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_058.tif,Page,Page 58,58,ark:/21198/z1vd907b,ark:/21198/z1p86cwb,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p86cwb
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_059.tif,Page,Page 59,59,ark:/21198/z1vd907b,ark:/21198/z1jh5n34,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jh5n34
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_060.tif,Page,Page 60,60,ark:/21198/z1vd907b,ark:/21198/z1dr4wdv,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4wdv
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_061.tif,Page,Page 61,61,ark:/21198/z1vd907b,ark:/21198/z19044q8,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19044q8
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_062.tif,Page,Page 62,62,ark:/21198/z1vd907b,ark:/21198/z1573d1d,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1573d1d
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_063.tif,Page,Page 63,63,ark:/21198/z1vd907b,ark:/21198/z11g2n87,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2n87
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_064.tif,Page,Page 64,64,ark:/21198/z1vd907b,ark:/21198/z1wt0v68,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt0v68
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_065.tif,Page,Page 65,65,ark:/21198/z1vd907b,ark:/21198/z1s203g7,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s203g7
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_066.tif,Page,Page 66,66,ark:/21198/z1vd907b,ark:/21198/z1n89bp2,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n89bp2
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_067.tif,Page,Page 67,67,ark:/21198/z1vd907b,ark:/21198/z1hh8kzb,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hh8kzb
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_068.tif,Page,Page 68,68,ark:/21198/z1vd907b,ark:/21198/z1cr7v9x,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cr7v9x
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_069.tif,Page,Page 69,69,ark:/21198/z1vd907b,ark:/21198/z18073mb,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18073mb
Masters/othermasters/DEPzanzibar/images/Vol_13/uclalsc_3682798_vol13_070.tif,Page,Page 70,70,ark:/21198/z1vd907b,ark:/21198/z1476bwm,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1476bwm
