Project Name,Item ARK,Parent ARK,Thumbnail,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.servicesContact,Relation.isPartOf,Name.repository,Subject,Format.dimensions,Title,Description.note,Alt ID.local,Date.creation,AltTitle.descriptive,Date.normalized,AltTitle.other,Finding Aid URL,Opac url,IIIF Manifest URL
Calif. Ephemera Collection.  Collection 200,ark:/21198/zz0009402w,ark:/21198/zz00093kr0,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009403d,2,Completed,Work,,,,,paged,,private,,,Periodicals,,"California Ephemera Collection (Collection 200). UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,23 x 21 cm. (9 x 12 in.),"Westwood Hills Pictorial, No.3, March 1, 1947",,clus_2108_b184_f1_WHP,"March 1, 1947",,1947-03-01,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009402w/manifest
Calif. Ephemera Collection.  Collection 200,ark:/21198/zz000s3s9z,ark:/21198/zz00093kr0,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1md0hmw,2,Completed,Work,,,,,individuals,,private,,,ephemera|~|Advertisements,,"California Ephemera Collection (Collection 200). UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",Ephemera,6.5 x 9 in.,"His First One Man Show, John Stinson at Gallery 32",Image of man standing in doorway of U. S. Mail truck on front cover; announcement of art gallery opening inside.,,"February 7, 1970",Announcement for John Stinson's one man show at Gallery 32,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000s3s9z/manifest
