"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.servicesContact","Language","Type.genre","Subject","Relation.isPartOf","Relation.rectoVerso","Name.creator","Name.repository","Date.creation","Alt ID.local","Format.extent","Format.dimensions","Description.abstract","Title","Date.normalized","Description.note","Bucketeer State","IIIF Access URL"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq0wc","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq0wc_1271942_master.tif","12","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 12","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq0wc"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq0zd","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq0zd_1271950_master.tif","13","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 13","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq0zd"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq10d","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq10d_1271957_master.tif","14","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 14","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq10d"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq11x","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq11x_1271964_master.tif","15","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 15","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq11x"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq13z","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq13z_1271973_master.tif","16","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 16","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq13z"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq14g","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq14g_1271986_master.tif","17","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 17","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq14g"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq150","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq150_1271992_master.tif","18","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 18","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq150"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq16h","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq16h_1271999_master.tif","19","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 19","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq16h"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq171","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq171_1272005_master.tif","20","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 20","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq171"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq192","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq192_1272017_master.tif","21","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 21","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq192"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq1bk","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq1bk_1272025_master.tif","22","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 22","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq1bk"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq1dm","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq1dm_1272032_master.tif","23","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 23","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq1dm"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq1f4","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq1f4_1272045_master.tif","24","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 24","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq1f4"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq1vb","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq1vb_1272055_master.tif","25","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 25","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq1vb"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq1wv","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq1wv_1272064_master.tif","26","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 26","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq1wv"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq1zw","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq1zw_1272072_master.tif","27","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 27","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq1zw"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq20w","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq20w_1272080_master.tif","28","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 28","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq20w"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq21d","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq21d_1272089_master.tif","29","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 29","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq21d"
