Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Rights.publicationStatus,Rights.permission,Name.subject,Coverage.geographic,Name.creator,Subject,Rights.publicationNote,Language,Type.genre,Author,Name.contributor,Name.correspondent,Name.repository,Rights.permissionNote,Name.photographer,Title,Date.creation,Date.publication,Description.note,Date.normalized,Description.caption,Description.abstract
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz0017shjf,ark:/21198/zz000s2z4b,2,Completed,Work,,21,,,,,,private,,text,copyrighted,unpublished,unknown,Women Against Violence Against Women |~|Filmways Pictures|~|Los Angeles Examiner,Los Angeles (Calif.),Women Against Violence Against Women ,Campaigns - Other (WAVAW)|~|Violence in mass media|~|Rape|~|Sex in mass media|~|Sex in advertising,,eng,letters (correspondence),"Singer, Cathy",,,,,,"Letter of Complaint to Los Angeles Examiner Regarding Advertising of Film ""Dressed to Kill""","August 5, 1980",,Rights.generalNote: Unsure as to whether or not permission from author needs to be obtained as she was writing on behalf of the organization.,1980-08-05,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz0017sqkv,ark:/21198/zz000s2z4b,2,Completed,Work,,22,,,,,,,,text,copyrighted,unpublished,Y,Women Against Violence Against Women |~|Filmways Pictures,Los Angeles (Calif.),Women Against Violence Against Women ,Campaigns - Other (WAVAW)|~|Violence in mass media|~|Rape|~|Sex in mass media|~|Sex in advertising,,eng,letters (correspondence),,,,,,,"Letter of Complaint to Filmways Regarding Film ""Dressed to Kill""","August 6, 1980",,,1980-08-06,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz0017sqmc,ark:/21198/zz000s2z4b,2,Completed,Work,,23,,,,,,,,text,copyrighted,unpublished,Y,Women Against Violence Against Women |~|Filmways Pictures,Los Angeles (Calif.),Women Against Violence Against Women ,Campaigns - Other (WAVAW)|~|Violence in mass media|~|Rape|~|Sex in mass media|~|Sex in advertising,,eng,,,,,,,,"Flyer Protesting Film ""Dressed to Kill""",1980,,,1980,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz0017sqnw,ark:/21198/zz000s2z4b,2,Completed,Work,,24,,,,,,,,text,copyrighted,unpublished,Y,Women Against Violence Against Women |~|United Artists Corporation,Los Angeles (Calif.),Women Against Violence Against Women ,Campaigns - Other (WAVAW)|~|Boycotts--United States|~|Violence in mass media|~|Rape|~|Sex in mass media|~|Sex in advertising|~|Lesbians--Stereotypes--Film,,eng,,,,,,,,"Flyer Regarding Boycott of Film ""Windows""",1980,,,1980,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz0017sqpd,ark:/21198/zz000s2z4b,2,Completed,Work,,25,,,,,,,,text,copyrighted,unpublished,Y,Women Against Violence Against Women |~|United Artists Corporation,Los Angeles (Calif.),Women Against Violence Against Women ,Campaigns - Other (WAVAW)|~|Violence in mass media|~|Rape|~|Sex in mass media|~|Sex in advertising,,eng,,,,,,,,"Press Statement for Film ""Windows""",1980,,,1980,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz0017sqqx,ark:/21198/zz000s2z4b,2,Completed,Work,,26,,,,,,,,text,copyrighted,unpublished,Y,Twentieth Century-Fox Film Corporation|~|Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Campaigns - Other (WAVAW)|~|Boycotts--United States|~|Violence in mass media|~|Rape|~|Sex in mass media|~|Sex in advertising,,eng,,,,,,,,"Flyer Regarding Boycott of Film ""Tattoo""",1981,,,1981,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz0017sqrf,ark:/21198/zz000s2z4b,2,Completed,Work,,27,,,,,,,,text,copyrighted,unpublished,Y,"Twentieth Century-Fox Film Corporation|~|Women Against Violence Against Women |~|Levine, Joseph E.",Los Angeles (Calif.)|~|New York (City) ,Women Against Violence Against Women ,Campaigns - Other (WAVAW)|~|Boycotts--United States|~|Violence in mass media|~|Rape|~|Sex in mass media|~|Sex in advertising,,eng,letters (correspondence),,,,,,,"Letter to Producer Regarding Advertising of Film ""Tattoo""","October 13, 1981",,,1981-10-13,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz0017sqsz,ark:/21198/zz000s2z4b,2,Completed,Work,,28,,,,,,,,text,copyrighted,unpublished,Y,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Campaigns - Other (WAVAW)|~|Boycotts--United States|~|Violence in mass media|~|Rape|~|Sex in mass media|~|Sex in advertising,,eng,,,,,,,,"WAVAW Position Statement Regarding Film ""Tattoo""","September 29, 1981",,,1981-09-29,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz0017sqtg,ark:/21198/zz000s2z4b,2,Completed,Work,,29,,,,,,private,,text,copyrighted,unpublished,N,Women Against Violence Against Women ,Los Angeles (Calif.),Twentieth Century-Fox Film Corporation,Campaigns - Other (WAVAW)|~|Violence in mass media|~|Rape|~|Sex in mass media|~|Sex in advertising,,eng,letters (correspondence),,,,,,,Response from Producer Regarding Advertising of Film,"December 4, 1981",,Rights.generalNote: Need to obtain permission to publish from original author.,1981-12-04,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz0017sqv0,ark:/21198/zz000s2z4b,2,Completed,Work,,30,,,,,,,,text,copyrighted,unpublished,Y,"Women Against Violence Against Women |~|Atari, Inc.",Los Angeles (Calif.),Women Against Violence Against Women ,Campaigns - Other (WAVAW)|~|Racism|~|Boycotts--United States|~|Rape|~|Violence in video games,,eng,,,,,,,,Press Release Regarding Boycott of Adult Video Games,1983,,,1983,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz0017sqwh,ark:/21198/zz000s2z4b,2,Completed,Work,,31,,,,,,,,text,copyrighted,unpublished,Y,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Campaigns - Other (WAVAW)|~|Racism|~|Boycotts--United States|~|Rape|~|Violence in video games,,eng,letters (correspondence),,,,,,,Letter to Coalition Member Regarding Boycott of Adult Video Games,"January 31, 1983",,,1983-01-31,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz0017sqx1,ark:/21198/zz000s2z4b,2,Completed,Work,,32,,,,,,,,text,copyrighted,unpublished,Y,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Campaigns - Other (WAVAW)|~|Sex in mass media|~|Sex in advertising|~|Incest|~|Child sexual abuse|~|Child pornography|~|Children in advertising,,eng,,,,,,,,"Exploitation Sells - Who Pays? Regarding ""Heaven Sent""",Between May 1982 and June 1982,,,1982-05/1982-06,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz0017sqzj,ark:/21198/zz000s2z4b,2,Completed,Work,,33,,,,,,,,text,copyrighted,unpublished,Y,American Broadcasting Company|~|Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Campaigns - Other (WAVAW)|~|Sex in mass media|~|Sex role in advertising|~|Sex in advertising,,eng,,,,,,,,"Flyer Protesting ""Eye on L.A.""",Between February 1982 and March 1982,,,1982-02/1982-03,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz0017sr0j,ark:/21198/zz000s2z4b,2,Completed,Work,,35,,,,,,,,text,copyrighted,unpublished,Y,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Campaigns - Other (WAVAW)|~|Boycotts--California--Los Angeles|~|Violence in mass media|~|Rape|~|Sex in mass media|~|Sex in advertising,,eng,,,,,,,,"Flyer Protesting ""Pieces""","October, 1983",,,1983-10,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz0017sr2k,ark:/21198/zz000s2z4b,2,Completed,Work,,34,,,,,,private,,text|~|letters (correspondence),copyrighted,unpublished,unknown,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Campaigns - Other (WAVAW)|~|Violence in mass media|~|Rape|~|Sex in mass media|~|Sex in advertising,,eng,,"Wolfe, Joyce",,,,,,"Letter of Complaint Regarding ""The Eyes Have It"" Campaign","October 24, 1983",,Rights.generalNote: Unsure as to whether or not permission from author needs to be obtained as she was writing on behalf of the organization.,1983-10-24,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz0017zwkh,ark:/21198/zz000s2z4b,2,Completed,Work,,5,,,,,,private,,text,copyrighted,unpublished,unknown,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Campaigns - Other (WAVAW)|~|Violence in mass media|~|Rape|~|Sex in mass media|~|Sex in advertising,,eng,letters (correspondence),"London, Julia",,,,,,Form Letter Requesting Action in Letter-Writing Campaign to In These Times,"March 12, 1979",,Rights.generalNote: Unsure as to whether or not permission from author needs to be obtained as she was writing on behalf of the organization.,1979-03-12,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz0017zwm1,ark:/21198/zz000s2z4b,2,Completed,Work,,8,,,,,,private,,text,copyrighted,unpublished,unknown,Women Against Violence Against Women ,Los Angeles (Calif.)|~|New York (City) ,Women Against Violence Against Women ,Campaigns - Other (WAVAW)|~|Violence in mass media|~|Rape|~|Sex in mass media|~|Sex in advertising,,eng,letters (correspondence),"London, Julia",,,,,,Letter Regarding In These Times Article,"March 5, 1979",,Rights.generalNote: Unsure as to whether or not permission from author needs to be obtained as she was writing on behalf of the organization.,1979-03-05,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz0017zwnj,ark:/21198/zz000s2z4b,2,Completed,Work,,6,,,,,,private,,text,copyrighted,published,N,Women Against Violence Against Women ,Los Angeles (Calif.),,Campaigns - Other (WAVAW)|~|Violence in mass media|~|Rape|~|Sex in mass media|~|Sex in advertising|~|Mass media and music,,eng,,"Dancis, Bruce",,,,,,"""Dear Critics"" Article from In These Times","February, 1979",,Rights.generalNote: Need to obtain permission to publish from original author.,1979-02,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz0017zxv4,ark:/21198/zz000s2z4b,2,Completed,Work,,7,,,,,,,,text,copyrighted,unknown,Y,"Women Against Violence Against Women |~|Dancis, Bruce",Los Angeles (Calif.),,Campaigns - Other (WAVAW)|~|Violence in mass media|~|Rape|~|Sex in mass media|~|Sex in advertising|~|Mass media and music,,eng,,Women Against Violence Against Women ,,,,,,"WAVAW Response to ""Dear Critics"" Article from In These Times","March, 1979",,,1979-03,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz0017zz2q,ark:/21198/zz000s2z4b,2,Completed,Work,,37,,,,,,,,text,copyrighted,,Y,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Campaigns - Other (WAVAW),unpublished,eng,,,,,,,,"Press Release Regarding Film ""Killing Us Softly""",Between 1977 and 1986,,,1977/1986,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz0017zz37,ark:/21198/zz000s2z4b,2,Completed,Work,,38,,,,,,,,text,copyrighted,unpublished,Y,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Campaigns - Other (WAVAW)|~|Violence in mass media|~|Rape|~|Sex in mass media,,eng,,,,,,,,"Flyer Protesting ""Seduction""",Between 1977 and 1986,,,1977/1986,,
