"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Subject","Type.genre","Name.repository","Name.author","Name.attributedTo","Name.translator","Name.commentator","Name.scribe","Name.creator","Name.compiler","Name.annotator","Language.language","Language.script","Name.calligrapher","Alternate Identifier.local","Title","Relation.rectoVerso","Source","Date.creation","Format.dimensions","Alternate Title.other","Description.abstract","Description.microfilm","Description.citation","Alternate Title.scriptArab","Description.physical","Relation.textDirection","Date.normalized","Description.note","Format.extent","Relation","Description.stamp","Relation.citation","Alternate Title.spine","Description.marks","Description.colophon","thumbnailImageName","masterImageName","JSON","Metadata Only","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz001dr1kt","ark:/21198/zz000wrgm1","7","Completed","Page","minasian/masters/1475/1475_0011.tif","10","","","","","","","pd","","","","","","","","","","","","","","","1147_1475_0011","page 10","r","","","","","","","","","","","","","","","","","","","","1147_1475_0011.jpg","1475_0011.tif","['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz000wrgm1"", ""Parent ARK"": ""ark:/21198/zz000wrgm1"", ""Item Status ID"": ""7"", ""Item Status"": ""Completed"", ""Object Type"": ""Page"", ""File Name"": """", ""Item Sequence"": ""1478"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": ""paged"", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": ""Astronomy"", ""Type.genre"": ""manuscripts (document genre)"", ""Name.repository"": ""University of California, Los Angeles. $b Library Special Collections"", ""Name.author"": ""Isu0323fahu0101nu012b, Ghiyu0101su0331 al-Du012bn u02bfAlu012b bin Amu012bru0101n Hu0323usaynu012b"", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": """", ""Language.script"": """", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""1475"", ""Title"": ""Risu0101lah dar nuju016bm"", ""Relation.rectoVerso"": """", ""Source"": ""Caro Minasian Collection of Persian and Arabic Manuscripts, box 171,1475"", ""Date.creation"": ""n.d."", ""Format.dimensions"": ""19.9 x 11.9 x 0.5"", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": ""Muu1e25ammad Taqu012b Du0101nish-pazhu016bh, Fihrist-i Nushahhu0101-yi khau1e6du1e6du012b, daftar 11 & 12 (u1e6cihru0101n: Intishu0101ru0101t-i Du0101nishgu0101h-i u1e6cihru0101n, 1039 AH), p. 89."", ""Alternate Title.scriptArab"": ""u0646u062cu0648u0645"", ""Description.physical"": """", ""Relation.textDirection"": ""rtl"", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": """", ""masterImageName"": """"}']","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dr1kt",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz001dr1mb","ark:/21198/zz000wrgm1","7","Completed","Page","minasian/masters/1475/1475_0012.tif","11","","","","","","","pd","","","","","","","","","","","","","","","1147_1475_0012","page 11","v","","","","","","","","","","","","","","","","","","","","1147_1475_0012.jpg","1475_0012.tif","['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz000wrgm1"", ""Parent ARK"": ""ark:/21198/zz000wrgm1"", ""Item Status ID"": ""7"", ""Item Status"": ""Completed"", ""Object Type"": ""Page"", ""File Name"": """", ""Item Sequence"": ""1478"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": ""paged"", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": ""Astronomy"", ""Type.genre"": ""manuscripts (document genre)"", ""Name.repository"": ""University of California, Los Angeles. $b Library Special Collections"", ""Name.author"": ""Isu0323fahu0101nu012b, Ghiyu0101su0331 al-Du012bn u02bfAlu012b bin Amu012bru0101n Hu0323usaynu012b"", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": """", ""Language.script"": """", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""1475"", ""Title"": ""Risu0101lah dar nuju016bm"", ""Relation.rectoVerso"": """", ""Source"": ""Caro Minasian Collection of Persian and Arabic Manuscripts, box 171,1475"", ""Date.creation"": ""n.d."", ""Format.dimensions"": ""19.9 x 11.9 x 0.5"", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": ""Muu1e25ammad Taqu012b Du0101nish-pazhu016bh, Fihrist-i Nushahhu0101-yi khau1e6du1e6du012b, daftar 11 & 12 (u1e6cihru0101n: Intishu0101ru0101t-i Du0101nishgu0101h-i u1e6cihru0101n, 1039 AH), p. 89."", ""Alternate Title.scriptArab"": ""u0646u062cu0648u0645"", ""Description.physical"": """", ""Relation.textDirection"": ""rtl"", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": """", ""masterImageName"": """"}']","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dr1mb",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz001dr1nv","ark:/21198/zz000wrgm1","7","Completed","Page","minasian/masters/1475/1475_0013.tif","12","","","","","","","pd","","","","","","","","","","","","","","","1147_1475_0013","page 12","r","","","","","","","","","","","","","","","","","","","","1147_1475_0013.jpg","1475_0013.tif","['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz000wrgm1"", ""Parent ARK"": ""ark:/21198/zz000wrgm1"", ""Item Status ID"": ""7"", ""Item Status"": ""Completed"", ""Object Type"": ""Page"", ""File Name"": """", ""Item Sequence"": ""1478"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": ""paged"", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": ""Astronomy"", ""Type.genre"": ""manuscripts (document genre)"", ""Name.repository"": ""University of California, Los Angeles. $b Library Special Collections"", ""Name.author"": ""Isu0323fahu0101nu012b, Ghiyu0101su0331 al-Du012bn u02bfAlu012b bin Amu012bru0101n Hu0323usaynu012b"", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": """", ""Language.script"": """", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""1475"", ""Title"": ""Risu0101lah dar nuju016bm"", ""Relation.rectoVerso"": """", ""Source"": ""Caro Minasian Collection of Persian and Arabic Manuscripts, box 171,1475"", ""Date.creation"": ""n.d."", ""Format.dimensions"": ""19.9 x 11.9 x 0.5"", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": ""Muu1e25ammad Taqu012b Du0101nish-pazhu016bh, Fihrist-i Nushahhu0101-yi khau1e6du1e6du012b, daftar 11 & 12 (u1e6cihru0101n: Intishu0101ru0101t-i Du0101nishgu0101h-i u1e6cihru0101n, 1039 AH), p. 89."", ""Alternate Title.scriptArab"": ""u0646u062cu0648u0645"", ""Description.physical"": """", ""Relation.textDirection"": ""rtl"", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": """", ""masterImageName"": """"}']","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dr1nv",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz001dr1pc","ark:/21198/zz000wrgm1","7","Completed","Page","minasian/masters/1475/1475_0014.tif","13","","","","","","","pd","","","","","","","","","","","","","","","1147_1475_0014","page 13","v","","","","","","","","","","","","","","","","","","","","1147_1475_0014.jpg","1475_0014.tif","['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz000wrgm1"", ""Parent ARK"": ""ark:/21198/zz000wrgm1"", ""Item Status ID"": ""7"", ""Item Status"": ""Completed"", ""Object Type"": ""Page"", ""File Name"": """", ""Item Sequence"": ""1478"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": ""paged"", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": ""Astronomy"", ""Type.genre"": ""manuscripts (document genre)"", ""Name.repository"": ""University of California, Los Angeles. $b Library Special Collections"", ""Name.author"": ""Isu0323fahu0101nu012b, Ghiyu0101su0331 al-Du012bn u02bfAlu012b bin Amu012bru0101n Hu0323usaynu012b"", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": """", ""Language.script"": """", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""1475"", ""Title"": ""Risu0101lah dar nuju016bm"", ""Relation.rectoVerso"": """", ""Source"": ""Caro Minasian Collection of Persian and Arabic Manuscripts, box 171,1475"", ""Date.creation"": ""n.d."", ""Format.dimensions"": ""19.9 x 11.9 x 0.5"", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": ""Muu1e25ammad Taqu012b Du0101nish-pazhu016bh, Fihrist-i Nushahhu0101-yi khau1e6du1e6du012b, daftar 11 & 12 (u1e6cihru0101n: Intishu0101ru0101t-i Du0101nishgu0101h-i u1e6cihru0101n, 1039 AH), p. 89."", ""Alternate Title.scriptArab"": ""u0646u062cu0648u0645"", ""Description.physical"": """", ""Relation.textDirection"": ""rtl"", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": """", ""masterImageName"": """"}']","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dr1pc",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz001dr1qw","ark:/21198/zz000wrgm1","7","Completed","Page","minasian/masters/1475/1475_0015.tif","14","","","","","","","pd","","","","","","","","","","","","","","","1147_1475_0015","page 14","r","","","","","","","","","","","","","","","","","","","","1147_1475_0015.jpg","1475_0015.tif","['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz000wrgm1"", ""Parent ARK"": ""ark:/21198/zz000wrgm1"", ""Item Status ID"": ""7"", ""Item Status"": ""Completed"", ""Object Type"": ""Page"", ""File Name"": """", ""Item Sequence"": ""1478"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": ""paged"", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": ""Astronomy"", ""Type.genre"": ""manuscripts (document genre)"", ""Name.repository"": ""University of California, Los Angeles. $b Library Special Collections"", ""Name.author"": ""Isu0323fahu0101nu012b, Ghiyu0101su0331 al-Du012bn u02bfAlu012b bin Amu012bru0101n Hu0323usaynu012b"", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": """", ""Language.script"": """", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""1475"", ""Title"": ""Risu0101lah dar nuju016bm"", ""Relation.rectoVerso"": """", ""Source"": ""Caro Minasian Collection of Persian and Arabic Manuscripts, box 171,1475"", ""Date.creation"": ""n.d."", ""Format.dimensions"": ""19.9 x 11.9 x 0.5"", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": ""Muu1e25ammad Taqu012b Du0101nish-pazhu016bh, Fihrist-i Nushahhu0101-yi khau1e6du1e6du012b, daftar 11 & 12 (u1e6cihru0101n: Intishu0101ru0101t-i Du0101nishgu0101h-i u1e6cihru0101n, 1039 AH), p. 89."", ""Alternate Title.scriptArab"": ""u0646u062cu0648u0645"", ""Description.physical"": """", ""Relation.textDirection"": ""rtl"", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": """", ""masterImageName"": """"}']","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dr1qw",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz001dr1rd","ark:/21198/zz000wrgm1","7","Completed","Page","minasian/masters/1475/1475_0016.tif","15","","","","","","","pd","","","","","","","","","","","","","","","1147_1475_0016","page 15","v","","","","","","","","","","","","","","","","","","","","1147_1475_0016.jpg","1475_0016.tif","['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz000wrgm1"", ""Parent ARK"": ""ark:/21198/zz000wrgm1"", ""Item Status ID"": ""7"", ""Item Status"": ""Completed"", ""Object Type"": ""Page"", ""File Name"": """", ""Item Sequence"": ""1478"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": ""paged"", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": ""Astronomy"", ""Type.genre"": ""manuscripts (document genre)"", ""Name.repository"": ""University of California, Los Angeles. $b Library Special Collections"", ""Name.author"": ""Isu0323fahu0101nu012b, Ghiyu0101su0331 al-Du012bn u02bfAlu012b bin Amu012bru0101n Hu0323usaynu012b"", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": """", ""Language.script"": """", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""1475"", ""Title"": ""Risu0101lah dar nuju016bm"", ""Relation.rectoVerso"": """", ""Source"": ""Caro Minasian Collection of Persian and Arabic Manuscripts, box 171,1475"", ""Date.creation"": ""n.d."", ""Format.dimensions"": ""19.9 x 11.9 x 0.5"", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": ""Muu1e25ammad Taqu012b Du0101nish-pazhu016bh, Fihrist-i Nushahhu0101-yi khau1e6du1e6du012b, daftar 11 & 12 (u1e6cihru0101n: Intishu0101ru0101t-i Du0101nishgu0101h-i u1e6cihru0101n, 1039 AH), p. 89."", ""Alternate Title.scriptArab"": ""u0646u062cu0648u0645"", ""Description.physical"": """", ""Relation.textDirection"": ""rtl"", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": """", ""masterImageName"": """"}']","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dr1rd",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz001dr1sx","ark:/21198/zz000wrgm1","7","Completed","Page","minasian/masters/1475/1475_0017.tif","16","","","","","","","pd","","","","","","","","","","","","","","","1147_1475_0017","page 16","r","","","","","","","","","","","","","","","","","","","","1147_1475_0017.jpg","1475_0017.tif","['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz000wrgm1"", ""Parent ARK"": ""ark:/21198/zz000wrgm1"", ""Item Status ID"": ""7"", ""Item Status"": ""Completed"", ""Object Type"": ""Page"", ""File Name"": """", ""Item Sequence"": ""1478"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": ""paged"", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": ""Astronomy"", ""Type.genre"": ""manuscripts (document genre)"", ""Name.repository"": ""University of California, Los Angeles. $b Library Special Collections"", ""Name.author"": ""Isu0323fahu0101nu012b, Ghiyu0101su0331 al-Du012bn u02bfAlu012b bin Amu012bru0101n Hu0323usaynu012b"", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": """", ""Language.script"": """", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""1475"", ""Title"": ""Risu0101lah dar nuju016bm"", ""Relation.rectoVerso"": """", ""Source"": ""Caro Minasian Collection of Persian and Arabic Manuscripts, box 171,1475"", ""Date.creation"": ""n.d."", ""Format.dimensions"": ""19.9 x 11.9 x 0.5"", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": ""Muu1e25ammad Taqu012b Du0101nish-pazhu016bh, Fihrist-i Nushahhu0101-yi khau1e6du1e6du012b, daftar 11 & 12 (u1e6cihru0101n: Intishu0101ru0101t-i Du0101nishgu0101h-i u1e6cihru0101n, 1039 AH), p. 89."", ""Alternate Title.scriptArab"": ""u0646u062cu0648u0645"", ""Description.physical"": """", ""Relation.textDirection"": ""rtl"", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": """", ""masterImageName"": """"}']","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dr1sx",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz001dr1tf","ark:/21198/zz000wrgm1","7","Completed","Page","minasian/masters/1475/1475_0018.tif","17","","","","","","","pd","","","","","","","","","","","","","","","1147_1475_0018","page 17","v","","","","","","","","","","","","","","","","","","","","1147_1475_0018.jpg","1475_0018.tif","['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz000wrgm1"", ""Parent ARK"": ""ark:/21198/zz000wrgm1"", ""Item Status ID"": ""7"", ""Item Status"": ""Completed"", ""Object Type"": ""Page"", ""File Name"": """", ""Item Sequence"": ""1478"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": ""paged"", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": ""Astronomy"", ""Type.genre"": ""manuscripts (document genre)"", ""Name.repository"": ""University of California, Los Angeles. $b Library Special Collections"", ""Name.author"": ""Isu0323fahu0101nu012b, Ghiyu0101su0331 al-Du012bn u02bfAlu012b bin Amu012bru0101n Hu0323usaynu012b"", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": """", ""Language.script"": """", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""1475"", ""Title"": ""Risu0101lah dar nuju016bm"", ""Relation.rectoVerso"": """", ""Source"": ""Caro Minasian Collection of Persian and Arabic Manuscripts, box 171,1475"", ""Date.creation"": ""n.d."", ""Format.dimensions"": ""19.9 x 11.9 x 0.5"", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": ""Muu1e25ammad Taqu012b Du0101nish-pazhu016bh, Fihrist-i Nushahhu0101-yi khau1e6du1e6du012b, daftar 11 & 12 (u1e6cihru0101n: Intishu0101ru0101t-i Du0101nishgu0101h-i u1e6cihru0101n, 1039 AH), p. 89."", ""Alternate Title.scriptArab"": ""u0646u062cu0648u0645"", ""Description.physical"": """", ""Relation.textDirection"": ""rtl"", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": """", ""masterImageName"": """"}']","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dr1tf",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz001dr1vz","ark:/21198/zz000wrgm1","7","Completed","Page","minasian/masters/1475/1475_0019.tif","18","","","","","","","pd","","","","","","","","","","","","","","","1147_1475_0019","page 18","r","","","","","","","","","","","","","","","","","","","","1147_1475_0019.jpg","1475_0019.tif","['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz000wrgm1"", ""Parent ARK"": ""ark:/21198/zz000wrgm1"", ""Item Status ID"": ""7"", ""Item Status"": ""Completed"", ""Object Type"": ""Page"", ""File Name"": """", ""Item Sequence"": ""1478"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": ""paged"", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": ""Astronomy"", ""Type.genre"": ""manuscripts (document genre)"", ""Name.repository"": ""University of California, Los Angeles. $b Library Special Collections"", ""Name.author"": ""Isu0323fahu0101nu012b, Ghiyu0101su0331 al-Du012bn u02bfAlu012b bin Amu012bru0101n Hu0323usaynu012b"", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": """", ""Language.script"": """", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""1475"", ""Title"": ""Risu0101lah dar nuju016bm"", ""Relation.rectoVerso"": """", ""Source"": ""Caro Minasian Collection of Persian and Arabic Manuscripts, box 171,1475"", ""Date.creation"": ""n.d."", ""Format.dimensions"": ""19.9 x 11.9 x 0.5"", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": ""Muu1e25ammad Taqu012b Du0101nish-pazhu016bh, Fihrist-i Nushahhu0101-yi khau1e6du1e6du012b, daftar 11 & 12 (u1e6cihru0101n: Intishu0101ru0101t-i Du0101nishgu0101h-i u1e6cihru0101n, 1039 AH), p. 89."", ""Alternate Title.scriptArab"": ""u0646u062cu0648u0645"", ""Description.physical"": """", ""Relation.textDirection"": ""rtl"", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": """", ""masterImageName"": """"}']","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dr1vz",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz001dr1wg","ark:/21198/zz000wrgm1","7","Completed","Page","minasian/masters/1475/1475_0020.tif","19","","","","","","","pd","","","","","","","","","","","","","","","1147_1475_0020","page 19","v","","","","","","","","","","","","","","","","","","","","1147_1475_0020.jpg","1475_0020.tif","['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz000wrgm1"", ""Parent ARK"": ""ark:/21198/zz000wrgm1"", ""Item Status ID"": ""7"", ""Item Status"": ""Completed"", ""Object Type"": ""Page"", ""File Name"": """", ""Item Sequence"": ""1478"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": ""paged"", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": ""Astronomy"", ""Type.genre"": ""manuscripts (document genre)"", ""Name.repository"": ""University of California, Los Angeles. $b Library Special Collections"", ""Name.author"": ""Isu0323fahu0101nu012b, Ghiyu0101su0331 al-Du012bn u02bfAlu012b bin Amu012bru0101n Hu0323usaynu012b"", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": """", ""Language.script"": """", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""1475"", ""Title"": ""Risu0101lah dar nuju016bm"", ""Relation.rectoVerso"": """", ""Source"": ""Caro Minasian Collection of Persian and Arabic Manuscripts, box 171,1475"", ""Date.creation"": ""n.d."", ""Format.dimensions"": ""19.9 x 11.9 x 0.5"", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": ""Muu1e25ammad Taqu012b Du0101nish-pazhu016bh, Fihrist-i Nushahhu0101-yi khau1e6du1e6du012b, daftar 11 & 12 (u1e6cihru0101n: Intishu0101ru0101t-i Du0101nishgu0101h-i u1e6cihru0101n, 1039 AH), p. 89."", ""Alternate Title.scriptArab"": ""u0646u062cu0648u0645"", ""Description.physical"": """", ""Relation.textDirection"": ""rtl"", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": """", ""masterImageName"": """"}']","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dr1wg",""
