Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Name.subject,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Name.creator,Rights.copyrightStatus,Rights.permission,Rights.publicationStatus,Name.photographer,Publisher.publisherName,Coverage.geographic,Subject,Rights.rightsHolderContact,Language,Author,Name.repository,Description.note,Title,Date.creation,Date.normalized,Description.caption,Description.abstract,Opac url,Finding Aid URL,IIIF Manifest URL,Thumbnail
Connexxus/Centro de Mujeres Collection,ark:/21198/zz000s9t31,ark:/21198/zz000s19ng,2,Completed,Connexxus : [newsletter] |~|Connexxus (Center)--Periodicals.,Work,,,,,text,paged,,,,Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),Lesbians—Services for—California—Los Angeles—Periodicals,,eng,,,,"Volume 1, Number 1","Volume 1, number 1",1985,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000s9t31/manifest,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s9t4j
Connexxus/Centro de Mujeres Collection,ark:/21198/zz000sc82p,ark:/21198/zz000s19ng,2,Completed,Connexxus : [newsletter] |~|Connexxus (Center)--Periodicals.,Work,,,,,text,paged,,,,Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),Lesbians—Services for—California—Los Angeles—Periodicals,,eng,,,,"Volume 1, Number 2","Volume 1, number 2",1985,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sc82p/manifest,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sc836
Connexxus/Centro de Mujeres Collection,ark:/21198/zz000sc857,ark:/21198/zz000s19ng,2,Completed,Connexxus : [newsletter] |~|Connexxus (Center)--Periodicals.,Work,,,,,text,paged,,,,Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),Lesbians—Services for—California—Los Angeles—Periodicals,,eng,,,,"Volume 1, Number 3","Volume 1, number 3",1985,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sc857/manifest,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sc86r
Connexxus/Centro de Mujeres Collection,ark:/21198/zz000sc88s,ark:/21198/zz000s19ng,2,Completed,Connexxus : [newsletter] |~|Connexxus (Center)--Periodicals.,Work,,,,,text,paged,,,,Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),Lesbians—Services for—California—Los Angeles—Periodicals,,eng,,,,"Volume 1, Number 4","Volume 1, number 4",1985,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sc88s/manifest,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sc899
Connexxus/Centro de Mujeres Collection,ark:/21198/zz000sc8cb,ark:/21198/zz000s19ng,2,Completed,Connexxus : [newsletter] |~|Connexxus (Center)--Periodicals.,Work,,,,,text,paged,,,,Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),Lesbians—Services for—California—Los Angeles—Periodicals,,eng,,,,"Volume 1, Number 5","Volume 1, number 5",1985,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sc8cb/manifest,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sc8dv
Connexxus/Centro de Mujeres Collection,ark:/21198/zz000sc8jx,ark:/21198/zz000s19ng,2,Completed,Connexxus : [newsletter] |~|Connexxus (Center)--Periodicals.,Work,,,,,text,paged,,,,Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),Lesbians—Services for—California—Los Angeles—Periodicals,,eng,,,,"Volume 1, Number 6","Volume 1, number 6",1985,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sc8jx/manifest,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sc8kf
Connexxus/Centro de Mujeres Collection,ark:/21198/zz000sc8ng,ark:/21198/zz000s19ng,2,Completed,Connexxus : [newsletter] |~|Connexxus (Center)--Periodicals.,Work,,,,,text,paged,,,,Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),Lesbians—Services for—California—Los Angeles—Periodicals,,eng,,,,"Volume 1, Number 7","Volume 1, number 7",1985,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sc8ng/manifest,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sc8p0
Connexxus/Centro de Mujeres Collection,ark:/21198/zz000sc8r1,ark:/21198/zz000s19ng,2,Completed,Connexxus : [newsletter] |~|Connexxus (Center)--Periodicals.,Work,,,,,text,paged,,,,Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),Lesbians—Services for—California—Los Angeles—Periodicals,,eng,,,,"Volume 1, Number 8","Volume 1, number 8",1985,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sc8r1/manifest,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sc8sj
Connexxus/Centro de Mujeres Collection,ark:/21198/zz000sc8vk,ark:/21198/zz000s19ng,2,Completed,Connexxus : [newsletter] |~|Connexxus (Center)--Periodicals.,Work,,,,,text,paged,,,,Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),Lesbians—Services for—California—Los Angeles—Periodicals,,eng,,,,"Volume 1, Number 9","Volume 1, number 9",1985,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sc8vk/manifest,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sc8w3
Connexxus/Centro de Mujeres Collection,ark:/21198/zz000sc8z4,ark:/21198/zz000s19ng,2,Completed,Connexxus : [newsletter] |~|Connexxus (Center)--Periodicals.,Work,,,,,text,paged,,,,Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),Lesbians—Services for—California—Los Angeles—Periodicals,,eng,,,,"Volume 1, Number 10","Volume 1, number 10",1985,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sc8z4/manifest,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sc904
