"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Alt ID.other","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Name.subject","Name.creator","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Name.photographer","Name.publisher","Coverage.geographic","Subject","Rights.servicesContact","Language","Rights.publicationNote","Name.author","Name.repository","Description.note","Title","Date.publication","Date.normalized","Description.inscription","Description.abstract","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL"
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000s9t4j","ark:/21198/zz000s9t31","2","Completed","","Page","connexxus/images/masters/21198-zz000s9t4j-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s9t4j"
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sc815","ark:/21198/zz000s9t31","2","Completed","","Page","connexxus/images/masters/21198-zz000sc815-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sc815"
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sc836","ark:/21198/zz000sc82p","2","Completed","","Page","connexxus/images/masters/21198-zz000sc836-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sc836"
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sc84q","ark:/21198/zz000sc82p","2","Completed","","Page","connexxus/images/masters/21198-zz000sc84q-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sc84q"
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sc86r","ark:/21198/zz000sc857","2","Completed","","Page","connexxus/images/masters/21198-zz000sc86r-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sc86r"
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sc878","ark:/21198/zz000sc857","2","Completed","","Page","connexxus/images/masters/21198-zz000sc878-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sc878"
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sc899","ark:/21198/zz000sc88s","2","Completed","","Page","connexxus/images/masters/21198-zz000sc899-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sc899"
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sc8bt","ark:/21198/zz000sc88s","2","Completed","","Page","connexxus/images/masters/21198-zz000sc8bt-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sc8bt"
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sc8dv","ark:/21198/zz000sc8cb","2","Completed","","Page","connexxus/images/masters/21198-zz000sc8dv-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sc8dv"
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sc8fc","ark:/21198/zz000sc857","2","Completed","","Page","connexxus/images/masters/21198-zz000sc8fc-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sc8fc"
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sc8gw","ark:/21198/zz000sc857","2","Completed","","Page","connexxus/images/masters/21198-zz000sc8gw-1-master.tif","4","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sc8gw"
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sc8hd","ark:/21198/zz000sc8cb","2","Completed","","Page","connexxus/images/masters/21198-zz000sc8hd-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sc8hd"
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sc8kf","ark:/21198/zz000sc8jx","2","Completed","","Page","connexxus/images/masters/21198-zz000sc8kf-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sc8kf"
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sc8mz","ark:/21198/zz000sc8jx","2","Completed","","Page","connexxus/images/masters/21198-zz000sc8mz-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sc8mz"
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sc8p0","ark:/21198/zz000sc8ng","2","Completed","","Page","connexxus/images/masters/21198-zz000sc8p0-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sc8p0"
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sc8qh","ark:/21198/zz000sc8ng","2","Completed","","Page","connexxus/images/masters/21198-zz000sc8qh-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sc8qh"
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sc8sj","ark:/21198/zz000sc8r1","2","Completed","","Page","connexxus/images/masters/21198-zz000sc8sj-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sc8sj"
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sc8t2","ark:/21198/zz000sc8r1","2","Completed","","Page","connexxus/images/masters/21198-zz000sc8t2-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sc8t2"
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sc8w3","ark:/21198/zz000sc8vk","2","Completed","","Page","connexxus/images/masters/21198-zz000sc8w3-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sc8w3"
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz000sc8xm","ark:/21198/zz000sc8vk","2","Completed","","Page","connexxus/images/masters/21198-zz000sc8xm-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sc8xm"
