"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Visibility","viewingHint","Duplicate","Delete in Title","Thumbnail","Title","Alt ID.local","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Iranian National Baha'i Archives","ark:/21198/z1cc2n9r","ark:/21198/zz002h5xds","","","Page","inba/image/21198-zz002h5xds-1-master_020.tif","20","","","","","","Page 20","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cc2n9r",""
"Iranian National Baha'i Archives","ark:/21198/z17m1wgp","ark:/21198/zz002h5xds","","","Page","inba/image/21198-zz002h5xds-1-master_021.tif","21","","","","","","Page 21","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17m1wgp",""
"Iranian National Baha'i Archives","ark:/21198/z13v14qw","ark:/21198/zz002h5xds","","","Page","inba/image/21198-zz002h5xds-1-master_022.tif","22","","","","","","Page 22","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13v14qw",""
"Iranian National Baha'i Archives","ark:/21198/z1030d1b","ark:/21198/zz002h5xds","","","Page","inba/image/21198-zz002h5xds-1-master_023.tif","23","","","","","","Page 23","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1030d1b",""
"Iranian National Baha'i Archives","ark:/21198/z1v99wnf","ark:/21198/zz002h5xds","","","Page","inba/image/21198-zz002h5xds-1-master_024.tif","24","","","","","","Page 24","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v99wnf",""
"Iranian National Baha'i Archives","ark:/21198/z1qj94wn","ark:/21198/zz002h5xds","","","Page","inba/image/21198-zz002h5xds-1-master_025.tif","25","","","","","","Page 25","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qj94wn",""
"Iranian National Baha'i Archives","ark:/21198/z1kw73m3","ark:/21198/zz002h5xds","","","Page","inba/image/21198-zz002h5xds-1-master_026.tif","26","","","","","","Page 26","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kw73m3",""
"Iranian National Baha'i Archives","ark:/21198/z1g46bwp","ark:/21198/zz002h5xds","","","Page","inba/image/21198-zz002h5xds-1-master_027.tif","27","","","","","","Page 27","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g46bwp",""
"Iranian National Baha'i Archives","ark:/21198/z1bc5m21","ark:/21198/zz002h5xds","","","Page","inba/image/21198-zz002h5xds-1-master_028.tif","28","","","","","","Page 28","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc5m21",""
"Iranian National Baha'i Archives","ark:/21198/z16m4vb9","ark:/21198/zz002h5xds","","","Page","inba/image/21198-zz002h5xds-1-master_029.tif","29","","","","","","Page 29","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m4vb9",""
"Iranian National Baha'i Archives","ark:/21198/z12v43nd","ark:/21198/zz002h5xds","","","Page","inba/image/21198-zz002h5xds-1-master_030.tif","30","","","","","","Page 30","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12v43nd",""
