"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Visibility","viewingHint","Duplicate","Delete in Title","Thumbnail","Title","Alt ID.local","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Iranian National Baha'i Archives","ark:/21198/z1v99wrs","ark:/21198/zz002h5xhb","","","Page","inba/image/21198-zz002h5xhb-1-master_020.tif","20","","","","","","Page 20","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v99wrs",""
"Iranian National Baha'i Archives","ark:/21198/z1qj94zj","ark:/21198/zz002h5xhb","","","Page","inba/image/21198-zz002h5xhb-1-master_021.tif","21","","","","","","Page 21","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qj94zj",""
"Iranian National Baha'i Archives","ark:/21198/z1ks8d5b","ark:/21198/zz002h5xhb","","","Page","inba/image/21198-zz002h5xhb-1-master_022.tif","22","","","","","","Page 22","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks8d5b",""
"Iranian National Baha'i Archives","ark:/21198/z1g17ndg","ark:/21198/zz002h5xhb","","","Page","inba/image/21198-zz002h5xhb-1-master_023.tif","23","","","","","","Page 23","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g17ndg",""
"Iranian National Baha'i Archives","ark:/21198/z1b86wrn","ark:/21198/zz002h5xhb","","","Page","inba/image/21198-zz002h5xhb-1-master_024.tif","24","","","","","","Page 24","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b86wrn",""
"Iranian National Baha'i Archives","ark:/21198/z16m4vd6","ark:/21198/zz002h5xhb","","","Page","inba/image/21198-zz002h5xhb-1-master_025.tif","25","","","","","","Page 25","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m4vd6",""
"Iranian National Baha'i Archives","ark:/21198/z12v43rr","ark:/21198/zz002h5xhb","","","Page","inba/image/21198-zz002h5xhb-1-master_026.tif","26","","","","","","Page 26","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12v43rr",""
"Iranian National Baha'i Archives","ark:/21198/z1z33mbp","ark:/21198/zz002h5xhb","","","Page","inba/image/21198-zz002h5xhb-1-master_027.tif","27","","","","","","Page 27","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z33mbp",""
"Iranian National Baha'i Archives","ark:/21198/z1tb2vkh","ark:/21198/zz002h5xhb","","","Page","inba/image/21198-zz002h5xhb-1-master_028.tif","28","","","","","","Page 28","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tb2vkh",""
"Iranian National Baha'i Archives","ark:/21198/z1pk23rt","ark:/21198/zz002h5xhb","","","Page","inba/image/21198-zz002h5xhb-1-master_029.tif","29","","","","","","Page 29","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pk23rt",""
"Iranian National Baha'i Archives","ark:/21198/z1jt1c02","ark:/21198/zz002h5xhb","","","Page","inba/image/21198-zz002h5xhb-1-master_030.tif","30","","","","","","Page 30","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jt1c02",""
"Iranian National Baha'i Archives","ark:/21198/z1f20m93","ark:/21198/zz002h5xhb","","","Page","inba/image/21198-zz002h5xhb-1-master_031.tif","31","","","","","","Page 31","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f20m93",""
"Iranian National Baha'i Archives","ark:/21198/z19c8k10","ark:/21198/zz002h5xhb","","","Page","inba/image/21198-zz002h5xhb-1-master_032.tif","32","","","","","","Page 32","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19c8k10",""
