"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Visibility","viewingHint","Duplicate","Delete in Title","Thumbnail","Title","Alt ID.local","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Iranian National Baha'i Archives","ark:/21198/z17h36j1","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_020.tif","20","","","","","","Page 20","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17h36j1",""
"Iranian National Baha'i Archives","ark:/21198/z13r2fvr","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_021.tif","21","","","","","","Page 21","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13r2fvr",""
"Iranian National Baha'i Archives","ark:/21198/z1001q4r","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_022.tif","22","","","","","","Page 22","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1001q4r",""
"Iranian National Baha'i Archives","ark:/21198/z1v716kj","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_023.tif","23","","","","","","Page 23","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v716kj",""
"Iranian National Baha'i Archives","ark:/21198/z1qj959f","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_024.tif","24","","","","","","Page 24","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qj959f",""
"Iranian National Baha'i Archives","ark:/21198/z1ks8dj8","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_025.tif","25","","","","","","Page 25","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks8dj8",""
"Iranian National Baha'i Archives","ark:/21198/z1g17nsd","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_026.tif","26","","","","","","Page 26","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g17nsd",""
"Iranian National Baha'i Archives","ark:/21198/z1b86x3j","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_027.tif","27","","","","","","Page 27","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b86x3j",""
"Iranian National Baha'i Archives","ark:/21198/z16h65dn","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_028.tif","28","","","","","","Page 28","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16h65dn",""
"Iranian National Baha'i Archives","ark:/21198/z12r5dqc","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_029.tif","29","","","","","","Page 29","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12r5dqc",""
"Iranian National Baha'i Archives","ark:/21198/z1z04x5h","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_030.tif","30","","","","","","Page 30","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z04x5h",""
"Iranian National Baha'i Archives","ark:/21198/z1tb2vx0","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_031.tif","31","","","","","","Page 31","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tb2vx0",""
"Iranian National Baha'i Archives","ark:/21198/z1pk2445","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_032.tif","32","","","","","","Page 32","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pk2445",""
"Iranian National Baha'i Archives","ark:/21198/z1jt1cc0","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_033.tif","33","","","","","","Page 33","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jt1cc0",""
"Iranian National Baha'i Archives","ark:/21198/z1f20mnk","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_034.tif","34","","","","","","Page 34","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f20mnk",""
"Iranian National Baha'i Archives","ark:/21198/z1989w0m","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_035.tif","35","","","","","","Page 35","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1989w0m",""
"Iranian National Baha'i Archives","ark:/21198/z15h9488","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_036.tif","36","","","","","","Page 36","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15h9488",""
"Iranian National Baha'i Archives","ark:/21198/z11r8ch3","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_037.tif","37","","","","","","Page 37","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11r8ch3",""
"Iranian National Baha'i Archives","ark:/21198/z1x36kgw","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_038.tif","38","","","","","","Page 38","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x36kgw",""
"Iranian National Baha'i Archives","ark:/21198/z1sb5tqq","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_039.tif","39","","","","","","Page 39","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sb5tqq",""
"Iranian National Baha'i Archives","ark:/21198/z1nk530s","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_040.tif","40","","","","","","Page 40","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nk530s",""
"Iranian National Baha'i Archives","ark:/21198/z1ht4b9h","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_041.tif","41","","","","","","Page 41","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ht4b9h",""
"Iranian National Baha'i Archives","ark:/21198/z1d23kmj","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_042.tif","42","","","","","","Page 42","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d23kmj",""
