Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Rights.publicationStatus,Rights.permission,Name.subject,Coverage.geographic,Name.creator,Subject,Rights.publicationNote,Language,Type.genre,Author,Name.contributor,Name.correspondent,Name.repository,Rights.permissionNote,Name.photographer,Title,Date.creation,Date.publication,Description.note,Date.normalized,Description.caption,Description.abstract
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00177hcp,ark:/21198/zz000s2z4b,2,Completed,Work,,23,,,,,,,,text,copyrighted,unknown,Y,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,,,eng,,,,,,,,Flyers - Snuff Campaign,March 1976,,"Press releases and publicity flyers.|~|Women Against Violence Against Women Collection: Box 9, 1 Folder.",1976-03,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00177hvx,ark:/21198/zz000s2z4b,2,Completed,Work,,24,,,,,,,,text,copyrighted,unknown|~|unpublished,Y,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,,,eng,,,,,,,,Press Releases - Snuff Campaign,"Between March 17, 1976 and March 24, 1976",,"Women Against Violence Against Women Collection: Box 9, 1 Folder.|~|Press releases and publicity flyers. ""Boycott Mann!""; ""Feminists Snuff ""Snuff""; ""Sadism is not Healthy for Women and Other Living Things"" and other ""Snuff"" - related press releases.",1976-03-17/1976-03-24,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00177jc5,ark:/21198/zz000s2z4b,2,Completed,Work,,25,,,,,,,,text,copyrighted,unpublished,Y,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,,,eng,,,,,,,,Campaign Strategy and Fact Sheets - Snuff Campaign,"Between March 12, 1976 and March 24, 1976",,"Women Against Violence Against Women Collection: Box 9, 1 Folder.|~|When is ""Snuff"" Opening? Where is ""Snuff"" being Shown? and Fact Sheet on ""Snuff.""",1976-03-12/1976-03-24,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00177kvw,ark:/21198/zz000s2z4b,2,Completed,Work,,26,,,,,,,,text,copyrighted,unpublished,unknown,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,,,eng,letters (correspondence),,Los Angeles Feminist Women’s Health Center,,,,,Correspondence - Snuff Campaign,"March 12, 1976",,"Women Against Violence Against Women Collection: Box 14, 1 Folder|~|Correspondence to Argentine Embassy.",1976-03-12,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz0017sgxn,ark:/21198/zz000s2z4b,2,Completed,Work,,27,,,,,,,,text,copyrighted,,,Women Against Violence Against Women ,Los Angeles (Calif.),,,,eng,,,,,,,,Campaigns - Other,Between 1974 and 1986,,"Women Against Violence Against Women Collection: Box 5, 1 Folder; Box 9, 24 Folders.|~|Hillside Strangler memorial demonstration and related correspondence and notes. Correspondence between WAVAW, the Federal Trade Commission (FTC) and U.S. Congressman Edward Roybal re the ""Self-Defense"" advertising campaign undertaken by Max Factor to promote a new line of cosmetics. Copy of letter sent to Ellen Willis, copy of record reviewer Bruce Dancis' ""In These Times"" article about WAVAW and copy of response from WAVAW that appeared in March 12, 1979 edition of ""In These Times."" Press coverage of the Playboy sponsored Hugh M. Hefner First Amendment Awards and press releases and statements for the ""WAVAW Hugh Hefner Spirit of Playboy Awards,"" sponsored by WAVAW, Women Against Violence in Pornography and Media (WAVPM), and Women Against Pornography (WAP). Letters of protest against adult video games such as ""Custer's Revenge,"" ""Bachelor Party,"" and ""Beat'em and Eat'em"" produced by American Multiple Industries (AMI), response letters from AMI, press releases and publicity articles. Campaigns including: Beulah Land, Dressed to Kill, Bloodline, Windows, Tattoo, Firehouse Rape, Heaven Sent, The Eyes Have It, Killing Us Softly, Seduction, 9 1/2 Weeks, Pieces.",1974/1986,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00177mps,ark:/21198/zz000s2z4b,2,Completed,Work,,28,,,,,,,,text,copyrighted,unpublished,,,Los Angeles (Calif.),Women Against Violence Against Women ,,,eng,,,,,,,,Testimony to ICCR,"June, 1977",,"Women Against Violence Against Women Collection: Box 14, 3 Folders.|~|Complete script of Women Against Women Against Violence (WAVAW) testimony to Interfaith Center on Corporate Responsibility (ICCR).",1977-06,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00178wfg,ark:/21198/zz000s2z4b,2,Completed,Work,,44,,,,,,,,,copyrighted,unknown,Y,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,,,eng,,,,,,,,Advertising and Ephemera,,,,,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00178zff,ark:/21198/zz000s2z4b,2,Completed,Work,,45,,,,,,,,text,copyrighted,unpublished,,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,,,eng,,,,,,,,Reports,,,"Organizational Analysis and the Call for Consultation by Tamar Kraut and WAVAW-authored sex education article.|~|Women Against Violence Against Women Collection: Box 14, 2 Folders.",,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz001793ft,ark:/21198/zz000s2z4b,2,Completed,Work,,46,,,,,,,,text,copyrighted,unpublished,,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,,,eng,,,,,,,,Community Events,,,"Women Against Violence Against Women Collection: Box 3, 1 Folder; Box 15, 3 Folders; Box 2, 1 Folder.|~|Publicity announcements and related correspondence, newspaper clippings, sheet music and concert tickets and receipts for Holly Near benefit concert. Publicity announcements and related correspondence related to Festival for Performing Arts. Events Women Against Violence Against Women (WAVAW) Participated in.",,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz001794nd,ark:/21198/zz000s2z4b,2,Completed,Work,,47,,,,,,,,text,copyrighted,unpublished,Y,Women Against Violence Against Women ,Los Angeles (Calif.),,,,eng,,,,,,,,Conferences,,,"Women Against Violence Against Women Collection: Box 3, 1 Folder; Box 27, 3 Folders.|~|Conference on Women & the Law, WAVPM proposed conference ""Feminist Perspectives on Pornography,"" and ""Women Helping Women the Path to Leadership."" American Public Health Association (APHA) annual conference abstract for WAVAW panel on violence against women as a public health issue.",,,
