Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Subject,Type.typeOfResource,Type.genre,Name.subject,Rights.copyrightStatus,Rights.rightsHolderContact,Coverage.geographic,Name.fashionDesigner,Name.photographer,Name.repository,Name.artist,Name.architect,Name.compiler,Rights.countryCreation,Rights.servicesContact,Language,Relation.hasVersion,Rights.permission,Publisher.publisherName,Relation.isPartOf,Illustrator,Alternate Identifier.local,Title,Description.caption,Date.creation,Format.extent,Format.medium,Format.dimensions,Date.normalized,Description.longitude,Description.latitude,Description.note,Description.adminnote,Description.contents,Description.abstract,Description.fundingNote,Opac url,Finding Aid URL,Alternate Identifier.oclc,License,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Los Angeles Times Photographic Archive,ark:/21198/zz002czxs4,ark:/21198/zz0002np7z,7,Needs Review,Work,latimes/masters/21198-zz002czxs4_2109546_master.tif,,TRUE,,Science|~|Business|~|Culture,,,,,,,,,"University of California, Los Angeles. Library. Department of Special Collections",,,,,,zxx,,,,,,uclamss_1429_B66_n57731,zzz - duplicate of 21198/zz002hj4s9,"Student nurses at Methodist Hospital model various caps. Clockwise from bottom, left to right, Corinne Olson with Mt. Rafael (Trinidad, Colo.) Hospital Cap; Mary Schmueck, St. Luck's Hospital, New York City; Bernice Mayer, Colorado Hospital, Denver; June Newton, Columbia Hospital, Milwaukee; Betty Willets, Bellevue Hospital, New York. No two nursing school caps are alike.",,,,,,,,,,,,,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czxs4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czxs4/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002czxtn,ark:/21198/zz0002np7z,7,Needs Review,Work,latimes/masters/21198-zz002czxtn_2109531_master.tif,,TRUE,,Science,,,,,,,,,"University of California, Los Angeles. Library. Department of Special Collections",,,,,,zxx,,,,,,uclamss_1429_B29_n49170-001,zzz - duplicate of 21198/zz002hj4mq,Dr. Elias Spotkov uses microscope to demonstrate to General Hospital student nurses how blood clots are found. Hospital is appealing for more nurses.,,,,,,,,,,,,,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czxtn,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czxtn/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002czxv5,ark:/21198/zz0002np7z,7,Needs Review,Work,latimes/masters/21198-zz002czxv5_2109549_master.tif,,TRUE,,Education,,,,,,,,,"University of California, Los Angeles. Library. Department of Special Collections",,,,,,zxx,,,,,,uclamss_1429_B71_n59065,zzz - duplicate of 21198/zz002hj4tt,Coming up gangplank to visit Navy Hospital ship Repose at San Pedro are 10 student nurses from five Southland hospitals. Advantages of a career in the Navy were explained to the young women as part of Navy recruiting campaign.,,,,,,,,,,,,,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czxv5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czxv5/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002czxwp,ark:/21198/zz0002np7z,7,Needs Review,Work,latimes/masters/21198-zz002czxwp_2109537_master.tif,,TRUE,,Education,,,,,,,,,"University of California, Los Angeles. Library. Department of Special Collections",,,,,,zxx,,,,,,uclamss_1429_B29_n49170-003,zzz - duplicate of 21198/zz002hj4pr,"Esther Phillips, left, sophmore, learns to measure a food formula on scale as demonstrated by Val Turner, senior student at the General Hospital.",,,,,,,,,,,,,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czxwp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czxwp/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002czxx6,ark:/21198/zz0002np7z,7,Needs Review,Work,latimes/masters/21198-zz002czxx6_2109525_master.tif,,TRUE,,Culture,,,,,,,,,"University of California, Los Angeles. Library. Department of Special Collections",,,,,,zxx,,,,,,uclamss_1429_B23_n47620,zzz - duplicate of 21198/zz002hj4jp,"Florence Slater, left, and Ann Harmon, technicians at the Veterans Hospital, are two of 12 nationally selected for Warm Springs polio instruction.",,,,,,,,,,,,,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czxx6,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czxx6/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002czxzq,ark:/21198/zz0002np7z,7,Needs Review,Work,latimes/masters/21198-zz002czxzq_2109543_master.tif,,TRUE,,Events|~|People|~|Arts,,,,,,,,,"University of California, Los Angeles. Library. Department of Special Collections",,,,,,zxx,,,,,,uclamss_1429_B35_n50710-001,zzz - duplicate of 21198/zz002hj4rs,"Four of six awards which went to English productions are admired (from left) by Agnes Moorehead, British Star Jean Simmons and Actor Dick Powell.",,,,,,,,,,,,,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czxzq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czxzq/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002czz0q,ark:/21198/zz0002np7z,7,Needs Review,Work,latimes/masters/21198-zz002czz0q_2109570_master.tif,,TRUE,,People,,,,,,,,,"University of California, Los Angeles. Library. Department of Special Collections",,,,,,zxx,,,,,,uclamss_1429_B121_n69405-002,zzz - duplicate of 21198/zz002hj52x,,,,,,,,,,,,,,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czz0q,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czz0q/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002czz17,ark:/21198/zz0002np7z,7,Needs Review,Work,latimes/masters/21198-zz002czz17_2109558_master.tif,,TRUE,,Arts,,,,,,,,,"University of California, Los Angeles. Library. Department of Special Collections",,,,,,zxx,,,,,,uclamss_1429_B97_n64575,zzz duplicate of 21198/zz002hj4xc,"Diosa Costello, seated, who takes part of Bloody Mary, and Norma Calderon, as Liat, look at shrunken head used as one of ""props"" in the production.",,,,,,,,,,,,,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czz17,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czz17/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002czz2r,ark:/21198/zz0002np7z,7,Needs Review,Work,latimes/masters/21198-zz002czz2r_2109576_master.tif,,TRUE,,,,,,,,,,,"University of California, Los Angeles. Library. Department of Special Collections",,,,,,zxx,,,,,,uclamss_1429_B151_n75880,zzz - duplicate of 21198/zz002hj54z,,,,,,,,,,,,,,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czz2r,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czz2r/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002czz38,ark:/21198/zz0002np7z,7,Needs Review,Work,latimes/masters/21198-zz002czz38_2109564_master.tif,,TRUE,,People,,,,,,,,,"University of California, Los Angeles. Library. Department of Special Collections",,,,,,zxx,,,,,,uclamss_1429_B112_n67749,zzz - duplicate of 21198/zz002hj50w,,,,,,,,,,,,,,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czz38,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czz38/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002czz59,ark:/21198/zz0002np7z,7,Needs Review,Work,latimes/masters/21198-zz002czz59_2109579_master.tif,,TRUE,,Culture,,,,,,,,,"University of California, Los Angeles. Library. Department of Special Collections",,,,,,zxx,,,,,,uclamss_1429_B155_n76803,zzz - duplicate of 21198/zz002hj55g,,,,,,,,,,,,,,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czz59,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czz59/manifest
