Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Visibility,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Type.genre,Name.subject,Name.donor,Name.copyrightHolder,Name.repository,Subject,Rights.copyrightStatus,Publisher.publisherName,Name.designer,Name.creator,Name.contributor,Format.extent,AltTitle.uniform,AltIdentifier.local,Relation.isPartOf,Date.creation,Title,Format.medium,Format.dimensions,Date.normalized,Description.note,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL
Roybal (Edward R.) Photograph Collection,ark:/21198/z1p57639,ark:/21198/zz00141d56,2,Completed,Page,csrc/masters/21198-zz00141d56-1-master.tif,private,1,,,still image,,,,,,,,,,,,,,,,,1,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p57639
Roybal (Edward R.) Photograph Collection,ark:/21198/z1jd6fd1,ark:/21198/zz00141d56,2,Completed,Page,csrc/masters/21198-zz00141d56_506556_master.tif,private,2,,,still image,,,,,,,,,,,,,,,,,2,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jd6fd1
Roybal (Edward R.) Photograph Collection,ark:/21198/z1dn5pp9,ark:/21198/zz00159qhq,1,In progress,Page,csrc/masters/21198-zz00159qhq-1-master.tif,private,1,,,still image,,,,,,,,,,,,,,,,,1,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dn5pp9
Roybal (Edward R.) Photograph Collection,ark:/21198/z18w4xzk,ark:/21198/zz00159qhq,1,In progress,Page,csrc/masters/21198-zz00159qhq_723113_master.tif,private,2,,,still image,,,,,,,,,,,,,,,,,2,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18w4xzk
Roybal (Edward R.) Photograph Collection,ark:/21198/z154466h,ark:/21198/zz0017k3r2,1,In progress,Page,csrc/masters/21198-zz0017k3r2_506036_master.tif,private,1,,,still image,,,,,,,,,,,,,,,,,1,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz154466h
Roybal (Edward R.) Photograph Collection,ark:/21198/z11g24vn,ark:/21198/zz0017k3r2,1,In progress,Page,csrc/masters/21198-zz0017k3r2_506058_master.tif,private,2,,,still image,,,,,,,,,,,,,,,,,2,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g24vn
Roybal (Edward R.) Photograph Collection,ark:/21198/z1wq1ncc,ark:/21198/zz0017pz9r,1,In progress,Page,csrc/masters/21198-zz0017pz9r_720021_master.tif,private,1,,,still image,,,,,,,,,,,,,,,,,1,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq1ncc
Roybal (Edward R.) Photograph Collection,ark:/21198/z1rz0wnn,ark:/21198/zz0017pz9r,1,In progress,Page,csrc/masters/21198-zz0017pz9r_720020_master.tif,private,2,,,still image,,,,,,,,,,,,,,,,,2,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/z1n6050x,ark:/21198/zz0017qj0r,1,In progress,Page,csrc/masters/21198-zz0017qj0r_721040_master.tif,private,1,,,still image,,,,,,,,,,,,,,,,,1,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n6050x
Roybal (Edward R.) Photograph Collection,ark:/21198/z1hd9d93,ark:/21198/zz0017qj0r,1,In progress,Page,csrc/masters/21198-zz0017qj0r_723060_master.tif,private,2,,,still image,,,,,,,,,,,,,,,,,2,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hd9d93
