Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Alternate Identifier.local,Title,Name.interviewee,Name.interviewer,Type.typeOfResource,Format.dimensions,Format.medium,Date.created,Date.normalized,Format.extent,Repository,Relation.isPartOf,TRT,Transfer Notes
Tom Reed's For Members Only,ark:/21198/z12j856t,ark:/21198/z1wq1vx1,2,Completed,Work,,T160125,1. A Look Back 14 Years 2. Author Ellis Cose,"Cose, Ellis","Reed, Tom, 1936-",moving image,3/4 IN.,VIDEOCASSETTE,1981-05-05,1981-05-05,,UCLA Film and Television Archive,Tom Reed Collection,0:57:10,Titles have been corrected
Tom Reed's For Members Only,ark:/21198/z1xw6c4v,ark:/21198/z1wq1vx1,2,Completed,Work,,T164234,"Black History Month: I. Houston, E. White, J. Bell and J. Harmon (Buick), Dick Gregory, EWF, Gerry Cooney","Cooney, Gerry, 1956-|~|Gregory, Dick","Reed, Tom, 1936-",moving image,3/4 IN.,VIDEOCASSETTE,1982-02-15,1982-02-15,,UCLA Film and Television Archive,Tom Reed Collection,0:50:07,"problematic clogging tape, Ch.1 audio on first half, ch. 2 audio on EWF interview, 10009 multiple hits, 10921 hit, 13650 tracking error recorded in, 14223, 14231 hits, very poor quality"
Tom Reed's For Members Only,ark:/21198/z1rz1463,ark:/21198/z1wq1vx1,2,Completed,Work,,T160136,Ron O’Neal and Marla Gibbs,"O'Neal, Ron|~|Gibbs, Marla, 1931-","Reed, Tom, 1936-",moving image,3/4 IN.,VIDEOCASSETTE,1982-04-19,1982-04-19,,UCLA Film and Television Archive,Tom Reed Collection,0:44:02,"erratic audio levels, chroma phase, bad edits in show"
Tom Reed's For Members Only,ark:/21198/z1t45mgb,ark:/21198/z1wq1vx1,2,Completed,Work,,T160133,"Mr. Jim's BBQ, The Temptations, Tom Bradley, Archie Moore","Temptations (musical group)|~|Bradley, Tom, 1917-1998|~|Moore, Archie, 1913-1998","Reed, Tom, 1936-",moving image,3/4 IN.,VIDEOCASSETTE,1982-06-05,1982-06-05,,UCLA Film and Television Archive,Tom Reed Collection,0:26:42,"Episode title updated, very contrasty video in parts have been corrected, stereo audio in parts"
Tom Reed's For Members Only,ark:/21198/z12j856t,ark:/21198/z1wq1vx1,2,Completed,Work,,T160132,Reflections on Black America,,"Reed, Tom, 1936-",moving image,3/4 IN.,VIDEOCASSETTE,1983-02-26,1983-02-26,,UCLA Film and Television Archive,Tom Reed Collection,0:57:31,"2 ch. mono audio, music videos are 2 ch. mono with phase splatter, 12730 tracking hit, video peaks in Roberta Flack cartoon"
Tom Reed's For Members Only,,ark:/21198/z1wq1vx1,2,Completed,Work,,T164240,"Rockwell, Cameo, Conan, Robert “Bumps” Blackwell",,"Reed, Tom, 1936-",moving image,3/4 IN.,VIDEOCASSETTE,1983-06-23,1983-06-23,,UCLA Film and Television Archive,Tom Reed Collection,0:27:17,10039 tape crease damage
Tom Reed's For Members Only,,ark:/21198/z1wq1vx1,2,Completed,Work,,T164238,"John T. Stevens, award winning author, Lonne Elder III, Mary Jane Girls and some excerpts from the video art piece, “Dream City” by U.S. Jenkins.",,"Reed, Tom, 1936-",moving image,3/4 IN.,VIDEOCASSETTE,1983-08-20,1983-08-20,,UCLA Film and Television Archive,Tom Reed Collection,0:28:12,no issues
Tom Reed's For Members Only,,ark:/21198/z1wq1vx1,2,Completed,Work,,T164236,"Charles Carrington, Vanity Six, Shari Belafonte-Harper, Video art by U.S. Jenkins",,"Reed, Tom, 1936-",moving image,3/4 IN.,VIDEOCASSETTE,1983-09-24,1983-09-24,,UCLA Film and Television Archive,Tom Reed Collection,0:28:00,"erratic audio levels, 2 ch. mono audio"
Tom Reed's For Members Only,,ark:/21198/z1wq1vx1,2,Completed,Work,,T164239,"Olympian Willie Banks, Los Angeles Raiders All Pro H. Lawrence",,"Reed, Tom, 1936-",moving image,3/4 IN.,VIDEOCASSETTE,1983-12-17,1983-12-17,,UCLA Film and Television Archive,Tom Reed Collection,0:28:22,12815 bonus clip at end of tape
Tom Reed's For Members Only,,ark:/21198/z1wq1vx1,2,Completed,Work,,T164292,"Black History Month. A.C. Powell, George Kirby, Adam C. Powell Jr., Ann Weldon, Vanity 6. Stevie Wonder, Haki Madhubuti. Comments and commentary ",,"Reed, Tom, 1936-",moving image,3/4 IN.,VIDEOCASSETTE,1984-02-18,1984-02-18,01:00:00,UCLA Film and Television Archive,Tom Reed Collection,0:57:58,"erratic video quality, heavy dropouts, low RF, tape damage, video hit 15615"
