Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Alternate Identifier.local,Title,Description.tableOfContents,viewingHint,Text direction,Visibility,IIIF Range,Rights.copyrightStatus,Subject,Type.genre,Name.repository,Name.author,Name.translator,Name.commentator,Name.scribe,Name.compiler,Language,Language.script,Name.calligrapher,Relation.rectoVerso,Source,Date.creation,Format.dimensions,Alternate Title.other,Description.abstract,Description.microfilm,Description.citation,Alternate Title.scriptArab,Description.physical,Date.normalized,Description.note,Format.extent,Relation,Description.stamp,Relation.citation,Alternate Title.spine,Description.marks,Description.colophon,thumbnailImageName,masterImageName,JSON,Metadata Only,Conceptual Work
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000stdvb,ark:/21198/zz000wrmkf,7,Completed,Work,,133,132,Majmūʿah,"Title: Niṣāb al-ṣibyān; This is an excerpt of the text.|~|Title: Sharḥ al-ʿAvāmil; A Persian commentary on ʿAbd al-Qāhir al-Jurjānī's (d. 1078?) al-ʿAwāmil al-miʾah, on Arabic grammar. More specifically on verbal terms, acoustics and comparison.|~|Title: Tajvīd|~|Title: al-Alfīyah; Text is in Arabic with Persian translation in Nastaʿlīq script.|~|Title: Irshād al-mustarshidīn; Text on prayer, almsgiving, submission to God and other precepts of Islam.",paged,right-to-left,,,pd,,manuscripts (document genre),"University of California, Los Angeles. $b Library Special Collections",,,,,,per,Naskh,,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 22, 132",n.d.,21 x 15.5 cm.,,,,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1039 AH), p. 666-7.",مجموعه,,,,,,,,,,,,,"['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz000stdvb"", ""Parent ARK"": ""ark:/21198/zz000wrmkf"", ""Item Status ID"": ""7"", ""Item Status"": ""Needs Review"", ""Object Type"": ""Work"", ""File Name"": """", ""Item Sequence"": ""133"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": ""paged"", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": """", ""Type.genre"": ""manuscripts (document genre)"", ""Name.repository"": ""University of California, Los Angeles. $b Library Special Collections"", ""Name.author"": """", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": ""Persian"", ""Language.script"": ""Naskh"", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""132"", ""Title"": ""Majm\\u016b\\u02bfah"", ""Relation.rectoVerso"": """", ""Source"": ""Caro Minasian Collection of Persian and Arabic Manuscripts, box 22, 132"", ""Date.creation"": ""n.d."", ""Format.dimensions"": ""21 x 15.5 cm."", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": ""Mu\\u1e25ammad Taq\\u012b D\\u0101nish-pazh\\u016bh, Fihrist-i Nushahh\\u0101-yi kha\\u1e6d\\u1e6d\\u012b, daftar 11 & 12 (\\u1e6cihr\\u0101n: Intish\\u0101r\\u0101t-i D\\u0101nishg\\u0101h-i \\u1e6cihr\\u0101n, 1039 AH), p. 666-7."", ""Alternate Title.scriptArab"": ""\\u0645\\u062c\\u0645\\u0648\\u0639\\u0647"", ""Description.physical"": """", ""Relation.textDirection"": ""rtl"", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": """", ""masterImageName"": """"}']",No,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000stf60,ark:/21198/zz000wrmkf,7,Completed,Work,,136,135,Majmūʿah,Title: Panjāh mawiẓah-ʾi Khuda bih Mūsá bī miyānjīgarī-i Jibrāʾīl; Author is unknown.|~|Title: Nijāt al-muʾminīn; Item contains rubrics. Author is unknown.|~|Title: Nas̱r al-laʾālī; Text is a Persian-Arabic niṣāb. Arabic original is given above each hemistich. Author is unknown.,paged,right-to-left,,,pd,,manuscripts (document genre),"University of California, Los Angeles. $b Library Special Collections",,,,"Ibn Muḥammad Ḥasan Kātib, ʿAbd al-Vahāb",,per,Naskh,,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 22, 135",n.d.,31.1 x 21 cm.,,"Though the copyist only gives his name in the colophon of the second text, all three texts appear to be by the same copyist.",5679,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1039 AH), p. 667.",مجموعه,,,,,,,,,,,,,"['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz000stf60"", ""Parent ARK"": ""ark:/21198/zz000wrmkf"", ""Item Status ID"": ""7"", ""Item Status"": ""Needs Review"", ""Object Type"": ""Work"", ""File Name"": """", ""Item Sequence"": ""136"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": ""paged"", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": """", ""Type.genre"": ""manuscripts (document genre)"", ""Name.repository"": ""University of California, Los Angeles. $b Library Special Collections"", ""Name.author"": """", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": ""Ibn Muh\\u0323ammad H\\u0323asan K\\u0101tib, \\u02bfAbd al-Vah\\u0101b"", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": ""Persian"", ""Language.script"": ""Naskh"", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""135"", ""Title"": ""Majm\\u016b\\u02bfah"", ""Relation.rectoVerso"": """", ""Source"": ""Caro Minasian Collection of Persian and Arabic Manuscripts, box 22, 135"", ""Date.creation"": ""n.d."", ""Format.dimensions"": ""31.1 x 21 cm."", ""Alternate Title.other"": """", ""Description.abstract"": ""Though the copyist only gives his name in the colophon of the second text, all three texts appear to be by the same copyist."", ""Description.microfilm"": ""5679"", ""Description.citation"": ""Mu\\u1e25ammad Taq\\u012b D\\u0101nish-pazh\\u016bh, Fihrist-i Nushahh\\u0101-yi kha\\u1e6d\\u1e6d\\u012b, daftar 11 & 12 (\\u1e6cihr\\u0101n: Intish\\u0101r\\u0101t-i D\\u0101nishg\\u0101h-i \\u1e6cihr\\u0101n, 1039 AH), p. 667."", ""Alternate Title.scriptArab"": ""\\u0645\\u062c\\u0645\\u0648\\u0639\\u0647"", ""Description.physical"": """", ""Relation.textDirection"": ""rtl"", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": """", ""masterImageName"": """"}']",No,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000stfd3,ark:/21198/zz000wrmkf,7,Completed,Work,,139,138,Nuṣrat al-dīn,Title: Cover,paged,right-to-left,,,pd,Christianity and other religions $x Islam|~|Islam $x Relations $x Christianity,manuscripts (document genre),"University of California, Los Angeles. $b Library Special Collections","Kirmānī, Muḥammad Karīm Khan, $d d. 1871 or 2",,,"Iṣfahānī, Hāshim ibn Ḥājī ʿAlī Aṣghar Mubārakah-ʾi Linjānī",,per,Nastaʿlīq,,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 23, 138",1268 [1851 or 1852],24.8 x 15 cm.,,Composed A.H. 1266.,,"Munzavī v. 2 pt. 1, p.1002.|~|Āghā Buzurg al-Ṭihrānī, Dharīʿah ilā taṣānif al-Shīʿah (Al-Najaf: Maṭbaʿat al-Gharrā, 1936-1986), v. 24 (913), p. 175.|~|Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1039 AH), p. 90.",Nuṣrat al-dīn dar radd-i pādarī-i farangī|~|نصرة الدين در ردّ پادری فرنگی,,,,,,,,,,,,,"['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz000stfd3"", ""Parent ARK"": ""ark:/21198/zz000wrmkf"", ""Item Status ID"": ""7"", ""Item Status"": ""Needs Review"", ""Object Type"": ""Work"", ""File Name"": """", ""Item Sequence"": ""139"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": ""paged"", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": ""Christianity and other religions $x Islam|~|Islam $x Relations $x Christianity"", ""Type.genre"": ""manuscripts (document genre)"", ""Name.repository"": ""University of California, Los Angeles. $b Library Special Collections"", ""Name.author"": ""Kirm\\u0101n\\u012b, Muh\\u0323ammad Kar\\u012bm Khan, $d d. 1871 or 2"", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": ""Is\\u0323fah\\u0101n\\u012b, H\\u0101shim ibn H\\u0323\\u0101j\\u012b \\u02bfAl\\u012b As\\u0323ghar Mub\\u0101rakah-\\u02bei Linj\\u0101n\\u012b"", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": ""Persian"", ""Language.script"": ""Nasta\\u02bfl\\u012bq"", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""138"", ""Title"": ""Nus\\u0323rat al-d\\u012bn"", ""Relation.rectoVerso"": """", ""Source"": ""Caro Minasian Collection of Persian and Arabic Manuscripts, box 23, 138"", ""Date.creation"": ""1268 [1851 or 1852]"", ""Format.dimensions"": ""24.8 x 15 cm."", ""Alternate Title.other"": """", ""Description.abstract"": ""Composed A.H. 1266."", ""Description.microfilm"": """", ""Description.citation"": ""Munzav\\u012b v. 2 pt. 1, p.1002.|~|\\u0100gh\\u0101 Buzurg al-\\u1e6cihr\\u0101n\\u012b, Dhar\\u012b\\u02bfah il\\u0101 ta\\u1e63\\u0101nif al-Sh\\u012b\\u02bfah (Al-Najaf: Ma\\u1e6dba\\u02bfat al-Gharr\\u0101, 1936-1986), v. 24 (913), p. 175.|~|Mu\\u1e25ammad Taq\\u012b D\\u0101nish-pazh\\u016bh, Fihrist-i Nushahh\\u0101-yi kha\\u1e6d\\u1e6d\\u012b, daftar 11 & 12 (\\u1e6cihr\\u0101n: Intish\\u0101r\\u0101t-i D\\u0101nishg\\u0101h-i \\u1e6cihr\\u0101n, 1039 AH), p. 90."", ""Alternate Title.scriptArab"": ""Nus\\u0323rat al-d\\u012bn dar radd-i p\\u0101dar\\u012b-i farang\\u012b|~|\\u0646\\u0635\\u0631\\u0629 \\u0627\\u0644\\u062f\\u064a\\u0646 \\u062f\\u0631 \\u0631\\u062f\\u0651 \\u067e\\u0627\\u062f\\u0631\\u06cc \\u0641\\u0631\\u0646\\u06af\\u06cc"", ""Description.physical"": """", ""Relation.textDirection"": ""rtl"", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": """", ""masterImageName"": """"}']",No,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000stfvt,ark:/21198/zz000wrmkf,7,Completed,Work,,152,151,al-Muʿjam fī ās̱ar mulūk al-ʿajam,Title: page 209,paged,right-to-left,,,pd,Persian poetry|~|Iran $x History $y To 640 $v Early works to 1800,manuscripts (document genre),"University of California, Los Angeles. $b Library Special Collections","Shīrāzī, Sharf al-Dīn Faz̤l Allāh ibn ʿAbd Allāh Ḥusaynī Qazvīnī (d. A.H.740)",,,Jaʿfar Muḥammad,,per,Nastaʿlīq,,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 25, 151",684 [1285 or 1286],22.8 x 12.6,,On the history of the four pre-Islamic Persian dynasties interspersed with excerpts from the Shāhnāmah.,,"Munzavī v. 6 p.4386.|~|Āghā Buzurg al-Ṭihrānī, Dharīʿah ilā taṣānif al-Shīʿah (Al-Najaf: Maṭbaʿat al-Gharrā, 1936-1986), v. 3 (1060), p. 287.|~|Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1039 AH), p. 82.",المعجم في آثار ملوک العجم,,,,,,,,,,,,,"['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz000stfvt"", ""Parent ARK"": ""ark:/21198/zz000wrmkf"", ""Item Status ID"": ""7"", ""Item Status"": ""Needs Review"", ""Object Type"": ""Work"", ""File Name"": """", ""Item Sequence"": ""152"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": ""paged"", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": ""Persian poetry|~|Iran $x History $y To 640 $v Early works to 1800"", ""Type.genre"": ""manuscripts (document genre)"", ""Name.repository"": ""University of California, Los Angeles. $b Library Special Collections"", ""Name.author"": ""Sh\\u012br\\u0101z\\u012b, Sharf al-D\\u012bn Faz\\u0324l All\\u0101h ibn \\u02bfAbd All\\u0101h H\\u0323usayn\\u012b Qazv\\u012bn\\u012b (d. A.H.740)"", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": ""Ja\\u02bffar Muh\\u0323ammad"", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": ""Persian"", ""Language.script"": ""Nasta\\u02bfl\\u012bq"", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""151"", ""Title"": ""al-Mu\\u02bfjam f\\u012b \\u0101s\\u0331ar mul\\u016bk al-\\u02bfajam"", ""Relation.rectoVerso"": """", ""Source"": ""Caro Minasian Collection of Persian and Arabic Manuscripts, box 25, 151"", ""Date.creation"": ""684 [1285 or 1286]"", ""Format.dimensions"": ""22.8 x 12.6"", ""Alternate Title.other"": """", ""Description.abstract"": ""On the history of the four pre-Islamic Persian dynasties interspersed with excerpts from the Sh\\u0101hn\\u0101mah."", ""Description.microfilm"": """", ""Description.citation"": ""Munzav\\u012b v. 6 p.4386.|~|\\u0100gh\\u0101 Buzurg al-\\u1e6cihr\\u0101n\\u012b, Dhar\\u012b\\u02bfah il\\u0101 ta\\u1e63\\u0101nif al-Sh\\u012b\\u02bfah (Al-Najaf: Ma\\u1e6dba\\u02bfat al-Gharr\\u0101, 1936-1986), v. 3 (1060), p. 287.|~|Mu\\u1e25ammad Taq\\u012b D\\u0101nish-pazh\\u016bh, Fihrist-i Nushahh\\u0101-yi kha\\u1e6d\\u1e6d\\u012b, daftar 11 & 12 (\\u1e6cihr\\u0101n: Intish\\u0101r\\u0101t-i D\\u0101nishg\\u0101h-i \\u1e6cihr\\u0101n, 1039 AH), p. 82."", ""Alternate Title.scriptArab"": ""\\u0627\\u0644\\u0645\\u0639\\u062c\\u0645 \\u0641\\u064a \\u0622\\u062b\\u0627\\u0631 \\u0645\\u0644\\u0648\\u06a9 \\u0627\\u0644\\u0639\\u062c\\u0645"", ""Description.physical"": """", ""Relation.textDirection"": ""rtl"", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": """", ""masterImageName"": """"}']",No,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000stg4f,ark:/21198/zz000wrmkf,7,Completed,Work,,160,160,Tuḥfah-ʾi ʿAbbāsī,"Title: Ḥilyat al-muttaqīn; Text includes 15 chapters on Shiite popular beliefs based on jurisprudence. Ch.1 On the manner of dress Ch.2 On the wearing of ornaments and jewles Ch.3 On the etiquette of eating and drinking Ch.4 On marriage and sexual intercourse with women and the education of children Ch.5 On personal hygiene (brushing one's hair and teeth) Ch.6 On perfuming oneself Ch.7 On showering Ch.8 On sleeping Ch.12 On entering and leaving the house Ch.14 On riding, walking Ch.15 On travels. Arabic chapter headings are in the naskh script. Composed ca. A.H. 1079.",paged,right-to-left,,,pd,Shīʿah $x Doctrines $v Early works to 1800,manuscripts (document genre),"University of California, Los Angeles. $b Library Special Collections","Qummī, Muḥammad Ṭāhir, $d d. 1686 or 7",,,"Ḥusaynī, Abū Turāb",,per,Nastaʿlīq,,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 25, 160",n.d.,28.1 x 13.4 cm.,,Beginning and end are missing. Manuscript contains rubrics.,,"Āghā Buzurg al-Ṭihrānī, Dharīʿah ilā taṣānif al-Shīʿah (Al-Najaf: Maṭbaʿat al-Gharrā, 1936-1986), v. 3 (1645), p. 452.|~|Munzavī v. 2 pt. 1 p.910.|~|Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1039 AH), p. 15.",تحفه عبّاسی,,,,,,,,,,,,,"['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz000stg4f"", ""Parent ARK"": ""ark:/21198/zz000wrmkf"", ""Item Status ID"": ""7"", ""Item Status"": ""Needs Review"", ""Object Type"": ""Work"", ""File Name"": """", ""Item Sequence"": ""160"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": ""paged"", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": ""Sh\\u012b\\u02bfah $x Doctrines $v Early works to 1800"", ""Type.genre"": ""manuscripts (document genre)"", ""Name.repository"": ""University of California, Los Angeles. $b Library Special Collections"", ""Name.author"": ""Qumm\\u012b, Muh\\u0323ammad T\\u0323\\u0101hir, $d d. 1686 or 7"", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": ""H\\u0323usayn\\u012b, Ab\\u016b Tur\\u0101b"", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": ""Persian"", ""Language.script"": ""Nasta\\u02bfl\\u012bq"", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""160"", ""Title"": ""Tuh\\u0323fah-\\u02bei \\u02bfAbb\\u0101s\\u012b"", ""Relation.rectoVerso"": """", ""Source"": ""Caro Minasian Collection of Persian and Arabic Manuscripts, box 25, 160"", ""Date.creation"": ""n.d."", ""Format.dimensions"": ""28.1 x 13.4 cm."", ""Alternate Title.other"": """", ""Description.abstract"": ""Beginning and end are missing. Manuscript contains rubrics."", ""Description.microfilm"": """", ""Description.citation"": ""\\u0100gh\\u0101 Buzurg al-\\u1e6cihr\\u0101n\\u012b, Dhar\\u012b\\u02bfah il\\u0101 ta\\u1e63\\u0101nif al-Sh\\u012b\\u02bfah (Al-Najaf: Ma\\u1e6dba\\u02bfat al-Gharr\\u0101, 1936-1986), v. 3 (1645), p. 452.|~|Munzav\\u012b v. 2 pt. 1 p.910.|~|Mu\\u1e25ammad Taq\\u012b D\\u0101nish-pazh\\u016bh, Fihrist-i Nushahh\\u0101-yi kha\\u1e6d\\u1e6d\\u012b, daftar 11 & 12 (\\u1e6cihr\\u0101n: Intish\\u0101r\\u0101t-i D\\u0101nishg\\u0101h-i \\u1e6cihr\\u0101n, 1039 AH), p. 15."", ""Alternate Title.scriptArab"": ""\\u062a\\u062d\\u0641\\u0647 \\u0639\\u0628\\u0651\\u0627\\u0633\\u06cc"", ""Description.physical"": """", ""Relation.textDirection"": ""rtl"", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": """", ""masterImageName"": """"}']",No,
