Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Visibility,Thumbnail,Subject.conceptTopic,Type.typeOfResource,Rights.copyrightStatus,Rights.publicationStatus,Type.genre,Name.subject,Subject,Subject.descriptiveTopic,Name.repository,Rights.servicesContact,Language,Name.photographer,Name.donor,Name.correspondent,Subject geographic,Name.recipient,Rights.rightsHolderContact,Name.creator,Local identifier,Title,Description.abstract,Description.note,Alt ID.local,Summary,Date.normalized,Date.creation,Format.extent,Coverage.geographic,Description.caption,Description.latitude,Description.longitude,Alt ID.url,AltTitle.other,Note,Relation.isPartOf,Opac url,Finding Aid URL
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p12n,ark:/21198/zz002311rn,6,Needs QA,Work,gordo/image/yrlsc_gordonphotos_0005.tif,5,true,,,private,,,still image,copyrighted,unknown,Black-and-white photographs,,,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 1 Folder 1,DUP to 448,,All information concerning the content and description of the image was provided by Walter Gordon.,005|~|YRLSC_gordonphotos_0005,,,,1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p36p,ark:/21198/zz002311rn,6,Needs QA,Work,gordo/image/yrlsc_gordonphotos_0067.tif,67,true,,,private,,,still image,copyrighted,unknown,Black-and-white photographs,,,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 1 Folder 3,Duplicate to 727,,All information concerning the content and description of the image was provided by Walter Gordon.,YRLSC_gordonphotos_0067,,,,1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p5nc,ark:/21198/zz002311rn,6,Needs QA,Work,gordo/image/yrlsc_gordonphotos_0138.tif,138,true,,,private,,,still image,copyrighted,unknown,Black-and-white photographs,,,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 1 Folder 5,Duplicate to 486,,All information concerning the content and description of the image was provided by Walter Gordon.,YRLSC_gordonphotos_0138,,,,1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p6cq,ark:/21198/zz002311rn,6,Needs QA,Work,gordo/image/yrlsc_gordonphotos_0160.tif,159,true,,,private,,,still image,copyrighted,unknown,Black-and-white photographs,,,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 1 Folder 6,Duplicate to 181,,All information concerning the content and description of the image was provided by Walter Gordon.,YRLSC_gordonphotos_0160,,,,1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025pd1f,ark:/21198/zz002311rn,6,Needs QA,Work,gordo/image/yrlsc_gordonphotos_0330.tif,323,true,,,private,,,still image,copyrighted,unknown,Black-and-white photographs,"Gordon, Walter L., $c Jr., $d 1908-2012|~|Drew, Charles, $d 1904-1950|~|Hampton, Lionel",,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 2 Folder 5,Duplicate to #572,,All information concerning the content and description of the image was provided by Walter Gordon.,YRLSC_gordonphotos_0330,,1940/1949,[1940s],1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025pgqr,ark:/21198/zz002311rn,6,Needs QA,Work,gordo/image/yrlsc_gordonphotos_0411.tif,401,true,,,private,,,still image,copyrighted,unknown,Black-and-white photographs,,,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 3 Folder 1,Duplicate to 369,,All information concerning the content and description of the image was provided by Walter Gordon.,YRLSC_gordonphotos_0411,,,,1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025pjw9,ark:/21198/zz002311rn,6,Needs QA,Work,gordo/image/yrlsc_gordonphotos_0480.tif,464,true,,,private,,,still image,copyrighted,unknown,Black-and-white photographs,"Griffin, Sarah, $d b. 1900 or 01|~|Clark, Vera|~|Griffin, Thomas, $d 1902-1959|~|DeVaughn, Beatrice, $d 1901-1989",Lifestyle|~|People|~|Culture,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 3 Folder 3,"DUPLICATE TO 0569 (Vera Clark at a social gathering, Los Angeles, 1940s)",,"All information concerning the content and description of the image was provided by Walter Gordon.|~|Bea DeVaughn is seated in a chair at the back of the room, with her legs crossed at the ankles. Vera Clark is in the center of the group seated on the floor. To the right of her are Sarah Griffin and Tom Griffin. The other people in the photograph are unidentified.",YRLSC_gordonphotos_0480,"Sarah Griffin was the wife of dentist Tom Griffin.|~|Vera Clark was the first wife of Horace P. Clark, Sr. Together they built the Clark Hotel. They had one son, Horace P. Clark, Jr. Mrs. Clark was also a schoolteacher.|~|Tom Griffin was a dentist.",1940/1949,[1940s?],1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025pkq6,ark:/21198/zz002311rn,6,Needs QA,Work,gordo/image/yrlsc_gordonphotos_0505.tif,488,true,,,private,,,still image,copyrighted,unknown,Black-and-white photographs,"Mundy, Dorothy, $d 1909-1947|~|Beavers, Louise, $d 1902-1962|~|DeVaughn, Beatrice, $d 1901-1989",,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,,Duplicate to 095,,All information concerning the content and description of the image was provided by Walter Gordon.,505|~|YRLSC_gordonphotos_0505,,,,1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025pn7x,ark:/21198/zz002311rn,6,Needs QA,Work,gordo/image/yrlsc_gordonphotos_0552.tif,532,true,,,private,,,still image,copyrighted,unknown,Black-and-white photographs,,,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 3 Folder 6,DUPLICATE TO #432,,All information concerning the content and description of the image was provided by Walter Gordon.,YRLSC_gordonphotos_0552,,,,1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025pnv7,ark:/21198/zz002311rn,6,Needs QA,Work,gordo/image/yrlsc_gordonphotos_0570.tif,550,true,,,private,,,still image,copyrighted,unknown,Black-and-white photographs,,,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 4 Folder 2,DUP TO 556,,All information concerning the content and description of the image was provided by Walter Gordon.,YRLSC_gordonphotos_0570,,,,1 photograph : b&w,California--Los Angeles,,,,,,,,,
