"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Author","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Type.genre","Language","Rights.publicationStatus","Subject","Relation.isPartOf","Name.subject","Name.illustrator","Name.creator","Name.photographer","Coverage.geographic","Name.repository","Name.engraver","Name.printer","Title","Description.note","Alt ID.local","Date.normalized","Date.creation","AltTitle.other","Description.caption","Format.dimensions","Format.extent","Description.contents","Publisher.placeOfOrigin","Alt ID.oclc","Publisher.publisherName","Description.caption","AltTitle.translated","Opac url","AltTitle.uniform","Description.tableOfContents","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Rare Books (YRL Special Collections)","ark:/21198/zz0025dwth","ark:/21198/zz0025dws0","1","In progress","Page","rarebook/masters/srgb/21198-zz0025dwth_1686072_master.tif","1","","","","","","","private","","text","","","","","","","","","","","","","","","page 22","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dwth",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0025dwv1","ark:/21198/zz0025dws0","1","In progress","Page","rarebook/masters/srgb/21198-zz0025dwv1_1686083_master.tif","2","","","","","","","private","","text","","","","","","","","","","","","","","","page 23","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dwv1",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0025dwwj","ark:/21198/zz0025dws0","1","In progress","Page","rarebook/masters/srgb/21198-zz0025dwwj_1686087_master.tif","3","","","","","","","private","","text","","","","","","","","","","","","","","","page 24","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dwwj",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0025dwx2","ark:/21198/zz0025dws0","1","In progress","Page","rarebook/masters/srgb/21198-zz0025dwx2_1686093_master.tif","4","","","","","","","private","","text","","","","","","","","","","","","","","","page 25","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dwx2",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0025dwzk","ark:/21198/zz0025dws0","1","In progress","Page","rarebook/masters/srgb/21198-zz0025dwzk_1686099_master.tif","5","","","","","","","private","","text","","","","","","","","","","","","","","","page 27","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dwzk",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0025dx0k","ark:/21198/zz0025dws0","1","In progress","Page","rarebook/masters/srgb/21198-zz0025dx0k_1686105_master.tif","6","","","","","","","private","","text","","","","","","","","","","","","","","","page 28","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dx0k",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0025dx13","ark:/21198/zz0025dws0","1","In progress","Page","rarebook/masters/srgb/21198-zz0025dx13_1686109_master.tif","7","","","","","","","private","","text","","","","","","","","","","","","","","","page 29","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dx13",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0025dx2m","ark:/21198/zz0025dws0","1","In progress","Page","rarebook/masters/srgb/21198-zz0025dx2m_1686114_master.tif","8","","","","","","","private","","text","","","","","","","","","","","","","","","page 30","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dx2m",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0025dx34","ark:/21198/zz0025dws0","1","In progress","Page","rarebook/masters/srgb/21198-zz0025dx34_1686118_master.tif","9","","","","","","","private","","text","","","","","","","","","","","","","","","page 31","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dx34",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0025dx4n","ark:/21198/zz0025dws0","1","In progress","Page","rarebook/masters/srgb/21198-zz0025dx4n_1686126_master.tif","10","","","","","","","private","","text","","","","","","","","","","","","","","","page 32","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dx4n",""
