Project Name,Item ARK,Parent ARK,Thumbnail,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Type.genre,Rights.servicesContact,Language,Name.collector,Subject,Name.photographer,Relation.isPartOf,Name.subject,Name.author,Name.repository,Name.creator,Format.dimensions,Title,Date.creation,Format.extent,Alt ID.local,Description.note,Date.normalized,Description.contents,Description.abstract,AltTitle.other,Opac url,Finding Aid URL,IIIF Manifest URL
Harrison (Gilbert A.) Collection of Material by and Relating to Gertrude Stein.  Collection 2108,ark:/21198/zz00093zwc,ark:/21198/zz00093mkw,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093zxw,2,Completed,Work,,,,,,paged,,,,Clippings,,eng,,,,"Gilbert A. Harrison Collection of Material by and Relating to Gertrude Stein (Collection 2108). UCLA Library Special Collections, Charles E. Young Research Library.",,"Stein, Gertrude, 1874-1946","University of California, Los Angeles. $b Library Special Collections",,22 x 30 cm. (8.25 x 11.75 in.),"""I came and here I am"" article by Gertrude Stein, Hearst's International Cosmopolitan, 1935",1935,4 p.,clus_2108_b4_f22,,1935,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093zwc/manifest
Harrison (Gilbert A.) Collection of Material by and Relating to Gertrude Stein.  Collection 2108,ark:/21198/zz00152jmq,ark:/21198/zz00093mkw,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10590hr,2,Completed,Work,,,,,text,paged,,,,letters (correspondence),,,,"Stein, Gertrude, 1874-1946--Archives",,"Gilbert A. Harrison Collection of Material by and Relating to Gertrude Stein (Collection 2108). UCLA Library Special Collections, Charles E. Young Research Library.",,"Stein, Gertrude, 1874-1946",,,,"Gertrude Stein to ""My dear Gilbert,"" ALS, 1937",1937,2 pages,,"Includes envelope postmarked Paris, [March?] 1937.",1937,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00152jmq/manifest
Harrison (Gilbert A.) Collection of Material by and Relating to Gertrude Stein.  Collection 2108,ark:/21198/zz00152jn7,ark:/21198/zz00093mkw,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g74zb7,2,Completed,Work,,,,,text,paged,,,,letters (correspondence),,,,"Stein, Gertrude, 1874-1946--Archives",,"Gilbert A. Harrison Collection of Material by and Relating to Gertrude Stein (Collection 2108). UCLA Library Special Collections, Charles E. Young Research Library.",,"Stein, Gertrude, 1874-1946",,,,"Gertrude Stein to ""My dear Harrison,"" ALS, 1939",1939,2 pages,,,1939,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00152jn7/manifest
Harrison (Gilbert A.) Collection of Material by and Relating to Gertrude Stein.  Collection 2108,ark:/21198/zz00152jpr,ark:/21198/zz00093mkw,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16q3fvq,2,Completed,Work,,,,,text,paged,,,,letters (correspondence),,,,"Toklas, Alice, B.--Archives",,"Gilbert A. Harrison Collection of Material by and Relating to Gertrude Stein (Collection 2108). UCLA Library Special Collections, Charles E. Young Research Library.",,,,,,Telegram from Alice B. Toklas to Gilbert Harrison,,,,,,Reads in full: Happiest of birth days dear Gilbert much loov (sic) Alice.,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00152jpr/manifest
Harrison (Gilbert A.) Collection of Material by and Relating to Gertrude Stein.  Collection 2108,ark:/21198/zz00152jrs,ark:/21198/zz00093mkw,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z90x0v,2,Completed,Work,,,,,text,paged,,,,letters (correspondence),,,,"Toklas, Alice, B.--Archives",,"Gilbert A. Harrison Collection of Material by and Relating to Gertrude Stein (Collection 2108). UCLA Library Special Collections, Charles E. Young Research Library.",,"Toklas, Alice B. ",,,,"Alice B. Toklas to ""My Dear Mr. Harrison,"" TLS, 30 December 1933","December 30, 1933",1 page and 1 envelope,,,1933-12-30,,"Refers Harrison to Gertrude Stein's lecture ""Composition as Explanation"" for answers to his questions.",,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00152jrs/manifest
