"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Visibility","viewingHint","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Rights.permission","Title","AltTitle.translated","Publisher.publisherName","Format.extent","Date.creation","Coverage.geographic","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"DIYALoG","ark:/21198/z1wq1qkw","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_146.tif","146","","","","","","","","","","","Page 146","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq1qkw",""
"DIYALoG","ark:/21198/z1rz0zv5","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_147.tif","147","","","","","","","","","","","Page 147","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rz0zv5",""
"DIYALoG","ark:/21198/z1n6076f","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_148.tif","148","","","","","","","","","","","Page 148","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n6076f",""
"DIYALoG","ark:/21198/z1hd9ghm","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_149.tif","149","","","","","","","","","","","Page 149","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hd9ghm",""
"DIYALoG","ark:/21198/z1cn8qrf","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_150.tif","150","","","","","","","","","","","Page 150","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cn8qrf",""
"DIYALoG","ark:/21198/z1806pg6","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_151.tif","151","","","","","","","","","","","Page 151","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1806pg6",""
"DIYALoG","ark:/21198/z1475xq1","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_152.tif","152","","","","","","","","","","","Page 152","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1475xq1",""
"DIYALoG","ark:/21198/z10g55xs","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_153.tif","153","","","","","","","","","","","Page 153","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10g55xs",""
"DIYALoG","ark:/21198/z1vq4pfh","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_154.tif","154","","","","","","","","","","","Page 154","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vq4pfh",""
"DIYALoG","ark:/21198/z1qz3xr7","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_155.tif","155","","","","","","","","","","","Page 155","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qz3xr7",""
"DIYALoG","ark:/21198/z1m6364z","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_156.tif","156","","","","","","","","","","","Page 156","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m6364z",""
"DIYALoG","ark:/21198/z1gf2fbb","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_157.tif","157","","","","","","","","","","","Page 157","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf2fbb",""
"DIYALoG","ark:/21198/z1bs0d0w","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_158.tif","158","","","","","","","","","","","Page 158","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bs0d0w",""
