"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Language","Name.subject","Name.creator","Subject","Type.genre","Relation.isPartOf","Name.repository","Title","Description.adminnote","Alt ID.local","AltTitle.translated","Coverage.geographic","Format.dimensions","Format.extent","Date.creation","Date.normalized","Description.abstract","Description.note","AltTitle.firstLine","AltTitle.descriptive","Alt ID.OPAC","Alt ID.url","AltTitle.other","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Orsini Family Papers.  Collection 902","ark:/21198/zz0013z0gr","ark:/21198/zz0013xm9d","2","Completed","Page","orsini/masters/21198-zz0013z0gr-1-master.tif","1","","","","manuscripts (document genre)","","","","","","","","","","","","","page 1","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013z0gr",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz0013z0h8","ark:/21198/zz0013xm9d","2","Completed","Page","orsini/masters/21198-zz0013z0h8-1-master.tif","2","","","","manuscripts (document genre)","","","","","","","","","","","","","page 2","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013z0h8",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz0013z0js","ark:/21198/zz0013xm9d","2","Completed","Page","orsini/masters/21198-zz0013z0js-1-master.tif","3","","","","manuscripts (document genre)","","","","","","","","","","","","","page 3","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013z0js",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz0013z0k9","ark:/21198/zz0013xm9d","2","Completed","Page","orsini/masters/21198-zz0013z0k9-1-master.tif","4","","","","manuscripts (document genre)","","","","","","","","","","","","","page 4","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013z0k9",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz0013z0mt","ark:/21198/zz0013xm9d","2","Completed","Page","orsini/masters/21198-zz0013z0mt-1-master.tif","5","","","","manuscripts (document genre)","","","","","","","","","","","","","page 5","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013z0mt",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz0013z0nb","ark:/21198/zz0013xm9d","2","Completed","Page","orsini/masters/21198-zz0013z0nb-1-master.tif","6","","","","manuscripts (document genre)","","","","","","","","","","","","","page 6","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013z0nb",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz0013z0pv","ark:/21198/zz0013xm9d","2","Completed","Page","orsini/masters/21198-zz0013z0pv-1-master.tif","7","","","","manuscripts (document genre)","","","","","","","","","","","","","page 7","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013z0pv",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz0013z0qc","ark:/21198/zz0013xm9d","2","Completed","Page","orsini/masters/21198-zz0013z0qc-1-master.tif","8","","","","manuscripts (document genre)","","","","","","","","","","","","","page 8","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013z0qc",""
